Pillar,Sub-Pillar,Indicator,Country Name,data_col,new_rank_score,higher_is_better
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Saint Kitts and Nevis,0.0038461538461538,5.297302447988052,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Saint Kitts and Nevis,13.159873665212814,1.9782120517908464,False
Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),Saint Kitts and Nevis,9.46360298292766e-05,5.06487103813321,True
,Connectivity Technology,ISP internet download speed average ,Saint Lucia,46.89,3.634854577830539,True
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Saint Lucia,0.001639344262295,5.124530139405603,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Saint Lucia,8.713220678650975,2.6594136623177267,False
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Saint Martin,,0.0,True
,Connectivity Technology,ISP internet download speed average ,Saint Vincent and the Grenadines,56.12,3.9738403323935305,True
Infrastructure,Connectivity Technology,Internet Exchange Points (IXPs) map,Saint Vincent and the Grenadines,0.0025641025641025,5.196929963954439,True
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Saint Vincent and the Grenadines,8.111981396522664,2.764708894757809,False
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",Samoa,2.5200342724661056,4.4511130498301466,False
Business,Startup Environment,Time required to start a business (days),Samoa,9.0,4.550000000000001,False
