Country Name,Pillar,Sub-Pillar
Albania,Business,Impact commitments
Albania,Business,Startup Environment
Albania,Business,Financing Incentives
Albania,Business,Technology Adoption
Albania,Business,
Albania,Foundations,
Albania,Foundations,Digital Payments
Albania,Foundations,Digital Legal Identity
Albania,Foundations,Data Exchange
Albania,Government,
Albania,Government,Digital Public Services
Albania,Government,Funding and procurement
Albania,Government,Monitoring
Albania,Government,Leadership and coordination
Albania,Government,Capabilities
Albania,Infrastructure,Innovation Ecosystem
Albania,Infrastructure,
Albania,Infrastructure,Connectivity Technology
Albania,People,Digital Literacy Skills
Albania,People,Usage and ownership
Albania,People,Culture
Albania,People,Digital Wellbeing
Albania,People,
Albania,Regulation,Cybersecurity
Albania,Regulation,Ethical Standards
Albania,Regulation,Data standards and protection
Albania,Regulation,
Albania,Strategy,Ambition
Albania,Strategy,
Algeria,Business,Impact commitments
Algeria,Business,Startup Environment
Algeria,Business,Financing Incentives
Algeria,Business,Technology Adoption
Algeria,Business,
Algeria,Foundations,
Algeria,Foundations,Digital Payments
Algeria,Foundations,Digital Legal Identity
Algeria,Foundations,Data Exchange
Algeria,Government,
Algeria,Government,Digital Public Services
Algeria,Government,Funding and procurement
Algeria,Government,Monitoring
Algeria,Government,Leadership and coordination
Algeria,Government,Capabilities
Algeria,Infrastructure,Innovation Ecosystem
Algeria,Infrastructure,
Algeria,Infrastructure,Connectivity Technology
Algeria,People,Digital Literacy Skills
Algeria,People,Usage and ownership
Algeria,People,Culture
Algeria,People,Digital Wellbeing
Algeria,People,
Algeria,Regulation,Cybersecurity
Algeria,Regulation,Ethical Standards
Algeria,Regulation,Data standards and protection
Algeria,Regulation,
Algeria,Strategy,Ambition
Algeria,Strategy,
Angola,Business,Impact commitments
Angola,Business,Startup Environment
Angola,Business,Financing Incentives
Angola,Business,Technology Adoption
Angola,Business,
Angola,Foundations,
Angola,Foundations,Digital Payments
Angola,Foundations,Digital Legal Identity
Angola,Foundations,Data Exchange
Angola,Government,
Angola,Government,Digital Public Services
Angola,Government,Funding and procurement
Angola,Government,Monitoring
Angola,Government,Leadership and coordination
Angola,Government,Capabilities
Angola,Infrastructure,Innovation Ecosystem
Angola,Infrastructure,
Angola,Infrastructure,Connectivity Technology
Angola,People,Digital Literacy Skills
Angola,People,Usage and ownership
Angola,People,Culture
Angola,People,Digital Wellbeing
Angola,People,
Angola,Regulation,Cybersecurity
Angola,Regulation,Ethical Standards
Angola,Regulation,Data standards and protection
Angola,Regulation,
Angola,Strategy,Ambition
Angola,Strategy,
Argentina,Business,Impact commitments
Argentina,Business,Startup Environment
Argentina,Business,Financing Incentives
Argentina,Business,Technology Adoption
Argentina,Business,
Argentina,Foundations,
Argentina,Foundations,Digital Payments
Argentina,Foundations,Digital Legal Identity
Argentina,Foundations,Data Exchange
Argentina,Government,
Argentina,Government,Digital Public Services
Argentina,Government,Funding and procurement
Argentina,Government,Monitoring
Argentina,Government,Leadership and coordination
Argentina,Government,Capabilities
Argentina,Infrastructure,Innovation Ecosystem
Argentina,Infrastructure,
Argentina,Infrastructure,Connectivity Technology
Argentina,People,Digital Literacy Skills
Argentina,People,Usage and ownership
Argentina,People,Culture
Argentina,People,Digital Wellbeing
Argentina,People,
Argentina,Regulation,Cybersecurity
Argentina,Regulation,Ethical Standards
Argentina,Regulation,Data standards and protection
Argentina,Regulation,
Argentina,Strategy,Ambition
Argentina,Strategy,
Armenia,Business,Impact commitments
Armenia,Business,Startup Environment
Armenia,Business,Financing Incentives
Armenia,Business,Technology Adoption
Armenia,Business,
Armenia,Foundations,
Armenia,Foundations,Digital Payments
Armenia,Foundations,Digital Legal Identity
Armenia,Foundations,Data Exchange
Armenia,Government,
Armenia,Government,Digital Public Services
Armenia,Government,Funding and procurement
Armenia,Government,Monitoring
Armenia,Government,Leadership and coordination
Armenia,Government,Capabilities
Armenia,Infrastructure,Innovation Ecosystem
Armenia,Infrastructure,
Armenia,Infrastructure,Connectivity Technology
Armenia,People,Digital Literacy Skills
Armenia,People,Usage and ownership
Armenia,People,Culture
Armenia,People,Digital Wellbeing
Armenia,People,
Armenia,Regulation,Cybersecurity
Armenia,Regulation,Ethical Standards
Armenia,Regulation,Data standards and protection
Armenia,Regulation,
Armenia,Strategy,Ambition
Armenia,Strategy,
Australia,Business,Impact commitments
Australia,Business,Startup Environment
Australia,Business,Financing Incentives
Australia,Business,Technology Adoption
Australia,Business,
Australia,Foundations,
Australia,Foundations,Digital Payments
Australia,Foundations,Digital Legal Identity
Australia,Foundations,Data Exchange
Australia,Government,
Australia,Government,Digital Public Services
Australia,Government,Funding and procurement
Australia,Government,Monitoring
Australia,Government,Leadership and coordination
Australia,Government,Capabilities
Australia,Infrastructure,Innovation Ecosystem
Australia,Infrastructure,
