Pillar,Sub-Pillar,Indicator,Country Name,Year,data_col,new_rank_score,higher_is_better
Business,Startup Environment,Doing Business Index,Armenia,2019,41,4.941798942,FALSE
Business,Startup Environment,Ease of doing business index (1=most business-friendly regulations),Armenia,2019,47,4.783068783,TRUE
Business,Startup Environment,Ease of finding skilled employees,Armenia,2019,4.03,4.03,TRUE
Business,Technology Adoption,"Networking Services (Spend, IT Forecast Data)",Armenia,2020,51.91,3.571212121,TRUE
Business,Technology Adoption,Share of businesses with online presence,Armenia,2018,75.6,4.836777339,TRUE
Business,Technology Adoption,Size of digital economy (% of transactions),Armenia,2019,4.51,1.272890715,TRUE
Business,Technology Adoption,Size of gig economy (% of GDP),Armenia,2019,3.65,3.332317073,TRUE
Business,Startup Environment,Strength of legal rights index (0=weak to 12=strong),Armenia,2019,6,3.5,TRUE
Business,Startup Environment,Time required to start a business (days),Armenia,2019,3,4.333333333,TRUE
Business,Technology Adoption,UNCTAD Business-to-Consumer (B2C) E-commerce Index,Armenia,2016,47,3.352941176,TRUE
Business,Financing Incentives,"Venture capital availability, 1-7 (best)",Armenia,2017,56,4.035714286,TRUE
Foundations,Digital Payments,% Making online transactions - Women,Armenia,2017,12,1.674157303,TRUE
Foundations,Digital Payments,% of population with digital finance account,Armenia,2017,48,3.142857143,TRUE
Foundations,Digital Legal Identity,% of population with ID (all),Armenia,2018,100,6,TRUE
Foundations,Digital Legal Identity,can ID be used for transactions,Armenia,2018,1,6,TRUE
Foundations,Digital Payments,"
% of population with digital finance account - registered",Armenia,2017,45,2.978021978,TRUE
Foundations,Digital Legal Identity,Is personal data siloed,Armenia,2020,0.02,6,TRUE
Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,Armenia,2017,42,2.902173913,TRUE
Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,Armenia,2017,34,2.5625,TRUE
Foundations,Digital Payments,"
% Making online transactions - Men",Armenia,2017,19,1.989010989,TRUE
Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,Armenia,2017,11,1.647058824,TRUE
Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - female,Armenia,2017,7,1.411764706,TRUE
Government,Capabilities,% of digital skills certifications / training courses completed,Armenia,2020,57,3.38317757,TRUE
Government,Digital Public Services,E-Participation index,Armenia,2020,0.75,4.75,TRUE
Government,Funding and procurement,Evidence of digital strategies in/across Minstries,Armenia,2020,1,2.666666667,TRUE
Government,Leadership and coordination,Evidence of focus on vulnerable groups,Armenia,2020,-0.03,1,TRUE
Government,Digital Public Services,Online-Service-Index (OSI),Armenia,2020,0.7,4.5,TRUE
Government,Digital Public Services,What is the % change of government digitizing public services?,Armenia,2020,0.73,4.724489796,TRUE
Infrastructure,Connectivity Technology,% of population covered by electricity,Armenia,2019,100,6,TRUE
Infrastructure,Connectivity Technology,% of population covered by internet connectivity,Armenia,2019,66.54394969,3.993627865,TRUE
Infrastructure,Connectivity Technology,% of population covered by mobile 2G+ data connectivity,Armenia,2019,100,6,TRUE
Infrastructure,Connectivity Technology,% of population covered by mobile 3G+ data connectivity,Armenia,2019,99,5.934210526,TRUE
Infrastructure,Connectivity Technology,% of population covered by mobile 4G+ data connectivity,Armenia,2019,95,5.75,TRUE
Infrastructure,Connectivity Technology,% of population covered by mobile 5G+ data connectivity,Armenia,2019,0,1,TRUE
Infrastructure,Innovation Ecosystem,Banking Ecosystem size,Armenia,2017,53.87,2.000157816,TRUE
Infrastructure,Connectivity Technology,Cellphone Signal Density,Armenia,2019,87.59999847,5.217527291,TRUE
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",Armenia,2019,-12.46,2.692638366,TRUE
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",Armenia,2019,-308.22,4.16841055,TRUE
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",Armenia,2019,-6930.4,4.656792849,TRUE
Infrastructure,Innovation Ecosystem,Digital Work Ecosystem size,Armenia,2020,68,3.086956522,FALSE
Infrastructure,Connectivity Technology,Electricity Density,Armenia,2019,2453.168,1.215841923,TRUE
Infrastructure,Connectivity Technology,Electricity Environmental Sustainability,Armenia,2021,71.8,4.518907563,TRUE
Infrastructure,Connectivity Technology,Electricity supply quality,Armenia,2019,92.60532955,5.630266477,TRUE
Infrastructure,Connectivity Technology,Global Cybersecurity Index (GCI),Armenia,2020,50.47,3.035080645,TRUE
Infrastructure,Connectivity Technology,GSMA Mobile Connectivity Index ,Armenia,2019,56.24,3.796708242,TRUE
Infrastructure,Connectivity Technology,Individuals using the Internet (% of population),Armenia,2019,66.54394969,3.993627865,TRUE
Infrastructure,Connectivity Technology,ISP internet download speed average ,Armenia,2021,36.25,1.627553651,TRUE
Infrastructure,Connectivity Technology,Logistics Performance Index (LPI) - Infrastructure Rating,Armenia,2018,2.61,2.466666667,TRUE
Infrastructure,Connectivity Technology,Mobile cellular subscriptions (per 100 people),Armenia,2020,117.7357712,2.489670385,TRUE
Infrastructure,Connectivity Technology,Mobile Coverage Maps,Armenia,2020,117.7357712,2.489670385,TRUE
Infrastructure,Connectivity Technology,Mobile dowload speed at the slowest hour of the day,Armenia,2019,88.43795013,1.059505488,TRUE
Infrastructure,Connectivity Technology,National cyber security index,Armenia,2021,31.17,2.575421941,TRUE
Infrastructure,Connectivity Technology,Postal Coverage,Armenia,2015,93,5.65,TRUE
