Country Name,Year,Pillar,Sub-Pillar,Indicator,data_col,new_rank_score,higher_is_better
Afghanistan,2019,Business,Startup Environment,Doing Business Index,167,1.608465608,FALSE
Afghanistan,2019,Business,Startup Environment,Ease of doing business index (1=most business-friendly regulations),173,1.44973545,TRUE
Afghanistan,2019,Business,Startup Environment,Strength of legal rights index (0=weak to 12=strong),10,5.166666667,TRUE
Afghanistan,2019,Business,Startup Environment,Time required to start a business (days),2,2.666666667,TRUE
Afghanistan,2020,Business,Technology Adoption,UNCTAD Business-to-Consumer (B2C) E-commerce Index,17.1,1.855,TRUE
Afghanistan,2017,Foundations,Digital Payments,% Making online transactions - Women,0,1,TRUE
Afghanistan,2017,Foundations,Digital Payments,% of population with digital finance account,15,1.75,TRUE
Afghanistan,2018,Foundations,Digital Legal Identity,% of population with ID (all),67,4.35,TRUE
Afghanistan,2018,Foundations,Digital Legal Identity,% of population with ID (female),45,3.25,TRUE
Afghanistan,2018,Foundations,Digital Legal Identity,can ID be used for transactions,1,6,TRUE
Afghanistan,2017,Foundations,Digital Payments,% of population with digital finance account - registered,15,1.75,TRUE
Afghanistan,2020,Foundations,Digital Legal Identity,Is personal data siloed,-0.04,1,TRUE
Afghanistan,2017,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,11,1.55,TRUE
Afghanistan,2017,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,4,1.2,TRUE
Afghanistan,2017,Foundations,Digital Payments,% Making online transactions - Men,1,1.05,TRUE
Afghanistan,2016,Foundations,Data Exchange,Open data index,12,1.6,TRUE
Afghanistan,2017,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,3,1.15,TRUE
Afghanistan,2020,Government,Digital Public Services,E-Participation index,0.4643,3.3215,TRUE
Afghanistan,2020,Government,Funding and procurement,Evidence of digital strategies in/across Minstries,2,4.333333333,TRUE
Afghanistan,2020,Government,Digital Public Services,Online-Service-Index (OSI),0.4118,3.059,TRUE
Afghanistan,2020,Government,Digital Public Services,What is the % change of government digitizing public services?,0.69,4.520408163,TRUE
Afghanistan,2019,Infrastructure,Connectivity Technology,% of population covered by electricity,97.7,5.885,TRUE
Afghanistan,2019,Infrastructure,Connectivity Technology,% of population covered by mobile 2G+ data connectivity,90,5.5,TRUE
Afghanistan,2019,Infrastructure,Connectivity Technology,% of population covered by mobile 3G+ data connectivity,58.7,3.935,TRUE
Afghanistan,2019,Infrastructure,Connectivity Technology,% of population covered by mobile 4G+ data connectivity,15,1.75,TRUE
Afghanistan,2019,Infrastructure,Connectivity Technology,% of population covered by mobile 5G+ data connectivity,0,1,TRUE
Afghanistan,2017,Infrastructure,Innovation Ecosystem,Banking Ecosystem size,3.43,1.066827729,TRUE
Afghanistan,2020,Infrastructure,Connectivity Technology,Broadband Density,0.068253606,1.00341268,TRUE
Afghanistan,2019,Infrastructure,Connectivity Technology,Cellphone Signal Density,38.47999954,2.923999977,TRUE
Afghanistan,2019,Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",23.01,3.194207981,TRUE
Afghanistan,2019,Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",-1369,4.082766791,TRUE
Afghanistan,2019,Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",-35926.6,4.22140018,TRUE
Afghanistan,2019,Infrastructure,Connectivity Technology,Electricity Density,27.128,2.3564,TRUE
Afghanistan,2021,Infrastructure,Connectivity Technology,Electricity Environmental Sustainability,53.9,3.695,TRUE
Afghanistan,2020,Infrastructure,Connectivity Technology,Global Cybersecurity Index (GCI),5.2,1.26,TRUE
Afghanistan,2019,Infrastructure,Connectivity Technology,GSMA Mobile Connectivity Index ,28.94,2.447,TRUE
Afghanistan,2021,Infrastructure,Connectivity Technology,ISP internet download speed average ,10.28,1.514,TRUE
Afghanistan,2018,Infrastructure,Connectivity Technology,Logistics Performance Index (LPI) - Infrastructure Rating,1.95,2.1875,TRUE
Afghanistan,2020,Infrastructure,Connectivity Technology,Mobile cellular subscriptions (per 100 people),58.25581184,3.912790592,TRUE
Afghanistan,2020,Infrastructure,Connectivity Technology,Mobile Coverage Maps,58.25581184,3.912790592,TRUE
Afghanistan,2019,Infrastructure,Connectivity Technology,Mobile dowload speed at the slowest hour of the day,42.6276207,3.868618965,TRUE
Afghanistan,2021,Infrastructure,Connectivity Technology,National cyber security index,11.69,1.5845,TRUE
Afghanistan,2019,Infrastructure,Connectivity Technology,Postal Coverage,50,3.5,TRUE
Afghanistan,2019,Infrastructure,Connectivity Technology,Spectrum Allocated to Mobile Providers,17.62,1.881,TRUE
Afghanistan,2020,Infrastructure,Connectivity Technology,Telecommunication Infrastructure Index (TII),0.1762,1.881,TRUE
Afghanistan,2017,People,Usage and ownership,% of population using digital financial services,1,1.05,TRUE
Afghanistan,2021,People,Usage and ownership,% of population using Facebook,9.66,1.483,TRUE
Afghanistan,2021,People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",0.577100113,1.040883272,TRUE
Afghanistan,2017,People,Usage and ownership,Financial Inclusiveness,15,1.75,TRUE
Afghanistan,2019,People,Usage and ownership,Gender gap for social media use,0,1,TRUE
Afghanistan,2019,People,Usage and ownership,Gender gap in mobile usage,0,1,TRUE
Afghanistan,2019,People,Usage and ownership,Global Crypto Adoption Index,0.13,1.65,TRUE
Afghanistan,2021,People,Digital Wellbeing,Global Wellbeing Initiative (World Happiness Index),2.523,2.2615,TRUE
Afghanistan,2020,People,Digital Literacy Skills,Human Capital Index (HCI),0.3728,2.864,TRUE
Afghanistan,2019,People,Culture,Number of mobile apps available in national language(s),3,1.15,TRUE
Afghanistan,2019,People,Usage and ownership,Tax as % of total cost of mobile ownership,79.16,2.042,FALSE
Afghanistan,2019,People,Usage and ownership,UNDP Human Development Index (HDI) ,0.511,3.555,TRUE
Afghanistan,2020,Regulation,Ethical Standards,Rule of Law Index,0.36,2.8,TRUE
Afghanistan,2019,Strategy,Ambition,SDG Index,53.9,3.695,TRUE
Africa,2019,Infrastructure,Connectivity Technology,Electricity Density,665.189,34.25945,TRUE
Africa Eastern and Southern,2019,Business,Startup Environment,Strength of legal rights index (0=weak to 12=strong),4.538461538,2.891025641,TRUE
Africa Eastern and Southern,2019,Business,Startup Environment,Time required to start a business (days),1,1,TRUE
Africa Eastern and Southern,2019,Infrastructure,Connectivity Technology,% of population covered by electricity,43.64066111,3.182033056,TRUE
Africa Western and Central,2019,Business,Startup Environment,Strength of legal rights index (0=weak to 12=strong),5.863636364,3.443181818,TRUE
