Country Name,Country Code,Indicator,data_col,new_rank_score,higher_is_better
Afghanistan,AFG,Ease of doing business index (1=most business-friendly regulations),173.0,1.4497354497354493,True
Albania,ALB,Ease of doing business index (1=most business-friendly regulations),82.0,3.857142857142857,True
Algeria,DZA,Ease of doing business index (1=most business-friendly regulations),157.0,1.8730158730158726,True
American Samoa,ASM,Ease of doing business index (1=most business-friendly regulations),,,True
Andorra,AND,Ease of doing business index (1=most business-friendly regulations),,,True
Angola,AGO,Ease of doing business index (1=most business-friendly regulations),177.0,1.3439153439153442,True
Antigua and Barbuda,ATG,Ease of doing business index (1=most business-friendly regulations),113.0,3.037037037037037,True
Argentina,ARG,Ease of doing business index (1=most business-friendly regulations),126.0,2.693121693121693,True
Armenia,ARM,Ease of doing business index (1=most business-friendly regulations),47.0,4.783068783068783,True
Aruba,ABW,Ease of doing business index (1=most business-friendly regulations),,,True
Australia,AUS,Ease of doing business index (1=most business-friendly regulations),14.0,5.656084656084656,True
Austria,AUT,Ease of doing business index (1=most business-friendly regulations),27.0,5.312169312169312,True
Azerbaijan,AZE,Ease of doing business index (1=most business-friendly regulations),34.0,5.1269841269841265,True
"Bahamas, The",BHS,Ease of doing business index (1=most business-friendly regulations),119.0,2.878306878306878,True
Bahrain,BHR,Ease of doing business index (1=most business-friendly regulations),43.0,4.888888888888889,True
Bangladesh,BGD,Ease of doing business index (1=most business-friendly regulations),168.0,1.5820105820105823,True
Barbados,BRB,Ease of doing business index (1=most business-friendly regulations),128.0,2.64021164021164,True
Belarus,BLR,Ease of doing business index (1=most business-friendly regulations),49.0,4.73015873015873,True
Belgium,BEL,Ease of doing business index (1=most business-friendly regulations),46.0,4.809523809523809,True
Belize,BLZ,Ease of doing business index (1=most business-friendly regulations),135.0,2.455026455026455,True
Benin,BEN,Ease of doing business index (1=most business-friendly regulations),149.0,2.0846560846560847,True
Bermuda,BMU,Ease of doing business index (1=most business-friendly regulations),,,True
Bhutan,BTN,Ease of doing business index (1=most business-friendly regulations),89.0,3.671957671957672,True
Bolivia,BOL,Ease of doing business index (1=most business-friendly regulations),150.0,2.0582010582010586,True
Bosnia and Herzegovina,BIH,Ease of doing business index (1=most business-friendly regulations),90.0,3.6455026455026456,True
Botswana,BWA,Ease of doing business index (1=most business-friendly regulations),87.0,3.7248677248677247,True
Brazil,BRA,Ease of doing business index (1=most business-friendly regulations),124.0,2.746031746031746,True
British Virgin Islands,VGB,Ease of doing business index (1=most business-friendly regulations),,,True
Brunei Darussalam,BRN,Ease of doing business index (1=most business-friendly regulations),66.0,4.28042328042328,True
Bulgaria,BGR,Ease of doing business index (1=most business-friendly regulations),61.0,4.412698412698413,True
Burkina Faso,BFA,Ease of doing business index (1=most business-friendly regulations),151.0,2.0317460317460316,True
Burundi,BDI,Ease of doing business index (1=most business-friendly regulations),166.0,1.6349206349206353,True
Cabo Verde,CPV,Ease of doing business index (1=most business-friendly regulations),137.0,2.402116402116402,True
Cambodia,KHM,Ease of doing business index (1=most business-friendly regulations),144.0,2.2169312169312168,True
Cameroon,CMR,Ease of doing business index (1=most business-friendly regulations),167.0,1.6084656084656084,True
Canada,CAN,Ease of doing business index (1=most business-friendly regulations),23.0,5.417989417989418,True
Cayman Islands,CYM,Ease of doing business index (1=most business-friendly regulations),,,True
