Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better
World,2019,ICT services Exports,10.34718,1.517359,True
Afghanistan,2019,ICT services Exports,7.49154,1.374577,True
Albania,2019,ICT services Exports,2.78304,1.139152,True
Angola,2019,ICT services Exports,4.288,1.2144,True
Azerbaijan,2019,ICT services Exports,1.05807,1.0529035,True
Argentina,2019,ICT services Exports,13.52078,1.6760389999999998,True
Australia,2019,ICT services Exports,4.53489,1.2267445000000001,True
Austria,2019,ICT services Exports,10.02456,1.501228,True
Bangladesh,2019,ICT services Exports,8.11738,1.405869,True
Armenia,2019,ICT services Exports,10.06948,1.503474,True
Belgium,2019,ICT services Exports,11.07537,1.5537684999999999,True
Bolivia (Plurinational State of),2019,ICT services Exports,5.46676,1.273338,True
Bosnia and Herzegovina,2019,ICT services Exports,7.07824,1.353912,True
Brazil,2019,ICT services Exports,7.21535,1.3607675,True
Belize,2019,ICT services Exports,3.46369,1.1731845,True
Solomon Islands,2019,ICT services Exports,2.14614,1.107307,True
Bulgaria,2019,ICT services Exports,13.50752,1.675376,True
Developed economies,2019,ICT services Exports,10.30909,1.5154545,True
Belarus,2019,ICT services Exports,24.78162,2.239081,True
Developed economies: America,2019,ICT services Exports,5.3762,1.26881,True
Developed economies: Asia,2019,ICT services Exports,8.73413,1.4367065,True
Developed economies: Europe,2019,ICT services Exports,12.32583,1.6162915,True
Developed economies: Oceania,2019,ICT services Exports,4.41223,1.2206115,True
Cambodia,2019,ICT services Exports,1.52937,1.0764685,True
Cameroon,2019,ICT services Exports,4.65308,1.232654,True
Developing economies,2019,ICT services Exports,10.37012,1.518506,True
Developing economies: Africa,2019,ICT services Exports,5.14358,1.257179,True
Developing economies: America,2019,ICT services Exports,4.7414,1.23707,True
Developing economies: Asia,2019,ICT services Exports,11.56015,1.5780075,True
Canada,2019,ICT services Exports,7.80524,1.390262,True
Developing economies: Oceania,2019,ICT services Exports,,,True
Transition economies,2019,ICT services Exports,11.20041,1.5600204999999998,True
Cabo Verde,2019,ICT services Exports,1.23236,1.061618,True
Sri Lanka,2019,ICT services Exports,14.1021,1.705105,True
Chile,2019,ICT services Exports,4.57658,1.228829,True
China,2019,ICT services Exports,18.99235,1.9496175,True
Colombia,2019,ICT services Exports,4.33654,1.2168269999999999,True
Costa Rica,2019,ICT services Exports,13.14388,1.657194,True
Croatia,2019,ICT services Exports,5.4759,1.273795,True
Cyprus,2019,ICT services Exports,20.14044,2.007022,True
Czechia,2019,ICT services Exports,14.82031,1.7410155,True
Denmark,2019,ICT services Exports,6.12896,1.306448,True
Developed economies: Asia and Oceania,2019,ICT services Exports,7.65325,1.3826625,True
Developing economies: Asia and Oceania,2019,ICT services Exports,11.52703,1.5763515,True
Sub-Saharan Africa excluding South Africa,2019,ICT services Exports,5.24105,1.2620525,True
Africa excluding South Africa,2019,ICT services Exports,5.27753,1.2638764999999998,True
Dominican Republic,2019,ICT services Exports,0.97372,1.048686,True
Developing economies excluding China,2019,ICT services Exports,8.79472,1.439736,True
