Country,Pillar,Sub-pillar,Source,Link,Availability
Afghanistan,Regulation,Cybersecurity,A source used for this project 4324,https://www.undp.org/,
Afghanistan,Regulation,Data standards and protection,A source used for this project 1162,https://www.undp.org/,1
Afghanistan,Regulation,E-commerce,A source used for this project 9602,https://www.undp.org/,
Afghanistan,Regulation,Fair market competition,A source used for this project 3190,https://www.undp.org/,1
Åland Islands,Regulation,Cybersecurity,A source used for this project 8823,https://www.undp.org/,
Åland Islands,Regulation,Data standards and protection,A source used for this project 4308,https://www.undp.org/,
Åland Islands,Regulation,E-commerce,A source used for this project 4330,https://www.undp.org/,1
Åland Islands,Regulation,Fair market competition,A source used for this project 4854,https://www.undp.org/,
Albania,Regulation,Cybersecurity,A source used for this project 3452,https://www.undp.org/,1
Albania,Regulation,Data standards and protection,A source used for this project 3223,https://www.undp.org/,1
Albania,Regulation,E-commerce,A source used for this project 5277,https://www.undp.org/,
Albania,Regulation,Fair market competition,A source used for this project 7535,https://www.undp.org/,
Algeria,Regulation,Cybersecurity,A source used for this project 7579,https://www.undp.org/,1
Algeria,Regulation,Data standards and protection,A source used for this project 6814,https://www.undp.org/,1
Algeria,Regulation,E-commerce,A source used for this project 5113,https://www.undp.org/,
Algeria,Regulation,Fair market competition,A source used for this project 2936,https://www.undp.org/,
American Samoa,Regulation,Cybersecurity,A source used for this project 6300,https://www.undp.org/,
American Samoa,Regulation,Data standards and protection,A source used for this project 6236,https://www.undp.org/,
American Samoa,Regulation,E-commerce,A source used for this project 4489,https://www.undp.org/,
American Samoa,Regulation,Fair market competition,A source used for this project 8553,https://www.undp.org/,1
Andorra,Regulation,Cybersecurity,A source used for this project 1255,https://www.undp.org/,
Andorra,Regulation,Data standards and protection,A source used for this project 1047,https://www.undp.org/,1
Andorra,Regulation,E-commerce,A source used for this project 4493,https://www.undp.org/,1
Andorra,Regulation,Fair market competition,A source used for this project 1707,https://www.undp.org/,1
Angola,Regulation,Cybersecurity,A source used for this project 5288,https://www.undp.org/,
Angola,Regulation,Data standards and protection,A source used for this project 8017,https://www.undp.org/,1
Angola,Regulation,E-commerce,A source used for this project 8092,https://www.undp.org/,1
Angola,Regulation,Fair market competition,A source used for this project 6024,https://www.undp.org/,
Anguilla,Regulation,Cybersecurity,A source used for this project 5826,https://www.undp.org/,
Anguilla,Regulation,Data standards and protection,A source used for this project 7050,https://www.undp.org/,1
Anguilla,Regulation,E-commerce,A source used for this project 3723,https://www.undp.org/,1
