Code,Country,Region,Sub-region,Income,Pillar,Sub-pillar,2020
algeria,Algeria,Africa,Northern Africa,Lower middle income,Business,Total,5.9
egypt,Egypt,Africa,Northern Africa,Lower middle income,Business,Total,2.4
libya,Libya,Africa,Northern Africa,Upper middle income,Business,Total,3.2
morocco,Morocco,Africa,Northern Africa,Lower middle income,Business,Total,4.3
sudan,Sudan,Africa,Northern Africa,Low income,Business,Total,1.5
tunisia,Tunisia,Africa,Northern Africa,Lower middle income,Business,Total,4.5
western-sahara,Western Sahara,Africa,Northern Africa,,Business,Total,4
british-indian-ocean-territory,British Indian Ocean Territory,Africa,Sub-Saharan Africa,,Business,Total,2.3
burundi,Burundi,Africa,Sub-Saharan Africa,Low income,Business,Total,5.8
comoros,Comoros,Africa,Sub-Saharan Africa,Lower middle income,Business,Total,5.9
djibouti,Djibouti,Africa,Sub-Saharan Africa,Lower middle income,Business,Total,5.4
eritrea,Eritrea,Africa,Sub-Saharan Africa,Low income,Business,Total,5.6
ethiopia,Ethiopia,Africa,Sub-Saharan Africa,Low income,Business,Total,5.4
french-southern-territories,French Southern Territories,Africa,Sub-Saharan Africa,,Business,Total,5.1
kenya,Kenya,Africa,Sub-Saharan Africa,Lower middle income,Business,Total,1.8
madagascar,Madagascar,Africa,Sub-Saharan Africa,Low income,Business,Total,6
malawi,Malawi,Africa,Sub-Saharan Africa,Low income,Business,Total,5.6
mauritius,Mauritius,Africa,Sub-Saharan Africa,High income,Business,Total,3
mayotte,Mayotte,Africa,Sub-Saharan Africa,,Business,Total,2
mozambique,Mozambique,Africa,Sub-Saharan Africa,Low income,Business,Total,4.2
réunion,Réunion,Africa,Sub-Saharan Africa,,Business,Total,4.5
rwanda,Rwanda,Africa,Sub-Saharan Africa,Low income,Business,Total,1.9
seychelles,Seychelles,Africa,Sub-Saharan Africa,High income,Business,Total,1.2
somalia,Somalia,Africa,Sub-Saharan Africa,Low income,Business,Total,4.8
south-sudan,South Sudan,Africa,Sub-Saharan Africa,Low income,Business,Total,4.3
uganda,Uganda,Africa,Sub-Saharan Africa,Low income,Business,Total,2.4
united-republic-of-tanzania,United Republic of Tanzania,Africa,Sub-Saharan Africa,Lower middle income,Business,Total,5.1
zambia,Zambia,Africa,Sub-Saharan Africa,Lower middle income,Business,Total,2.3
zimbabwe,Zimbabwe,Africa,Sub-Saharan Africa,Lower middle income,Business,Total,1.2
angola,Angola,Africa,Sub-Saharan Africa,Lower middle income,Business,Total,1.6
cameroon,Cameroon,Africa,Sub-Saharan Africa,Lower middle income,Business,Total,5.4
central-african-republic,Central African Republic,Africa,Sub-Saharan Africa,Low income,Business,Total,3.8
chad,Chad,Africa,Sub-Saharan Africa,Low income,Business,Total,2.1
congo,Congo,Africa,Sub-Saharan Africa,Lower middle income,Business,Total,3
democratic-republic-of-the-congo,Democratic Republic of the Congo,Africa,Sub-Saharan Africa,Low income,Business,Total,1.2
equatorial-guinea,Equatorial Guinea,Africa,Sub-Saharan Africa,Upper middle income,Business,Total,4.8
gabon,Gabon,Africa,Sub-Saharan Africa,Upper middle income,Business,Total,3.8
sao-tome-and-principe,Sao Tome and Principe,Africa,Sub-Saharan Africa,Lower middle income,Business,Total,3.3
botswana,Botswana,Africa,Sub-Saharan Africa,Upper middle income,Business,Total,2.5
eswatini,Eswatini,Africa,Sub-Saharan Africa,Lower middle income,Business,Total,5.3
lesotho,Lesotho,Africa,Sub-Saharan Africa,Lower middle income,Business,Total,5.6
namibia,Namibia,Africa,Sub-Saharan Africa,Upper middle income,Business,Total,4.7
south-africa,South Africa,Africa,Sub-Saharan Africa,Upper middle income,Business,Total,1.2
benin,Benin,Africa,Sub-Saharan Africa,Lower middle income,Business,Total,2.2
burkina-faso,Burkina Faso,Africa,Sub-Saharan Africa,Low income,Business,Total,1.1
cabo-verde,Cabo Verde,Africa,Sub-Saharan Africa,Lower middle income,Business,Total,2.7
côte-d’ivoire,Côte d’Ivoire,Africa,Sub-Saharan Africa,Lower middle income,Business,Total,4
gambia,Gambia,Africa,Sub-Saharan Africa,Low income,Business,Total,1.6
ghana,Ghana,Africa,Sub-Saharan Africa,Lower middle income,Business,Total,4.5
guinea,Guinea,Africa,Sub-Saharan Africa,Low income,Business,Total,2.5
guinea-bissau,Guinea-Bissau,Africa,Sub-Saharan Africa,Low income,Business,Total,2.4
liberia,Liberia,Africa,Sub-Saharan Africa,Low income,Business,Total,4.3
mali,Mali,Africa,Sub-Saharan Africa,Low income,Business,Total,5.4
mauritania,Mauritania,Africa,Sub-Saharan Africa,Lower middle income,Business,Total,2.1
niger,Niger,Africa,Sub-Saharan Africa,Low income,Business,Total,3.9
nigeria,Nigeria,Africa,Sub-Saharan Africa,Lower middle income,Business,Total,2.1
saint-helena,Saint Helena,Africa,Sub-Saharan Africa,,Business,Total,4.1
senegal,Senegal,Africa,Sub-Saharan Africa,Lower middle income,Business,Total,5.7
sierra-leone,Sierra Leone,Africa,Sub-Saharan Africa,Low income,Business,Total,5.1
togo,Togo,Africa,Sub-Saharan Africa,Low income,Business,Total,4.5
anguilla,Anguilla,Americas,Latin America and the Caribbean,,Business,Total,1.5
antigua-and-barbuda,Antigua and Barbuda,Americas,Latin America and the Caribbean,High income,Business,Total,5.8
aruba,Aruba,Americas,Latin America and the Caribbean,High income,Business,Total,5.6
bahamas,Bahamas,Americas,Latin America and the Caribbean,High income,Business,Total,1.9
barbados,Barbados,Americas,Latin America and the Caribbean,High income,Business,Total,5.1
british-virgin-islands,British Virgin Islands,Americas,Latin America and the Caribbean,High income,Business,Total,5.3
cayman-islands,Cayman Islands,Americas,Latin America and the Caribbean,High income,Business,Total,4.3
cuba,Cuba,Americas,Latin America and the Caribbean,Upper middle income,Business,Total,2
curaçao,Curaçao,Americas,Latin America and the Caribbean,High income,Business,Total,1
dominica,Dominica,Americas,Latin America and the Caribbean,Upper middle income,Business,Total,3.6
dominican-republic,Dominican Republic,Americas,Latin America and the Caribbean,Upper middle income,Business,Total,3.9
grenada,Grenada,Americas,Latin America and the Caribbean,Upper middle income,Business,Total,2.2
guadeloupe,Guadeloupe,Americas,Latin America and the Caribbean,,Business,Total,2
haiti,Haiti,Americas,Latin America and the Caribbean,Low income,Business,Total,1.1
jamaica,Jamaica,Americas,Latin America and the Caribbean,Upper middle income,Business,Total,5
martinique,Martinique,Americas,Latin America and the Caribbean,,Business,Total,3.7
montserrat,Montserrat,Americas,Latin America and the Caribbean,,Business,Total,2.5
puerto-rico,Puerto Rico,Americas,Latin America and the Caribbean,High income,Business,Total,3.1
saint-barthélemy,Saint Barthélemy,Americas,Latin America and the Caribbean,,Business,Total,1.9
saint-kitts-and-nevis,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,High income,Business,Total,3.6
saint-lucia,Saint Lucia,Americas,Latin America and the Caribbean,Upper middle income,Business,Total,3.1
saint-martin-(french-part),Saint Martin (French Part),Americas,Latin America and the Caribbean,,Business,Total,2.3
saint-vincent-and-the-grenadines,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Upper middle income,Business,Total,1.8
sint-maarten-(dutch-part),Sint Maarten (Dutch part),Americas,Latin America and the Caribbean,High income,Business,Total,2.9
trinidad-and-tobago,Trinidad and Tobago,Americas,Latin America and the Caribbean,High income,Business,Total,5.9
turks-and-caicos-islands,Turks and Caicos Islands,Americas,Latin America and the Caribbean,High income,Business,Total,3.2
united-states-virgin-islands,United States Virgin Islands,Americas,Latin America and the Caribbean,High income,Business,Total,5.8
belize,Belize,Americas,Latin America and the Caribbean,Upper middle income,Business,Total,1.5
costa-rica,Costa Rica,Americas,Latin America and the Caribbean,Upper middle income,Business,Total,2.2
