Pillar,Sub-Pillar,Score,,,,,,
Strategy,Ambition,4.5,,,,,,
Strategy,Approach,,,,,,,
Foundations,Digital Payments,2.4,,,,,,
Foundations,Digital Legal Identity,5.8,,,,,,
Foundations,Data Exchange,,,,,,,
Infrastructure,Connectivity technology,3.7,,,,,,
Infrastructure,Innovation Ecosystem,,,,,,,
Government,Digital public services,5,,,,,,
Government,Funding and procurement,,,,,,,
Government,Leadership and coordination,,,,,,,
Government,Monitoring,,,,,,,
Government,Capabilities,,,,,,,
Regulation,Data Standards and Protection,,,,,,,
Regulation,E-Commerce,,,,,,,
Regulation,Fair Market Competition,,,,,,,
Regulation,Cybersecurity,4.8,,,,,,
Regulation,Ethical standards,3.4,,,,,,
Business,Technology adoption,2.8,,,,,,
Business,Financing Incentives,,,,,,,
Business,Impact Commitments,,,,,,,
Business,Startup Environment,4.5,,,,,,
People,Digital Literacy Skills,3.5,,,,,,
People,Culture,4.6,,,,,,
People,Digital Wellbeing,,,,,,,
People,Usage and Ownership,4,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
