Country Name,Year,Pillar,Sub-Pillar,Indicator,data_col,new_rank_score,higher_is_better
Germany,2018.0,Business,Technology Adoption,"Cloud Services (Spend, IT Forecast Data)",18.2,1.90818,True
Japan,2018.0,Business,Technology Adoption,"Cloud Services (Spend, IT Forecast Data)",20.3,2.01297,True
United States of America (the),2018.0,Business,Technology Adoption,"Cloud Services (Spend, IT Forecast Data)",18.0,1.8982,True
United Kingdom of Great Britain and Northern Ireland (the),2018.0,Business,Technology Adoption,"Cloud Services (Spend, IT Forecast Data)",19.8,1.98802,True
Australia,2018.0,Business,Technology Adoption,"Cloud Services (Spend, IT Forecast Data)",16.1,1.8033900000000005,True
Singapore,2018.0,Business,Technology Adoption,"Cloud Services (Spend, IT Forecast Data)",20.7,2.0329300000000003,True
Canada,2018.0,Business,Technology Adoption,"Cloud Services (Spend, IT Forecast Data)",17.0,1.8483,True
France,2018.0,Business,Technology Adoption,"Cloud Services (Spend, IT Forecast Data)",17.3,1.86327,True
Italy,2018.0,Business,Technology Adoption,"Cloud Services (Spend, IT Forecast Data)",15.0,1.7485,True
Spain,2018.0,Business,Technology Adoption,"Cloud Services (Spend, IT Forecast Data)",16.6,1.8283400000000003,True
Poland,2018.0,Business,Technology Adoption,"Cloud Services (Spend, IT Forecast Data)",14.7,1.73353,True
Republic of Korea (the),2018.0,Business,Technology Adoption,"Cloud Services (Spend, IT Forecast Data)",19.9,1.99301,True
Mexico,2018.0,Business,Technology Adoption,"Cloud Services (Spend, IT Forecast Data)",9.1,1.45409,True
Malaysia,2018.0,Business,Technology Adoption,"Cloud Services (Spend, IT Forecast Data)",13.5,1.67365,True
South Africa,2018.0,Business,Technology Adoption,"Cloud Services (Spend, IT Forecast Data)",10.3,1.51397,True
Turkey,2018.0,Business,Technology Adoption,"Cloud Services (Spend, IT Forecast Data)",11.1,1.55389,True
Argentina,2018.0,Business,Technology Adoption,"Cloud Services (Spend, IT Forecast Data)",10.8,1.53892,True
Brazil,2018.0,Business,Technology Adoption,"Cloud Services (Spend, IT Forecast Data)",11.5,1.5738500000000002,True
Thailand,2018.0,Business,Technology Adoption,"Cloud Services (Spend, IT Forecast Data)",11.1,1.55389,True
India,2018.0,Business,Technology Adoption,"Cloud Services (Spend, IT Forecast Data)",6.9,1.34431,True
Russian Federation (the),2018.0,Business,Technology Adoption,"Cloud Services (Spend, IT Forecast Data)",15.7,1.78343,True
China,2018.0,Business,Technology Adoption,"Cloud Services (Spend, IT Forecast Data)",12.7,1.63373,True
Indonesia,2018.0,Business,Technology Adoption,"Cloud Services (Spend, IT Forecast Data)",8.2,1.40918,True
Viet Nam,2018.0,Business,Technology Adoption,"Cloud Services (Spend, IT Forecast Data)",8.6,1.42914,True
Afghanistan,2019.0,Business,Startup Environment,Doing Business Index,47.77,3.3837230000000003,False
Albania,2019.0,Business,Startup Environment,Doing Business Index,69.51,4.468549,False
Algeria,2019.0,Business,Startup Environment,Doing Business Index,49.65,3.477535,False
Angola,2019.0,Business,Startup Environment,Doing Business Index,43.86,3.188614,False
