Sub-Pillar,Country Name,agg_score,count_source,agg_score_wt
Cybersecurity,Angola,5.444444444444445,1,5.444444444444445
Cybersecurity,Argentina,4.888888888888889,1,4.888888888888889
Cybersecurity,Armenia,4.888888888888889,1,4.888888888888889
Cybersecurity,Australia,6.0,1,6.0
Cybersecurity,Azerbaijan,2.1111111111111107,1,2.1111111111111107
Cybersecurity,Bahrain,2.666666666666666,1,2.666666666666666
Cybersecurity,Bangladesh,2.666666666666666,1,2.666666666666666
Cybersecurity,Belarus,2.1111111111111107,1,2.1111111111111107
Cybersecurity,Brazil,3.2222222222222223,1,3.2222222222222223
Cybersecurity,Cambodia,3.7777777777777777,1,3.7777777777777777
Cybersecurity,Canada,6.0,1,6.0
Cybersecurity,China,1.0,1,1.0
Cybersecurity,Colombia,4.888888888888889,1,4.888888888888889
Cybersecurity,Cuba,1.5555555555555554,1,1.5555555555555554
Cybersecurity,Ecuador,3.2222222222222223,1,3.2222222222222223
Cybersecurity,Egypt,2.666666666666666,1,2.666666666666666
Cybersecurity,Estonia,6.0,1,6.0
Cybersecurity,Ethiopia,2.1111111111111107,1,2.1111111111111107
Cybersecurity,France,6.0,1,6.0
Cybersecurity,Georgia,4.888888888888889,1,4.888888888888889
Cybersecurity,Germany,5.444444444444445,1,5.444444444444445
Cybersecurity,Hungary,3.7777777777777777,1,3.7777777777777777
Cybersecurity,Iceland,6.0,1,6.0
Cybersecurity,India,2.666666666666666,1,2.666666666666666
Cybersecurity,Indonesia,3.2222222222222223,1,3.2222222222222223
Cybersecurity,Iran,1.5555555555555554,1,1.5555555555555554
Cybersecurity,Italy,5.444444444444445,1,5.444444444444445
Cybersecurity,Japan,6.0,1,6.0
Cybersecurity,Jordan,3.2222222222222223,1,3.2222222222222223
Cybersecurity,June 2019-May 2020 coverage period,0.0,0,0.0
Cybersecurity,Kazakhstan,2.1111111111111107,1,2.1111111111111107
Cybersecurity,Kenya,4.888888888888889,1,4.888888888888889
Cybersecurity,Kyrgyzstan,2.1111111111111107,1,2.1111111111111107
Cybersecurity,Lebanon,4.333333333333333,1,4.333333333333333
Cybersecurity,Libya,3.7777777777777777,1,3.7777777777777777
Cybersecurity,Malawi,6.0,1,6.0
Cybersecurity,Malaysia,4.333333333333333,1,4.333333333333333
Cybersecurity,Mexico,4.333333333333333,1,4.333333333333333
Cybersecurity,Morocco,4.333333333333333,1,4.333333333333333
Cybersecurity,Myanmar,2.666666666666666,1,2.666666666666666
Cybersecurity,Nigeria,3.2222222222222223,1,3.2222222222222223
Cybersecurity,Pakistan,2.1111111111111107,1,2.1111111111111107
Cybersecurity,Philippines,2.666666666666666,1,2.666666666666666
Cybersecurity,Russia,1.5555555555555554,1,1.5555555555555554
Cybersecurity,Rwanda,3.7777777777777777,1,3.7777777777777777
Cybersecurity,Saudi Arabia,2.666666666666666,1,2.666666666666666
Cybersecurity,Singapore,4.333333333333333,1,4.333333333333333
Cybersecurity,South Africa,5.444444444444445,1,5.444444444444445
Cybersecurity,South Korea,4.888888888888889,1,4.888888888888889
Cybersecurity,Sri Lanka,3.7777777777777777,1,3.7777777777777777
Cybersecurity,Sudan,3.7777777777777777,1,3.7777777777777777
Cybersecurity,Syria,2.666666666666666,1,2.666666666666666
Cybersecurity,Thailand,3.2222222222222223,1,3.2222222222222223
Cybersecurity,The Gambia,6.0,1,6.0
Cybersecurity,Tunisia,4.888888888888889,1,4.888888888888889
Cybersecurity,Turkey,1.5555555555555554,1,1.5555555555555554
Cybersecurity,Uganda,4.888888888888889,1,4.888888888888889
Cybersecurity,Ukraine,2.666666666666666,1,2.666666666666666
Cybersecurity,United Arab Emirates,2.666666666666666,1,2.666666666666666
Cybersecurity,United Kingdom,6.0,1,6.0
Cybersecurity,United States,3.7777777777777777,1,3.7777777777777777
Cybersecurity,Uzbekistan,1.0,1,1.0
Cybersecurity,Venezuela,2.666666666666666,1,2.666666666666666
Cybersecurity,Vietnam,1.5555555555555554,1,1.5555555555555554
Cybersecurity,Zambia,4.333333333333333,1,4.333333333333333
