,Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar,Unnamed: 0
0,Nigeria,2020.0,% of internet users who own cryptocurrency,31.9,2.59181,True,Digital Literacy Skills,
1,Vietnam,2020.0,% of internet users who own cryptocurrency,21.1,2.05289,True,Digital Literacy Skills,
2,Philippines,2020.0,% of internet users who own cryptocurrency,19.8,1.98802,True,Digital Literacy Skills,
3,South Africa,2020.0,% of internet users who own cryptocurrency,17.8,1.88822,True,Digital Literacy Skills,
4,Thailand,2020.0,% of internet users who own cryptocurrency,17.6,1.87824,True,Digital Literacy Skills,
5,Peru,2020.0,% of internet users who own cryptocurrency,16.1,1.8033900000000005,True,Digital Literacy Skills,
6,Turkey,2020.0,% of internet users who own cryptocurrency,16.1,1.8033900000000005,True,Digital Literacy Skills,
7,Colombia,2020.0,% of internet users who own cryptocurrency,15.3,1.76347,True,Digital Literacy Skills,
8,Argentina,2020.0,% of internet users who own cryptocurrency,14.4,1.71856,True,Digital Literacy Skills,
9,Indonesia,2020.0,% of internet users who own cryptocurrency,13.0,1.6487,True,Digital Literacy Skills,
10,Brazil,2020.0,% of internet users who own cryptocurrency,12.5,1.62375,True,Digital Literacy Skills,
11,Malaysia,2020.0,% of internet users who own cryptocurrency,12.3,1.61377,True,Digital Literacy Skills,
12,Chile,2020.0,% of internet users who own cryptocurrency,11.7,1.5838299999999998,True,Digital Literacy Skills,
13,Saudi Arabia,2020.0,% of internet users who own cryptocurrency,11.4,1.56886,True,Digital Literacy Skills,
14,Switzerland,2020.0,% of internet users who own cryptocurrency,11.1,1.55389,True,Digital Literacy Skills,
15,Greece,2020.0,% of internet users who own cryptocurrency,11.1,1.55389,True,Digital Literacy Skills,
16,Kenya,2020.0,% of internet users who own cryptocurrency,10.5,1.52395,True,Digital Literacy Skills,
17,Dominican Republic,2020.0,% of internet users who own cryptocurrency,10.3,1.51397,True,Digital Literacy Skills,
18,Netherlands,2020.0,% of internet users who own cryptocurrency,10.0,1.499,True,Digital Literacy Skills,
19,United Arab Emirates,2020.0,% of internet users who own cryptocurrency,10.0,1.499,True,Digital Literacy Skills,
20,Mexico,2020.0,% of internet users who own cryptocurrency,9.7,1.48403,True,Digital Literacy Skills,
21,Ireland,2020.0,% of internet users who own cryptocurrency,9.6,1.47904,True,Digital Literacy Skills,
22,Singapore,2020.0,% of internet users who own cryptocurrency,9.6,1.47904,True,Digital Literacy Skills,
23,Spain,2020.0,% of internet users who own cryptocurrency,9.4,1.46906,True,Digital Literacy Skills,
24,Morocco,2020.0,% of internet users who own cryptocurrency,9.3,1.46407,True,Digital Literacy Skills,
25,Czechia,2020.0,% of internet users who own cryptocurrency,9.2,1.45908,True,Digital Literacy Skills,
26,India,2020.0,% of internet users who own cryptocurrency,8.8,1.43912,True,Digital Literacy Skills,
27,Lithuania,2020.0,% of internet users who own cryptocurrency,8.7,1.43413,True,Digital Literacy Skills,
28,Egypt,2020.0,% of internet users who own cryptocurrency,8.3,1.41417,True,Digital Literacy Skills,
29,Norway,2020.0,% of internet users who own cryptocurrency,8.1,1.40419,True,Digital Literacy Skills,
30,Portugal,2020.0,% of internet users who own cryptocurrency,8.1,1.40419,True,Digital Literacy Skills,
31,Australia,2020.0,% of internet users who own cryptocurrency,7.8,1.38922,True,Digital Literacy Skills,
32,South Korea,2020.0,% of internet users who own cryptocurrency,7.6,1.37924,True,Digital Literacy Skills,
33,Serbia,2020.0,% of internet users who own cryptocurrency,7.5,1.37425,True,Digital Literacy Skills,
34,Russia,2020.0,% of internet users who own cryptocurrency,7.3,1.36427,True,Digital Literacy Skills,
35,Austria,2020.0,% of internet users who own cryptocurrency,7.2,1.35928,True,Digital Literacy Skills,
36,Poland,2020.0,% of internet users who own cryptocurrency,7.2,1.35928,True,Digital Literacy Skills,
37,China,2020.0,% of internet users who own cryptocurrency,6.9,1.34431,True,Digital Literacy Skills,
38,Hungary,2020.0,% of internet users who own cryptocurrency,6.4,1.31936,True,Digital Literacy Skills,
39,Romania,2020.0,% of internet users who own cryptocurrency,6.4,1.31936,True,Digital Literacy Skills,
40,Belgium,2020.0,% of internet users who own cryptocurrency,6.3,1.31437,True,Digital Literacy Skills,
41,United States,2020.0,% of internet users who own cryptocurrency,6.2,1.30938,True,Digital Literacy Skills,
42,France,2020.0,% of internet users who own cryptocurrency,5.6,1.27944,True,Digital Literacy Skills,
43,Pakistan,2020.0,% of internet users who own cryptocurrency,5.6,1.27944,True,Digital Literacy Skills,
44,Canada,2020.0,% of internet users who own cryptocurrency,5.2,1.25948,True,Digital Literacy Skills,
45,Germany,2020.0,% of internet users who own cryptocurrency,5.2,1.25948,True,Digital Literacy Skills,
46,"Taiwan, province of China",2020.0,% of internet users who own cryptocurrency,5.2,1.25948,True,Digital Literacy Skills,
47,Finland,2020.0,% of internet users who own cryptocurrency,5.1,1.25449,True,Digital Literacy Skills,
48,New Zealand,2020.0,% of internet users who own cryptocurrency,5.1,1.25449,True,Digital Literacy Skills,
