RANK,COUNTRY/ECONOMY,VALUE (%),SCORE,Year
1,Denmark,77.97,100,2017
2,Netherlands,75.72,97.11,2017
3,Norway,75.63,96.99,2017
4,United Kingdom,74.74,95.86,2017
5,"Korea, Rep.",72.47,92.94,2017
6,Sweden,71.65,91.9,2017
7,United States,70.43,90.33,2017
8,New Zealand,69.11,88.63,2017
9,Canada,68.57,87.95,2017
10,Australia,67.69,86.81,2017
11,Germany,66.84,85.73,2017
12,Finland,60.76,77.92,2017
13,Ireland,59.49,76.29,2017
14,Belgium,57.27,73.44,2017
15,Switzerland,56.02,71.84,2017
16,France,55.51,71.18,2017
17,Italy,54.94,70.45,2017
18,Spain,54.18,69.47,2017
19,Czech Republic,54.05,69.31,2017
20,Luxembourg,51.12,65.55,2017
21,United Arab Emirates,49.62,63.63,2017
22,Singapore,48.03,61.58,2017
23,Poland,47.79,61.28,2017
24,Estonia,46.69,59.87,2017
25,Malta,46.59,59.74,2017
26,Japan,45.9,58.85,2017
27,Slovenia,45.5,58.35,2017
28,China,45.28,58.06,2017
29,Austria,44.14,56.59,2017
30,Hong Kong (China),42.55,54.55,2017
31,Slovakia,41.74,53.52,2017
32,Lithuania,41.24,52.88,2017
33,Israel,40.22,51.57,2017
34,Latvia,34.51,44.25,2017
35,Malaysia,33.9,43.46,2017
36,Cyprus,32.33,41.45,2017
37,Belarus,30.03,38.49,2017
38,Croatia,29.62,37.96,2017
39,Hungary,28.76,36.86,2017
40,Russian Federation,26.9,34.47,2017
41,"Iran, Islamic Rep.",25.71,32.95,2017
42,Portugal,25.15,32.24,2017
43,Bahrain,25.04,32.09,2017
44,Saudi Arabia,24.93,31.95,2017
45,Uruguay,24.27,31.1,2017
46,Chile,22.92,29.38,2017
47,Greece,22.16,28.4,2017
48,Bulgaria,21.78,27.91,2017
49,Ukraine,21.7,27.8,2017
50,Turkey,21.31,27.31,2017
51,Kuwait,20.21,25.89,2017
52,Serbia,19.64,25.17,2017
53,Viet Nam,18.74,24,2017
54,Moldova,18.37,23.53,2017
55,Costa Rica,18.06,23.13,2017
56,North Macedonia,16.85,21.59,2017
57,Thailand,16.82,21.54,2017
58,Trinidad and Tobago,16.47,21.09,2017
59,Romania,15.61,19.99,2017
60,Kazakhstan,14.68,18.79,2017
61,Argentina,14.46,18.52,2017
62,Mauritius,14.42,18.46,2017
63,Brazil,14.21,18.19,2017
64,Lebanon,13.78,17.64,2017
65,Montenegro,13.45,17.23,2017
66,Venezuela,12.91,16.52,2017
67,Namibia,12.14,15.54,2017
68,Bosnia and Herzegovina,11.77,15.07,2017
69,Indonesia,9.88,12.64,2017
70,Kenya,9.25,11.83,2017
71,Philippines,9.09,11.62,2017
72,Armenia,8.51,10.88,2017
73,Colombia,8.43,10.78,2017
74,South Africa,7.86,10.05,2017
75,Tajikistan,7.55,9.65,2017
76,Dominican Republic,7.44,9.51,2017
77,Mongolia,7.4,9.46,2017
78,Jordan,7.1,9.08,2017
79,Mexico,6.99,8.94,2017
80,Albania,6.67,8.51,2017
81,Panama,6.12,7.81,2017
82,Ecuador,6.03,7.7,2017
83,Lao PDR,5.57,7.11,2017
84,Tanzania,5.35,6.82,2017
85,Bolivia,5.18,6.61,2017
86,Zambia,5.09,6.5,2017
87,Guatemala,5.07,6.47,2017
88,Azerbaijan,4.82,6.15,2017
89,Tunisia,4.67,5.96,2017
90,Peru,4.36,5.56,2017
91,Georgia,4.34,5.54,2017
92,Mozambique,4.3,5.48,2017
93,Ghana,4.24,5.41,2017
94,Nigeria,4.09,5.21,2017
95,Uganda,3.85,4.91,2017
96,Zimbabwe,3.79,4.83,2017
97,Botswana,3.61,4.6,2017
98,Honduras,3.56,4.53,2017
99,Côte d'Ivoire,3.24,4.12,2017
100,El Salvador,3.08,3.91,2017
101,Cambodia,3.05,3.88,2017
102,India,2.86,3.63,2017
103,Kyrgyzstan,2.85,3.62,2017
104,Algeria,2.8,3.56,2017
105,Cameroon,2.76,3.51,2017
106,Guinea,2.74,3.47,2017
107,Sri Lanka,2.72,3.45,2017
108,Mali,2.62,3.32,2017
109,Benin,2.61,3.31,2017
110,Senegal,2.55,3.24,2017
111,Paraguay,2.54,3.22,2017
112,Egypt,2.43,3.09,2017
113,Malawi,2.31,2.93,2017
114,Lesotho,2.05,2.59,2017
115,"Congo, Dem. Rep.",1.83,2.31,2017
116,Nepal,1.75,2.2,2017
117,Chad,1.67,2.1,2017
118,Morocco,1.62,2.04,2017
119,Burkina Faso,1.59,2,2017
120,Bangladesh,1.27,1.59,2017
121,Madagascar,0.99,1.24,2017
122,Rwanda,0.99,1.23,2017
123,Pakistan,0.85,1.05,2017
124,Ethiopia,0.03,0,2017
,Angola,n/a,n/a,2017
,Burundi,n/a,n/a,2017
,Cabo Verde,n/a,n/a,2017
,Eswatini,n/a,n/a,2017
,Gambia,n/a,n/a,2017
,Iceland,n/a,n/a,2017
,Jamaica,n/a,n/a,2017
,Oman,n/a,n/a,2017
,Qatar,n/a,n/a,2017
,Yemen,n/a,n/a,2017
