Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,AFG,Rule of Law: Estimate,RL.EST,-1.778437,-1.670823,-1.553829,-1.697143,-1.658668,-1.863189,-1.829666,-1.86438,-1.847092,-1.845436,-1.896632,-1.643165,-1.597314,-1.445648,-1.50404
Afghanistan,AFG,Rule of Law: Percentile Rank,RL.PER.RNK,1.485149,1.980198,3.960396,2.870813,1.913876,0.4784689,0.9569378,0.4807692,0.9478673,0.4739336,0.4694836,1.408451,1.408451,4.326923,3.365385
Afghanistan,AFG,Rule of Law: Number of Sources,RL.NO.SRC,3,4,4,6,7,9,8,9,10,10,10,11,12,11,11
Albania,ALB,Rule of Law: Estimate,RL.EST,-1.00878,-0.7621468,-0.7231404,-0.6877728,-0.7363358,-0.684769,-0.6462957,-0.5886946,-0.5004299,-0.407376,-0.4553711,-0.5203165,-0.5180176,-0.337862,-0.3282292
Albania,ALB,Rule of Law: Percentile Rank,RL.PER.RNK,18.81188,27.22772,28.21782,28.70813,28.70813,28.70813,30.62201,34.61538,38.38863,41.23223,41.31455,39.43662,39.43662,43.26923,44.23077
Albania,ALB,Rule of Law: Number of Sources,RL.NO.SRC,9,10,10,11,12,14,14,14,14,15,16,17,16,14,14
Algeria,DZA,Rule of Law: Estimate,RL.EST,-1.211336,-0.6301586,-0.587644,-0.6209092,-0.7508321,-0.7085913,-0.7727457,-0.7414688,-0.7935362,-0.7849475,-0.8076658,-0.7722811,-0.6893736,-0.7731679,-0.8639446
Algeria,DZA,Rule of Law: Percentile Rank,RL.PER.RNK,11.88119,33.16832,31.68317,33.49282,28.22967,27.7512,24.88038,25.48077,23.22275,26.54029,24.41315,26.76056,30.98592,24.03846,19.23077
Algeria,DZA,Rule of Law: Number of Sources,RL.NO.SRC,8,9,10,13,13,15,16,15,15,15,16,16,16,14,14
American Samoa,ASM,Rule of Law: Estimate,RL.EST,..,..,..,0.8533667,1.11975,1.080184,1.105124,1.127511,1.13165,1.117741,1.098715,1.102443,1.108083,1.410083,1.34524
American Samoa,ASM,Rule of Law: Percentile Rank,RL.PER.RNK,..,..,..,75.59808,85.64594,85.64594,85.16747,85.09615,85.30806,84.83412,84.97652,85.44601,85.44601,87.5,87.98077
American Samoa,ASM,Rule of Law: Number of Sources,RL.NO.SRC,..,..,..,1,1,1,1,1,1,1,1,1,1,1,1
Andorra,AND,Rule of Law: Estimate,RL.EST,1.312131,1.252001,1.087207,1.210473,0.9762172,0.8659215,1.182821,1.196158,1.224501,1.204553,1.407835,1.407764,1.409044,1.641953,1.575988
Andorra,AND,Rule of Law: Percentile Rank,RL.PER.RNK,86.63367,86.13861,84.15842,87.08134,81.81818,75.59808,87.08134,86.53846,87.20379,86.72986,89.20188,89.20188,88.73239,90.38461,89.90385
Andorra,AND,Rule of Law: Number of Sources,RL.NO.SRC,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
Angola,AGO,Rule of Law: Estimate,RL.EST,-1.663307,-1.617329,-1.52141,-1.496279,-1.427661,-1.300314,-1.365904,-1.366982,-1.230835,-1.265287,-1.265381,-1.269548,-1.267904,-1.118136,-1.081932
Angola,AGO,Rule of Law: Percentile Rank,RL.PER.RNK,1.980198,2.970297,4.455446,5.741627,7.177033,9.090909,6.220096,7.211538,10.42654,9.00474,9.859155,8.450705,8.920188,11.05769,12.5
