ISO2,Economy,IndCode,IndNum,IndName,Rank,Score,Value,MinDatCov,Outdated,OverallStreWeak,IncomeStreWeak,DataYear
ALB,Albania,Inputs,.1,Innovation Input Sub-index,71,39.94092936,,,,,,
ALB,Albania,Outputs,.2,Innovation Output Sub-index,92,16.10979224,,,,,,
ALB,Albania,Index,0,Global Innovation Index,84,28.0253608,,,,,,
ALB,Albania,P1,1,Institutions,60,64.91923983,,0,,,,
ALB,Albania,SP11,1.1.,Political environment,71,56.07118263,,0,,,,
ALB,Albania,PolStab,1.1.1,Political and operational stability*,60,69.64285905,2.0999999,,0,,,2020
ALB,Albania,GovEff,1.1.2,Government effectiveness*,76,49.28534442,-0.0613309,,0,,,2019
ALB,Albania,SP12,1.2.,Regulatory environment,82,58.94153187,,0,,,,
ALB,Albania,RegQua,1.2.1,Regulatory quality*,58,50.67070109,0.27437982,,0,,,2019
ALB,Albania,RuleOL,1.2.2,Rule of law*,85,35.88907719,-0.411179394,,0,,,2019
ALB,Albania,CostRedu,1.2.3,Cost of redudancy dismissal,90,74.60317459,20.82539683,,0,,,2019
ALB,Albania,SP13,1.3.,Business environment,34,79.745005,,0,,S,S,
ALB,Albania,EaseStartBus,1.3.1,Ease of starting a business*,47,91.75909,91.75909,,0,,,2019
ALB,Albania,EaseInsol,1.3.2,Ease of resolving insolvency*,36,67.73092,67.73092,,0,S,,2019
ALB,Albania,P2,2,Human capital and research,90,22.67398142,,0,,,,
ALB,Albania,SP21,2.1.,Education,95,39.76367788,,0,,,,
ALB,Albania,ExpEdu,2.1.1,"Expenditure on education, % GDP",79,32.54030426,3.6117201,,0,,,2017
ALB,Albania,GovFundPup,2.1.2,"Government funding/pupil, secondary, % GDP/cap",96,5.194025273,7.98132,,0,W,W,2017
ALB,Albania,SchLifeExp,2.1.3,"School life expectancy, years",57,59.65018894,14.81892,,0,,,2019
ALB,Albania,PISA,2.1.4,"PISA scales in reading, maths and science",56,34.98193515,419.7925383,,0,,,2018
ALB,Albania,PupTeachR,2.1.5,"Pupil-teacher ratio, secondary",36,88.35845095,10.69774826,,0,,,2019
ALB,Albania,SP22,2.2.,Tertiary education,79,28.25826637,,0,,,,
ALB,Albania,TertEnrol,2.2.1,"Tertiary enrolment, % gross",51,41.50910929,59.7785,,0,,,2019
ALB,Albania,SciEngGrad,2.2.2,"Graduates in science and engineering, %",81,26.88774887,18.82147,,0,,,2019
ALB,Albania,TertMob,2.2.3,"Tertiary inbound mobility, %",81,4.497615552,1.61389,,0,,,2019
ALB,Albania,SP23,2.3.,Research and development (R&D),123,0,,1,,,,
ALB,Albania,ResPPop,2.3.1,"Researchers, FTE/mn pop.",,,,,,,,
ALB,Albania,RDExp,2.3.2,"Gross expenditure on R&D, % GDP",,,,,,,,
ALB,Albania,RDCompExp,2.3.3,"Global corporate R&D investors, top 3, mn US$",41,0,0,,0,W,W,2020
ALB,Albania,QSRank,2.3.4,"QS university ranking, top 3*",74,0,0,,0,W,W,2020
ALB,Albania,P3,3,Infrastructure,62,42.98443025,,0,,,,
ALB,Albania,SP31,3.1.,Information and communication technologies (ICTs),66,66.59965946,,0,,,,
ALB,Albania,ICTAcc,3.1.1,ICT access*,98,45.4315778,4.54315778,,0,,W,2019
ALB,Albania,ICTUse,3.1.2,ICT use*,77,52.32706005,5.232706005,,0,,,2019
ALB,Albania,GovOLServ,3.1.3,Government's online service*,31,84.12,0.8412,,0,S,,2020
ALB,Albania,Epart,3.1.4,E-participation*,36,84.52,0.8452,,0,,,2020
ALB,Albania,SP32,3.2.,General infrastructure,91,23.41625463,,0,,,,
ALB,Albania,ElecOut,3.2.1,"Electricity output, GWh/mn pop.",66,10.78770028,2984.2986,,0,,,2018
ALB,Albania,LogPerf,3.2.2,Logistics performance*,86,28.46234792,2.659603,,0,,,2018
ALB,Albania,GroCap,3.2.3,"Gross capital formation, % GDP",61,27.20748516,22.614,,0,,,2020
ALB,Albania,SP33,3.3.,Ecological sustainability,38,38.93737665,,0,,,,
ALB,Albania,GDPEner,3.3.1,GDP/unit of energy use,16,45.6353038,16.063999,,0,S,S,2018
ALB,Albania,EnvPerf,3.3.2,Environmental performance*,59,49,49,,0,,,2020
