Country,2017,2018,2019,
Albania,3.88,4.03,3.89,
Algeria,3.98,3.84,4.12,
Angola,No data,2.08,2.76,
Argentina,4.35,4.1,4.19,
Armenia,3.82,3.87,4.03,
Australia,5.03,4.81,4.57,
Austria,4.97,4.65,4.45,
Azerbaijan,4.72,4.72,4.79,
Bahrain,4.69,4.69,4.91,
Bangladesh,3.65,3.66,3.67,
Barbados,No data,No data,4.61,
Belgium,4.84,4.73,4.73,
Benin,4.9,4.82,4.65,
Bolivia,No data,3.51,3.68,
Bosnia and Herzegovina,3.43,3.28,3.29,
Botswana,3.92,3.85,3.98,
Brazil,3.72,3.32,3.38,
Brunei Darussalam,3.76,3.62,3.99,
Bulgaria,3.16,3.34,3.62,
Burkina Faso,No data,4.14,3.86,
Burundi,3.63,3.63,4.63,
Cabo Verde,4.25,4.09,4.21,
Cambodia,3.44,3.37,3.5,
Cameroon,4.49,4.37,4.42,
Canada,5.3,4.99,4.87,
Chad,3.8,3.89,3.85,
Chile,4.93,4.83,4.86,
China,4.58,4.58,4.58,
Colombia,4.25,4.27,4.31,
Costa Rica,5.14,4.94,4.81,
Croatia,3.59,3.32,3.15,
Cyprus,4.78,4.78,4.73,
Czech Republic,3.57,3.32,3.25,
Denmark,4.92,4.86,4.92,
Dominican Republic,3.81,4.01,4.11,
Ecuador,3.89,4.03,4.16,
"Egypt, Arab Rep.",3.63,3.62,4.01,
El Salvador,3.56,3.61,3.79,
Estonia,3.88,3.55,3.53,
Ethiopia,3.69,3.69,3.64,
Finland,5.61,5.34,5.2,
France,4.93,4.8,4.58,
Gabon,No data,No data,3.84,
"Gambia, The",4.26,4.51,4.61,
Georgia,3.4,3.56,3.56,
Germany,5.32,5.2,4.9,
Ghana,4.51,4.61,4.61,
Greece,4.5,4.39,4.27,
Guatemala,4.42,4.28,4.16,
Guinea,3,3,3.98,
Haiti,3.16,3.01,2.94,
Honduras,4.01,4.03,4.03,
Hungary,2.86,2.95,3,
Iceland,5.3,4.97,5.17,
India,4.46,4.68,4.17,
Indonesia,4.7,4.67,4.55,
"Iran, Islamic Rep.",4.05,4.01,3.89,
Ireland,5.22,5.04,4.72,
Israel,5.52,5.47,5.31,
Italy,4.69,4.48,4.28,
Jamaica,4.47,4.47,4.3,
Japan,4.53,4.6,4.4,
Jordan,4.63,4.51,4.83,
Kazakhstan,4.03,3.9,4.07,
Kenya,4.85,4.88,4.87,
"Korea, Rep.",4.76,4.8,4.91,
Kuwait,3.73,3.96,4.28,
Kyrgyz Republic,3.6,3.54,3.59,
Lao PDR,3.96,3.82,4.19,
Latvia,3.72,3.82,3.92,
Lebanon,4.92,4.85,5.07,
Lesotho,3.24,3.42,3.43,
Liberia,3.55,3.71,No data,
Lithuania,3.44,3.32,3.46,
Luxembourg,4.26,4.25,4.38,
"Macedonia, FYR",No data,3.29,3.46,
Madagascar,No data,No data,3.82,
Malawi,3.61,3.86,3.76,
Malaysia,5.36,5.28,5.07,
Mali,4.29,4.03,3.96,
Malta,3.92,3.72,3.55,
Mauritania,3.17,3.68,3.68,
Mauritius,4.06,3.97,4.04,
Mexico,4.33,4.27,4.18,
Moldova,3.29,3.15,3.2,
Mongolia,2.72,2.64,2.8,
Montenegro,3.67,3.96,4.03,
Morocco,3.73,3.77,3.96,
Mozambique,3.34,3.31,3.29,
Namibia,3.54,3.51,3.9,
Nepal,3.79,3.84,3.97,
Netherlands,5.27,5,4.81,
New Zealand,4.83,4.39,4.15,
Nicaragua,3.4,3.32,3.32,
Nigeria,4.02,3.8,3.95,
Norway,5.66,5.24,5.24,
Oman,3.54,4.35,4.55,
Pakistan,4.07,4.24,4.32,
Panama,3.69,3.4,3.61,
Paraguay,3.25,3.19,3.23,
Peru,3.73,3.64,3.64,
Philippines,4.46,4.89,5.03,
Poland,4.35,4.14,4.09,
Portugal,4.81,4.7,4.57,
Qatar,4.86,5.04,5.25,
Romania,3.23,3.24,3.25,
Russian Federation,4.24,4.39,4.52,
Rwanda,3.84,4.17,4.12,
Saudi Arabia,4.24,4.52,5.02,
Senegal,4.65,4.61,4.8,
Serbia,3.73,4.1,4.44,
Seychelles,3.53,3.94,4.12,
Sierra Leone,3.36,3.5,No data,
Singapore,5.09,5.1,5.13,
Slovak Republic,3.41,3.27,3.43,
Slovenia,4.36,4.26,4.26,
South Africa,3.81,4.02,3.94,
Spain,4.54,4.61,4.63,
Sri Lanka,4.18,4.29,4.45,
Sweden,4.93,4.97,4.82,
Switzerland,5.43,5.21,4.92,
"Taiwan, China",5.02,5.01,5.15,
Tajikistan,3.87,3.94,4.18,
Tanzania,3.96,4.02,4.29,
Thailand,3.87,3.9,4.02,
Trinidad and Tobago,4.34,4.48,4.35,
Tunisia,4.15,4.17,4.01,
Turkey,3.86,3.46,3.92,
Uganda,4.43,4.6,4.45,
Ukraine,4.53,4.38,4.4,
United Arab Emirates,5.01,5.07,5.15,
United Kingdom,4.98,5.15,5.05,
United States,5.67,5.75,5.32,
Uruguay,4,3.97,4.12,
"Venezuela, RB",3.46,3.25,3.39,
Vietnam,3.8,3.68,3.96,
"Yemen, Rep.",3.41,3.39,3.71,
Zambia,4.63,4.65,4.76,
Zimbabwe,4.31,4.17,4.38,
