Country Name,Country Code,Series Name,Series Code,2018 [YR2018]
Afghanistan,AFG,"Ability to track and trace consignments, rank (1=highest performer)",LP.LPI.TRAC.RK,159
Afghanistan,AFG,"Ability to track and trace consignments, score (1=low to 5=high)",LP.LPI.TRAC.XQ,1.697024
Afghanistan,AFG,"Competence and quality of logistics services, rank (1=highest performer)",LP.LPI.LOGS.RK,158
Afghanistan,AFG,"Competence and quality of logistics services, score (1=low to 5=high)",LP.LPI.LOGS.XQ,1.919246
Afghanistan,AFG,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",LP.LPI.ITRN.RK,152
Afghanistan,AFG,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",LP.LPI.ITRN.XQ,2.104431
Afghanistan,AFG,"Efficiency of the clearance process, rank (1=highest performer)",LP.LPI.CUST.RK,158
Afghanistan,AFG,"Efficiency of the clearance process, score (1=low to 5=high)",LP.LPI.CUST.XQ,1.7349
Afghanistan,AFG,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",LP.LPI.TIME.RK,153
Afghanistan,AFG,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",LP.LPI.TIME.XQ,2.382438
Afghanistan,AFG,Logistics performance index: Overall rank (1=highest performance),LP.LPI.OVRL.RK,160
Afghanistan,AFG,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,155
Afghanistan,AFG,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,160
Afghanistan,AFG,Logistics performance index: Overall score (1=low to 5=high),LP.LPI.OVRL.XQ,1.948565
Afghanistan,AFG,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,1.790851
Afghanistan,AFG,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,2.10628
Afghanistan,AFG,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,29.6292860346769
Afghanistan,AFG,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",LP.LPI.INFR.RK,158
Afghanistan,AFG,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",LP.LPI.INFR.XQ,1.807143
Albania,ALB,"Ability to track and trace consignments, rank (1=highest performer)",LP.LPI.TRAC.RK,95
Albania,ALB,"Ability to track and trace consignments, score (1=low to 5=high)",LP.LPI.TRAC.XQ,2.665647
Albania,ALB,"Competence and quality of logistics services, rank (1=highest performer)",LP.LPI.LOGS.RK,92
Albania,ALB,"Competence and quality of logistics services, score (1=low to 5=high)",LP.LPI.LOGS.XQ,2.558898
Albania,ALB,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",LP.LPI.ITRN.RK,69
Albania,ALB,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",LP.LPI.ITRN.XQ,2.823862
Albania,ALB,"Efficiency of the clearance process, rank (1=highest performer)",LP.LPI.CUST.RK,114
Albania,ALB,"Efficiency of the clearance process, score (1=low to 5=high)",LP.LPI.CUST.XQ,2.347126
Albania,ALB,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",LP.LPI.TIME.RK,73
Albania,ALB,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",LP.LPI.TIME.XQ,3.202666
Albania,ALB,Logistics performance index: Overall rank (1=highest performance),LP.LPI.OVRL.RK,88
Albania,ALB,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,64
Albania,ALB,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,115
Albania,ALB,Logistics performance index: Overall score (1=low to 5=high),LP.LPI.OVRL.XQ,2.659603
Albania,ALB,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,2.460908
Albania,ALB,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,2.858299
Albania,ALB,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,51.8392013104087
Albania,ALB,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",LP.LPI.INFR.RK,110
Albania,ALB,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",LP.LPI.INFR.XQ,2.293674
Algeria,DZA,"Ability to track and trace consignments, rank (1=highest performer)",LP.LPI.TRAC.RK,103
Algeria,DZA,"Ability to track and trace consignments, score (1=low to 5=high)",LP.LPI.TRAC.XQ,2.604862
Algeria,DZA,"Competence and quality of logistics services, rank (1=highest performer)",LP.LPI.LOGS.RK,113
Algeria,DZA,"Competence and quality of logistics services, score (1=low to 5=high)",LP.LPI.LOGS.XQ,2.391247
Algeria,DZA,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",LP.LPI.ITRN.RK,122
Algeria,DZA,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",LP.LPI.ITRN.XQ,2.38747
Algeria,DZA,"Efficiency of the clearance process, rank (1=highest performer)",LP.LPI.CUST.RK,138
Algeria,DZA,"Efficiency of the clearance process, score (1=low to 5=high)",LP.LPI.CUST.XQ,2.13028
Algeria,DZA,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",LP.LPI.TIME.RK,124
Algeria,DZA,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",LP.LPI.TIME.XQ,2.761177
Algeria,DZA,Logistics performance index: Overall rank (1=highest performance),LP.LPI.OVRL.RK,117
Algeria,DZA,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,85
Algeria,DZA,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,143
Algeria,DZA,Logistics performance index: Overall score (1=low to 5=high),LP.LPI.OVRL.XQ,2.448071
Algeria,DZA,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,2.209783
Algeria,DZA,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,2.68636
