Country,Facebook Users,Population in Thousands (2021),Percentage of Facebook Users
India,"251,000,000","1,393,409",18.01
United States,"240,000,000","332,915",72.09
Brazil,"139,000,000","213,993",64.96
Indonesia,"136,960,000","276,362",49.56
Mexico,"78,000,000","130,262",59.88
Philippines,"71,760,000","111,047",64.62
Vietnam,"66,720,000","98,169",67.96
Thailand,"46,000,000","69,951",65.76
United Kingdom,"44,000,000","68,207",64.51
Turkey,"44,000,000","85,043",51.74
Egypt,"42,400,000","104,258",40.67
Iran,"40,000,000","85,029",47.04
Pakistan,"37,070,000","225,200",16.46
Bangladesh,"33,713,000","166,303",20.27
France,"33,000,000","65,426",50.44
Germany,"31,000,000","83,900",36.95
Argentina,"30,000,000","45,606",65.78
Italy,"30,000,000","60,367",49.7
Colombia,"29,000,000","51,266",56.57
Japan,"28,000,000","126,051",22.21
Nigeria,"27,120,000","211,401",12.83
Malaysia,"25,520,000","32,776",77.86
Saudi Arabia,"23,720,000","35,341",67.12
Canada,"23,000,000","38,068",60.42
Spain,"23,000,000","46,745",49.2
Myanmar,"22,200,000","54,806",40.51
South Korea,"21,836,000","51,305",42.56
South Africa,"21,280,000","60,042",35.44
Iraq,"21,276,000","41,179",51.67
Peru,"20,000,000","33,359",59.95
Taiwan,"19,190,000","23,855",80.44
Algeria,"19,000,000","44,617",42.58
Morocco,"18,330,000","37,345",49.08
Australia,"15,000,000","25,788",58.17
Poland,"14,000,000","37,797",37.04
Russia,"13,100,000","145,912",8.98
Chile,"13,000,000","19,212",67.67
Venezuela,"13,000,000","28,705",45.29
Nepal,"10,419,000","29,675",35.11
Ecuador,"10,000,000","17,888",55.9
Netherlands,"9,800,000","17,173",57.07
Ukraine,"9,500,000","43,467",21.86
Kazakhstan,"9,246,000","18,995",48.68
Romania,"8,900,000","19,128",46.53
United Arab Emirates,"8,737,000","9,991",87.45
Cambodia,"7,810,000","16,946",46.09
Syria,"7,609,286","18,276",41.64
Tunisia,"7,445,000","11,936",62.37
Kenya,"7,000,000","54,986",12.73
Guatemala,"6,800,000","18,250",37.26
Belgium,"6,500,000","11,632",55.88
Sri Lanka,"6,428,000","21,497",29.9
Sweden,"6,300,000","10,160",62.01
Bolivia,"6,100,000","11,833",51.55
Ethiopia,"6,007,000","117,876",5.1
Israel,"5,877,000","8,790",66.86
Portugal,"5,800,000","10,168",57.04
Jordan,"5,755,000","10,269",56.04
Hong Kong,"5,361,000","7,553",70.98
Hungary,"5,300,000","9,634",55.01
Dominican Republic,"5,100,000","10,954",46.56
Libya,"5,094,000","6,959",73.2
Greece,"5,000,000","10,371",48.21
Ghana,"4,900,000","31,732",15.44
Ivory Coast,"4,758,000","27,054",17.59
Czech Republic,"4,600,000","10,725",42.89
Singapore,"4,470,000","5,897",75.8
Tanzania,"4,271,000","61,498",6.94
Kuwait,"4,093,000","4,329",94.55
Lebanon,"3,967,000","6,769",58.61
Belarus,"3,850,000","9,443",40.77
Afghanistan,"3,848,400","39,835",9.66
Denmark,"3,700,000","5,813",63.65
Switzerland,"3,700,000","8,715",42.46
Austria,"3,700,000","9,043",40.92
Senegal,"3,408,000","17,196",19.82
Norway,"3,400,000","5,466",62.2
El Salvador,"3,400,000","6,518",52.16
Serbia,"3,400,000","8,698",39.09
Honduras,"3,400,000","10,063",33.79
Bulgaria,"3,300,000","6,897",47.85
Paraguay,"3,300,000","7,220",45.71
Costa Rica,"3,200,000","5,139",62.27
Slovakia,"3,200,000","5,461",58.6
DR Congo,"3,117,000","92,378",3.37
New Zealand,"3,100,000","4,861",63.77
Uzbekistan,"3,094,000","33,936",9.12
Laos,"3,056,000","7,379",41.41
Qatar,"2,942,000","2,931",100.38
Ireland,"2,700,000","4,983",54.18
Finland,"2,700,000","5,548",48.67
Cameroon,"2,700,000","27,224",9.92
Palestine,"2,677,000","5,223",51.25
Oman,"2,635,400","5,223",50.46
Yemen,"2,552,100","30,491",8.37
Georgia,"2,524,000","3,980",63.42
Nicaragua,"2,500,000","6,702",37.3
Uganda,"2,471,000","47,124",5.24
Mozambique,"2,448,000","32,163",7.61
Kyrgyzstan,"2,418,000","6,628",36.48
Uruguay,"2,400,000","3,485",68.87
Madagascar,"2,317,000","28,427",8.15
Zambia,"2,253,000","18,921",11.91
Angola,"2,244,000","33,934",6.61
Mongolia,"2,233,000","3,329",67.08
Puerto Rico,"2,100,000","2,828",74.26
Guinea,"2,008,000","13,497",14.88
Panama,"2,000,000","4,382",45.64
Azerbaijan,"1,854,000","10,223",18.14
Croatia,"1,800,000","4,082",44.1
Haiti,"1,800,000","11,542",15.6
Mali,"1,670,100","20,856",8.01
Somalia,"1,666,500","16,360",10.19
Bosnia and Herzegovina,"1,500,000","3,263",45.97
Lithuania,"1,400,000","2,690",52.04
Albania,"1,400,000","2,873",48.73
Bahrain,"1,352,500","1,748",77.37
China,"1,330,000","1,444,216",0.09
Sudan,"1,300,000","44,909",2.89
Armenia,"1,252,000","2,968",42.18
Jamaica,"1,100,000","2,973",37
Zimbabwe,"994,000","15,092",6.59
Benin,"920,000","12,451",7.39
Slovenia,"910,000","2,079",43.77
Cyprus,"870,000","1,216",71.55
Mauritius,"852,000","1,273",66.93
Burkina Faso,"840,000","21,497",3.91
Botswana,"830,000","2,397",34.63
Moldova,"800,000","4,024",19.88
Mauritania,"796,900","4,775",16.69
Gabon,"743,000","2,279",32.6
Latvia,"740,000","1,867",39.64
Republic of the Congo,"732,800","5,657",12.95
Trinidad and Tobago,"700,000","1,403",49.89
Sierra Leone,"693,400","8,141",8.52
Namibia,"692,400","2,587",26.76
Papua New Guinea,"670,000","9,119",7.35
Togo,"658,100","8,478",7.76
Tajikistan,"645,500","9,750",6.62
Estonia,"620,000","1,325",46.79
Rwanda,"592,400","13,277",4.46
Reunion,"544,000",902,60.31
