SDG_IND,Indicator,LOCATION,Country,TIME,Time,Value,Flag Codes,Flags
ICTSKILLTRANSFERFILE_M,"Proportion of youth and adults who have transferred files between a computer and other devices, male (%)",BRA,Brazil,2014,2014,23.31007,,
ICTSKILLTRANSFERFILE_M,"Proportion of youth and adults who have transferred files between a computer and other devices, male (%)",BRA,Brazil,2016,2016,21.53173,,
ICTSKILLTRANSFERFILE_M,"Proportion of youth and adults who have transferred files between a computer and other devices, male (%)",BRA,Brazil,2017,2017,21.1488,,
ICTSKILLTRANSFERFILE_M,"Proportion of youth and adults who have transferred files between a computer and other devices, male (%)",BRA,Brazil,2018,2018,21.84886,,
ICTSKILLDUPLIC_M,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, male (%)",BRA,Brazil,2014,2014,25.64427,,
ICTSKILLDUPLIC_M,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, male (%)",BRA,Brazil,2016,2016,22.01463,,
ICTSKILLDUPLIC_M,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, male (%)",BRA,Brazil,2017,2017,22.69577,,
ICTSKILLDUPLIC_M,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, male (%)",BRA,Brazil,2018,2018,22.59234,,
ICTSKILLTRANSFERFILE,"Proportion of youth and adults who have transferred files between a computer and other devices, both sexes (%)",TUR,Turkey,2014,2014,27.72807,,
ICTSKILLTRANSFERFILE,"Proportion of youth and adults who have transferred files between a computer and other devices, both sexes (%)",TUR,Turkey,2015,2015,25.66142,,
ICTSKILLTRANSFERFILE,"Proportion of youth and adults who have transferred files between a computer and other devices, both sexes (%)",TUR,Turkey,2016,2016,31.29833,,
ICTSKILLTRANSFERFILE,"Proportion of youth and adults who have transferred files between a computer and other devices, both sexes (%)",TUR,Turkey,2017,2017,37.06352,,
ICTSKILLTRANSFERFILE,"Proportion of youth and adults who have transferred files between a computer and other devices, both sexes (%)",TUR,Turkey,2019,2019,38.1844,,
ICTSKILLFORMULA_M,"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, male (%)",EGY,Egypt,2014,2014,1.69992,,
ICTSKILLFORMULA_M,"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, male (%)",EGY,Egypt,2015,2015,2.14629,,
ICTSKILLFORMULA_M,"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, male (%)",EGY,Egypt,2016,2016,12.45577,,
ICTSKILLDUPLIC,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document , both sexes (%)",MLT,Malta,2014,2014,59.97665,,
ICTSKILLDUPLIC,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document , both sexes (%)",MLT,Malta,2015,2015,50.386,,
ICTSKILLPROGLANG_F,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, female (%)",FIN,Finland,2014,2014,20.66311,,
ICTSKILLPROGLANG_F,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, female (%)",FIN,Finland,2015,2015,3.24302,,
ICTSKILLPROGLANG_F,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, female (%)",FIN,Finland,2016,2016,5.6881,,
ICTSKILLFORMULA,"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, both sexes (%)",ISL,Iceland,2014,2014,69.10357,,
ICTSKILLFORMULA,"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, both sexes (%)",ISL,Iceland,2017,2017,71.26471,,
ICTSKILLSOFTWARE,"Proportion of youth and adults who have found, downloaded, installed and configured software, both sexes (%)",MKD,North Macedonia,2015,2015,24.53511,,
ICTSKILLSOFTWARE,"Proportion of youth and adults who have found, downloaded, installed and configured software, both sexes (%)",MKD,North Macedonia,2016,2016,17.58192,,
ICTSKILLPROGLANG_M,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, male (%)",HUN,Hungary,2014,2014,9.64351,,
ICTSKILLPROGLANG_M,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, male (%)",HUN,Hungary,2015,2015,5.25167,,
ICTSKILLPROGLANG_M,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, male (%)",HUN,Hungary,2016,2016,6.09612,,
ICTSKILLPROGLANG_M,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, male (%)",HUN,Hungary,2017,2017,6.74261,,
ICTSKILLFORMULA_M,"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, male (%)",BEL,Belgium,2014,2014,46.37351,,
ICTSKILLFORMULA_M,"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, male (%)",BEL,Belgium,2015,2015,47.20701,,
ICTSKILLFORMULA_M,"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, male (%)",BEL,Belgium,2016,2016,48.69863,,
ICTSKILLFORMULA_M,"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, male (%)",BEL,Belgium,2017,2017,47.94483,,
ICTSKILLSOFTWARE,"Proportion of youth and adults who have found, downloaded, installed and configured software, both sexes (%)",THA,Thailand,2014,2014,7.44984,,
ICTSKILLSOFTWARE,"Proportion of youth and adults who have found, downloaded, installed and configured software, both sexes (%)",THA,Thailand,2018,2018,4.55807,,
ICTSKILLSOFTWARE,"Proportion of youth and adults who have found, downloaded, installed and configured software, both sexes (%)",THA,Thailand,2019,2019,5.3,,
ICTSKILLSOFTWARE_F,"Proportion of youth and adults who have found, downloaded, installed and configured software, female (%)",ROU,Romania,2015,2015,14.24559,,
ICTSKILLSOFTWARE_F,"Proportion of youth and adults who have found, downloaded, installed and configured software, female (%)",ROU,Romania,2016,2016,16.311,,
ICTSKILLDUPLIC_F,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, female (%)",LVA,Latvia,2014,2014,62.26835,,
ICTSKILLDUPLIC_F,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, female (%)",LVA,Latvia,2015,2015,53.8919,,
ICTSKILLSOFTWARE_M,"Proportion of youth and adults who have found, downloaded, installed and configured software, male (%)",SVK,Slovakia,2015,2015,30.04549,,
ICTSKILLSOFTWARE_M,"Proportion of youth and adults who have found, downloaded, installed and configured software, male (%)",SVK,Slovakia,2016,2016,34.26621,,
ICTSKILLSOFTWARE_F,"Proportion of youth and adults who have found, downloaded, installed and configured software, female (%)",HRV,Croatia,2015,2015,40.22018,,
ICTSKILLSOFTWARE_F,"Proportion of youth and adults who have found, downloaded, installed and configured software, female (%)",HRV,Croatia,2016,2016,45.03962,,
ICTSKILLSOFTWARE_F,"Proportion of youth and adults who have found, downloaded, installed and configured software, female (%)",HRV,Croatia,2017,2017,33.25578,,
ICTSKILLTRANSFERFILE_M,"Proportion of youth and adults who have transferred files between a computer and other devices, male (%)",NLD,Netherlands,2014,2014,71.5703,,
ICTSKILLTRANSFERFILE_M,"Proportion of youth and adults who have transferred files between a computer and other devices, male (%)",NLD,Netherlands,2015,2015,67.79051,,
ICTSKILLTRANSFERFILE_M,"Proportion of youth and adults who have transferred files between a computer and other devices, male (%)",NLD,Netherlands,2016,2016,67.8925,,
ICTSKILLPROGLANG_F,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, female (%)",EST,Estonia,2014,2014,6.3267,,
ICTSKILLPROGLANG_F,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, female (%)",EST,Estonia,2015,2015,3.46639,,
ICTSKILLPROGLANG_F,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, female (%)",EST,Estonia,2016,2016,4.11753,,
ICTSKILLPROGLANG_F,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, female (%)",EST,Estonia,2017,2017,4.01291,,
ICTSKILLPROGLANG_F,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, female (%)",BHR,Bahrain,2015,2015,12.99986,,
ICTSKILLPROGLANG_F,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, female (%)",BHR,Bahrain,2016,2016,11.0637,,
ICTSKILLPROGLANG_F,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, female (%)",BHR,Bahrain,2017,2017,17.49006,,
ICTSKILLPROGLANG_F,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, female (%)",BHR,Bahrain,2018,2018,11.19407,,
ICTSKILLDUPLIC,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document , both sexes (%)",CYP,Cyprus,2014,2014,58.85987,,
ICTSKILLDUPLIC,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document , both sexes (%)",CYP,Cyprus,2015,2015,44.58377,,
ICTSKILLTRANSFERFILE_M,"Proportion of youth and adults who have transferred files between a computer and other devices, male (%)",KOR,Republic of Korea,2015,2015,53.95992,,
ICTSKILLTRANSFERFILE_M,"Proportion of youth and adults who have transferred files between a computer and other devices, male (%)",KOR,Republic of Korea,2016,2016,57.90644,,
ICTSKILLTRANSFERFILE_M,"Proportion of youth and adults who have transferred files between a computer and other devices, male (%)",KOR,Republic of Korea,2017,2017,54.91568,,
ICTSKILLTRANSFERFILE_M,"Proportion of youth and adults who have transferred files between a computer and other devices, male (%)",KOR,Republic of Korea,2018,2018,64.36409,,
ICTSKILLPROGLANG_M,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, male (%)",FRA,France,2014,2014,15.6444,,
ICTSKILLPROGLANG_M,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, male (%)",FRA,France,2015,2015,7.04229,,
ICTSKILLPROGLANG_M,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, male (%)",FRA,France,2016,2016,7.13433,,
ICTSKILLSOFTWARE_M,"Proportion of youth and adults who have found, downloaded, installed and configured software, male (%)",RUS,Russian Federation,2014,2014,4.26942,,
ICTSKILLSOFTWARE_M,"Proportion of youth and adults who have found, downloaded, installed and configured software, male (%)",RUS,Russian Federation,2015,2015,4.90079,,
ICTSKILLSOFTWARE_M,"Proportion of youth and adults who have found, downloaded, installed and configured software, male (%)",RUS,Russian Federation,2016,2016,4.23704,,
ICTSKILLSOFTWARE_M,"Proportion of youth and adults who have found, downloaded, installed and configured software, male (%)",RUS,Russian Federation,2017,2017,5.39903,,
ICTSKILLSOFTWARE_M,"Proportion of youth and adults who have found, downloaded, installed and configured software, male (%)",RUS,Russian Federation,2018,2018,4.21999,,
ICTSKILLTRANSFERFILE_F,"Proportion of youth and adults who have transferred files between a computer and other devices, female (%)",GBR,United Kingdom of Great Britain and Northern Ireland,2014,2014,62.1218,,
ICTSKILLTRANSFERFILE_F,"Proportion of youth and adults who have transferred files between a computer and other devices, female (%)",GBR,United Kingdom of Great Britain and Northern Ireland,2015,2015,47.7293,,
ICTSKILLTRANSFERFILE_F,"Proportion of youth and adults who have transferred files between a computer and other devices, female (%)",GBR,United Kingdom of Great Britain and Northern Ireland,2016,2016,51.4755,,
ICTSKILLTRANSFERFILE_F,"Proportion of youth and adults who have transferred files between a computer and other devices, female (%)",GBR,United Kingdom of Great Britain and Northern Ireland,2017,2017,51.61744,,
ICTSKILLTRANSFERFILE,"Proportion of youth and adults who have transferred files between a computer and other devices, both sexes (%)",PAK,Pakistan,2016,2016,2.43244,,
ICTSKILLTRANSFERFILE,"Proportion of youth and adults who have transferred files between a computer and other devices, both sexes (%)",PAK,Pakistan,2019,2019,2.7,,
ICTSKILLDUPLIC_M,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, male (%)",PER,Peru,2018,2018,27.24926,,
ICTSKILLDUPLIC_F,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, female (%)",GBR,United Kingdom of Great Britain and Northern Ireland,2014,2014,73.2995,,
ICTSKILLDUPLIC_F,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, female (%)",GBR,United Kingdom of Great Britain and Northern Ireland,2015,2015,57.1802,,
ICTSKILLDUPLIC_F,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, female (%)",GBR,United Kingdom of Great Britain and Northern Ireland,2016,2016,59.9863,,
ICTSKILLDUPLIC_F,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, female (%)",GBR,United Kingdom of Great Britain and Northern Ireland,2017,2017,61.70584,,
ICTSKILLATTACH,"Proportion of youth and adults who have sent e-mails with attached files (e.g. document, picture, video), both sexes (%)",IRN,Iran (Islamic Republic of),2015,2015,19.77841,,
ICTSKILLATTACH,"Proportion of youth and adults who have sent e-mails with attached files (e.g. document, picture, video), both sexes (%)",IRN,Iran (Islamic Republic of),2017,2017,11.23048,,
ICTSKILLTRANSFERFILE_M,"Proportion of youth and adults who have transferred files between a computer and other devices, male (%)",MKD,North Macedonia,2014,2014,32.53435,,
ICTSKILLTRANSFERFILE_M,"Proportion of youth and adults who have transferred files between a computer and other devices, male (%)",MKD,North Macedonia,2015,2015,54.34221,,
ICTSKILLTRANSFERFILE_M,"Proportion of youth and adults who have transferred files between a computer and other devices, male (%)",MKD,North Macedonia,2016,2016,40.75464,,
ICTSKILLPROGLANG,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, both sexes (%)",PRT,Portugal,2014,2014,7.86493,,
ICTSKILLPROGLANG,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, both sexes (%)",PRT,Portugal,2015,2015,6.54202,,
