Indicator,Country,Industry,Information and communication technologies,Sex,Measure,Time,Value,Flags
ICT specialists within and outside information industries,Austria,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2011,3.1764,
ICT specialists within and outside information industries,Austria,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2012,3.225967,
ICT specialists within and outside information industries,Austria,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2013,3.346251,
ICT specialists within and outside information industries,Austria,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2014,3.3191,
ICT specialists within and outside information industries,Austria,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2015,3.72934,
ICT specialists within and outside information industries,Austria,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2016,3.850018,
ICT specialists within and outside information industries,Austria,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2017,4.023322,
ICT specialists within and outside information industries,Austria,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2011,5.500226,
ICT specialists within and outside information industries,Austria,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2012,5.995359,
ICT specialists within and outside information industries,Austria,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2013,6.098773,
ICT specialists within and outside information industries,Austria,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2014,6.322923,
ICT specialists within and outside information industries,Austria,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2015,6.42412,
ICT specialists within and outside information industries,Austria,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2016,6.570953,
ICT specialists within and outside information industries,Austria,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2017,6.860842,
ICT specialists within and outside information industries,Austria,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2011,91.32338,
ICT specialists within and outside information industries,Austria,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2012,90.77867,
ICT specialists within and outside information industries,Austria,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2013,90.55498,
ICT specialists within and outside information industries,Austria,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2014,90.35798,
ICT specialists within and outside information industries,Austria,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2015,89.84654,
ICT specialists within and outside information industries,Austria,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2016,89.57903,
ICT specialists within and outside information industries,Austria,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2017,89.11607,
ICT specialists within and outside information industries,Austria,Total economy,ICT-intensive,Total,Share of jobs,2011,8.676626,
ICT specialists within and outside information industries,Austria,Total economy,ICT-intensive,Total,Share of jobs,2012,9.221327,
ICT specialists within and outside information industries,Austria,Total economy,ICT-intensive,Total,Share of jobs,2013,9.445024,
ICT specialists within and outside information industries,Austria,Total economy,ICT-intensive,Total,Share of jobs,2014,9.642024,
ICT specialists within and outside information industries,Austria,Total economy,ICT-intensive,Total,Share of jobs,2015,10.15346,
ICT specialists within and outside information industries,Austria,Total economy,ICT-intensive,Total,Share of jobs,2016,10.42097,
ICT specialists within and outside information industries,Austria,Total economy,ICT-intensive,Total,Share of jobs,2017,10.88416,
ICT specialists within and outside information industries,Austria,Total economy,Total,Total,Share of jobs,2011,100,
ICT specialists within and outside information industries,Austria,Total economy,Total,Total,Share of jobs,2012,100,
ICT specialists within and outside information industries,Austria,Total economy,Total,Total,Share of jobs,2013,100,
ICT specialists within and outside information industries,Austria,Total economy,Total,Total,Share of jobs,2014,100,
ICT specialists within and outside information industries,Austria,Total economy,Total,Total,Share of jobs,2015,100,
ICT specialists within and outside information industries,Austria,Total economy,Total,Total,Share of jobs,2016,100,
ICT specialists within and outside information industries,Austria,Total economy,Total,Total,Share of jobs,2017,100,
ICT specialists within and outside information industries,Belgium,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2011,3.650557,
ICT specialists within and outside information industries,Belgium,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2012,3.886687,
ICT specialists within and outside information industries,Belgium,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2013,3.698285,
ICT specialists within and outside information industries,Belgium,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2014,3.809118,
ICT specialists within and outside information industries,Belgium,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2015,3.738527,
ICT specialists within and outside information industries,Belgium,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2016,3.812989,
ICT specialists within and outside information industries,Belgium,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2017,4.493735,
ICT specialists within and outside information industries,Belgium,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2011,7.781689,
ICT specialists within and outside information industries,Belgium,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2012,8.653846,
ICT specialists within and outside information industries,Belgium,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2013,9.075767,
ICT specialists within and outside information industries,Belgium,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2014,9.692263,
ICT specialists within and outside information industries,Belgium,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2015,8.89976,
ICT specialists within and outside information industries,Belgium,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2016,9.214924,
ICT specialists within and outside information industries,Belgium,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2017,9.954526,
ICT specialists within and outside information industries,Belgium,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2011,88.57001,
ICT specialists within and outside information industries,Belgium,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2012,87.45722,
ICT specialists within and outside information industries,Belgium,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2013,87.2282,
ICT specialists within and outside information industries,Belgium,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2014,86.49862,
ICT specialists within and outside information industries,Belgium,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2015,87.36396,
ICT specialists within and outside information industries,Belgium,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2016,86.97209,
ICT specialists within and outside information industries,Belgium,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2017,85.55152,
ICT specialists within and outside information industries,Belgium,Total economy,ICT-intensive,Total,Share of jobs,2011,11.43225,
ICT specialists within and outside information industries,Belgium,Total economy,ICT-intensive,Total,Share of jobs,2012,12.54053,
ICT specialists within and outside information industries,Belgium,Total economy,ICT-intensive,Total,Share of jobs,2013,12.77405,
ICT specialists within and outside information industries,Belgium,Total economy,ICT-intensive,Total,Share of jobs,2014,13.50138,
ICT specialists within and outside information industries,Belgium,Total economy,ICT-intensive,Total,Share of jobs,2015,12.63829,
ICT specialists within and outside information industries,Belgium,Total economy,ICT-intensive,Total,Share of jobs,2016,13.02791,
ICT specialists within and outside information industries,Belgium,Total economy,ICT-intensive,Total,Share of jobs,2017,14.44826,
ICT specialists within and outside information industries,Belgium,Total economy,Total,Total,Share of jobs,2011,100,
ICT specialists within and outside information industries,Belgium,Total economy,Total,Total,Share of jobs,2012,100,
ICT specialists within and outside information industries,Belgium,Total economy,Total,Total,Share of jobs,2013,100,
ICT specialists within and outside information industries,Belgium,Total economy,Total,Total,Share of jobs,2014,100,
ICT specialists within and outside information industries,Belgium,Total economy,Total,Total,Share of jobs,2015,100,
ICT specialists within and outside information industries,Belgium,Total economy,Total,Total,Share of jobs,2016,100,
ICT specialists within and outside information industries,Belgium,Total economy,Total,Total,Share of jobs,2017,100,
ICT specialists within and outside information industries,Czech Republic,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2011,3.324712,
ICT specialists within and outside information industries,Czech Republic,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2012,3.096407,
ICT specialists within and outside information industries,Czech Republic,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2013,3.378671,
ICT specialists within and outside information industries,Czech Republic,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2014,3.465367,
ICT specialists within and outside information industries,Czech Republic,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2015,3.332928,
ICT specialists within and outside information industries,Czech Republic,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2016,3.537748,
ICT specialists within and outside information industries,Czech Republic,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2017,3.555417,
ICT specialists within and outside information industries,Czech Republic,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2011,4.313366,
ICT specialists within and outside information industries,Czech Republic,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2012,4.689319,
ICT specialists within and outside information industries,Czech Republic,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2013,5.467379,
ICT specialists within and outside information industries,Czech Republic,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2014,5.251301,
ICT specialists within and outside information industries,Czech Republic,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2015,5.522443,
ICT specialists within and outside information industries,Czech Republic,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2016,5.526624,
ICT specialists within and outside information industries,Czech Republic,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2017,5.664536,
ICT specialists within and outside information industries,Czech Republic,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2011,92.35983,
ICT specialists within and outside information industries,Czech Republic,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2012,92.21219,
ICT specialists within and outside information industries,Czech Republic,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2013,91.15601,
ICT specialists within and outside information industries,Czech Republic,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2014,91.28333,
ICT specialists within and outside information industries,Czech Republic,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2015,91.14463,
ICT specialists within and outside information industries,Czech Republic,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2016,90.93563,
ICT specialists within and outside information industries,Czech Republic,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2017,90.78005,
ICT specialists within and outside information industries,Czech Republic,Total economy,ICT-intensive,Total,Share of jobs,2011,7.638077,
ICT specialists within and outside information industries,Czech Republic,Total economy,ICT-intensive,Total,Share of jobs,2012,7.785726,
ICT specialists within and outside information industries,Czech Republic,Total economy,ICT-intensive,Total,Share of jobs,2013,8.846051,
ICT specialists within and outside information industries,Czech Republic,Total economy,ICT-intensive,Total,Share of jobs,2014,8.716667,
ICT specialists within and outside information industries,Czech Republic,Total economy,ICT-intensive,Total,Share of jobs,2015,8.85537,
ICT specialists within and outside information industries,Czech Republic,Total economy,ICT-intensive,Total,Share of jobs,2016,9.064372,
ICT specialists within and outside information industries,Czech Republic,Total economy,ICT-intensive,Total,Share of jobs,2017,9.219953,
ICT specialists within and outside information industries,Czech Republic,Total economy,Total,Total,Share of jobs,2011,100,
ICT specialists within and outside information industries,Czech Republic,Total economy,Total,Total,Share of jobs,2012,100,
ICT specialists within and outside information industries,Czech Republic,Total economy,Total,Total,Share of jobs,2013,100,
ICT specialists within and outside information industries,Czech Republic,Total economy,Total,Total,Share of jobs,2014,100,
ICT specialists within and outside information industries,Czech Republic,Total economy,Total,Total,Share of jobs,2015,100,
ICT specialists within and outside information industries,Czech Republic,Total economy,Total,Total,Share of jobs,2016,100,
ICT specialists within and outside information industries,Czech Republic,Total economy,Total,Total,Share of jobs,2017,100,
ICT specialists within and outside information industries,Denmark,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2011,3.90329,
ICT specialists within and outside information industries,Denmark,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2012,4.330874,
ICT specialists within and outside information industries,Denmark,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2013,4.405859,
ICT specialists within and outside information industries,Denmark,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2014,4.168725,
ICT specialists within and outside information industries,Denmark,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2015,4.095934,
ICT specialists within and outside information industries,Denmark,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2011,7.764893,
ICT specialists within and outside information industries,Denmark,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2012,7.985169,
ICT specialists within and outside information industries,Denmark,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2013,8.180671,
ICT specialists within and outside information industries,Denmark,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2014,7.965039,
ICT specialists within and outside information industries,Denmark,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2015,7.869589,
ICT specialists within and outside information industries,Denmark,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2011,88.33182,
ICT specialists within and outside information industries,Denmark,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2012,87.68396,
ICT specialists within and outside information industries,Denmark,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2013,87.40965,
ICT specialists within and outside information industries,Denmark,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2014,87.87004,
ICT specialists within and outside information industries,Denmark,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2015,88.03447,
ICT specialists within and outside information industries,Denmark,Total economy,ICT-intensive,Total,Share of jobs,2011,11.66818,
