Country,Score (2020),Rank (2020)
United States of America**,100,1
United Kingdom,99.54,2
Saudi Arabia,99.54,2
Estonia,99.48,3
Korea (Rep. of),98.52,4
Singapore,98.52,4
Spain,98.52,4
Russian Federation,98.06,5
United Arab Emirates,98.06,5
Malaysia,98.06,5
Lithuania,97.93,6
Japan,97.82,7
Canada**,97.67,8
France,97.6,9
India,97.5,10
Turkey,97.49,11
Australia,97.47,12
Luxembourg,97.41,13
Germany,97.41,13
Portugal,97.32,14
Latvia,97.28,15
Netherlands**,97.05,16
Norway**,96.89,17
Mauritius,96.89,17
Brazil,96.6,18
Belgium,96.25,19
Italy,96.13,20
Oman,96.04,21
Finland,95.78,22
Egypt,95.48,23
Indonesia,94.88,24
Viet Nam,94.59,25
Sweden,94.55,26
Qatar,94.5,27
Greece,93.98,28
Austria,93.89,29
Poland,93.86,30
Kazakhstan,93.15,31
Denmark,92.6,32
China,92.53,33
Croatia,92.53,33
Slovakia,92.36,34
Hungary,91.28,35
Israel**,90.93,36
Tanzania,90.58,37
North Macedonia,89.92,38
Serbia,89.8,39
Azerbaijan,89.31,40
Cyprus,88.82,41
Switzerland**,86.97,42
Ghana,86.69,43
Thailand,86.5,44
Tunisia,86.23,45
Ireland,85.86,46
Nigeria,84.76,47
New Zealand**,84.04,48
Malta,83.65,49
Morocco,82.41,50
Kenya,81.7,51
Mexico,81.68,52
Iran (Islamic Republic of),81.07,54
Georgia,81.06,55
Benin,80.06,56
Rwanda,79.95,57
Iceland,79.81,58
South Africa**,78.46,59
Bahrain,77.86,60
Philippines,77,61
Romania,76.29,62
Moldova,75.78,63
Uruguay,75.15,64
Kuwait,75.07,65
Dominican Rep.,75.05,66
Slovenia,74.93,67
Czech Republic,74.37,68
Monaco,72.57,69
Uzbekistan,71.11,70
Jordan,70.96,71
Uganda,69.98,72
Zambia,68.88,73
Chile,68.83,74
Côte d'Ivoire,67.82,75
Costa Rica,67.45,76
Bulgaria,67.38,77
Ukraine,65.93,78
Pakistan,64.88,79
Albania,64.32,80
Colombia,63.72,81
Cuba,58.76,82
Sri Lanka,58.65,83
Paraguay,57.09,84
Brunei Darussalam,56.07,85
Peru,55.67,86
Montenegro,53.23,87
Botswana,53.06,88
Belarus,50.57,89
Armenia**,50.47,90
Argentina,50.12,91
Kyrgyzstan,49.64,92
Cameroon,45.63,93
Nepal (Republic of),44.99,94
Chad,40.44,95
Burkina Faso**,39.98,96
Malawi,36.83,97
Zimbabwe,36.49,98
Myanmar,36.41,99
Senegal,35.85,100
Liechtenstein**,35.15,101
Sudan,35.03,102
Panama,34.11,103
Algeria,33.95,104
Togo,33.19,105
Jamaica**,32.53,106
Gambia,32.12,107
Suriname,31.2,108
Lebanon**,30.44,109
Bosnia and Herzegovina,29.44,110
Samoa,29.33,111
Fiji,29.08,112
Libya,28.78,113
Guyana,28.11,114
Ethiopia,27.74,115
Venezuela,27.06,116
Andorra**,26.38,117
Papua New Guinea**,26.33,118
Ecuador,26.3,119
Mongolia,26.2,120
Sierra Leone,25.31,121
State of Palestine,25.18,122
Mozambique,24.18,123
Madagascar**,23.33,124
Trinidad and Tobago,22.18,125
Syrian Arab Republic**,22.14,126
Nauru**,21.42,127
Tonga**,20.95,128
Iraq**,20.71,129
Guinea**,20.53,130
Lao P.D.R.,20.34,131
Cambodia**,19.12,132
Mauritania,18.94,133
Bhutan,18.34,134
Eswatini,18.23,135
Cabo Verde,17.74,136
Somalia,17.25,137
Tajikistan**,17.1,138
Barbados,16.89,139
Bolivia (Plurinational State of),16.14,140
Sao Tome and Principe,15.64,141
Antigua and Barbuda,15.62,142
Congo (Rep. of the)**,14.72,143
Turkmenistan**,14.48,144
Kiribati,13.84,145
San Marino,13.83,146
Bahamas,13.37,147
El Salvador**,13.3,148
Seychelles**,13.23,149
Guatemala,13.13,150
Angola,12.99,151
Vanuatu,12.88,152
Saint Kitts and Nevis**,12.44,153
Saint Vincent and the Grenadines**,12.18,154
Namibia,11.47,155
Niger,11.38,156
Gabon,11.36,157
Saint Lucia**,10.96,158
Belize,10.29,159
Mali**,10.14,160
Guinea-Bissau,9.85,161
Liberia,9.72,162
Grenada,9.41,163
Lesotho,9.08,164
Nicaragua**,9,165
Solomon Islands,7.08,166
Haiti,6.4,167
Tuvalu**,5.78,168
South Sudan**,5.75,169
Dem. Rep. of the Congo,5.3,170
Afghanistan,5.2,171
Marshall Islands**,4.9,172
Timor-Leste**,4.26,173
Dominica,4.2,174
Comoros**,3.72,175
Central African Rep.**,3.24,176
Maldives**,2.95,177
Honduras**,2.2,178
Djibouti,1.73,179
Burundi,1.73,179
Eritrea**,1.73,179
Equatorial Guinea**,1.46,180
Dem. People's Rep. of Korea**,1.35,181
Micronesia*,0,182
Vatican*,0,182
Yemen*,0,182
Zimbabwe,124,0.186
