Global Rank,Region,Country and Region,Technology,Data Science
1,Europe,Switzerland,84%,96%
2,Europe,Luxembourg,62%,85%
3,Europe,Austria,88%,95%
4,Asia Pacific,Japan,100%,88%
5,Europe,Germany,89%,94%
6,Europe,Belgium,86%,98%
7,Europe,Sweden,82%,96%
8,Europe,Denmark,87%,99%
9,Europe,Russian Federation,92%,97%
10,Asia Pacific,Singapore,96%,86%
11,Europe,Norway,63%,88%
12,Europe,Belarus,99%,91%
13,Europe,Czech Republic,97%,90%
14,Europe,Finland,90%,100%
15,Europe,Bulgaria,95%,75%
16,Europe,Italy,91%,72%
17,Europe,Netherlands,79%,93%
18,Europe,Hungary,96%,84%
19,Sub-Saharan Africa,Cameroon,75%,64%
20,Asia Pacific,Vietnam,88%,61%
21,Europe,Croatia,83%,78%
22,Europe,Greece,73%,71%
23,Asia Pacific,Hong Kong,51%,92%
24,Europe,Latvia,72%,77%
25,Asia Pacific,Taiwan,71%,83%
26,Latin America and the Caribbean,Barbados,94%,29%
27,Europe,Ukraine,93%,82%
28,Europe,France,70%,79%
29,North America,United States,69%,73%
30,Europe,Poland,64%,76%
31,Europe,Portugal,80%,55%
32,Europe,Spain,59%,87%
33,Europe,Serbia,76%,68%
34,Europe,Ireland,79%,65%
35,MENA,United Arab Emirates,33%,34%
36,Europe,Estonia,63%,59%
37,Sub-Saharan Africa,Uganda,55%,31%
38,MENA,Israel,74%,80%
39,Asia Pacific,China,21%,81%
40,Asia Pacific,Sri Lanka,85%,49%
41,Asia Pacific,New Zealand,68%,79%
42,Sub-Saharan Africa,South Africa,58%,51%
43,MENA,Tunisia,77%,48%
44,Asia Pacific,Australia,61%,74%
45,Asia Pacific,Indonesia,78%,46%
46,Asia Pacific,Malaysia,56%,52%
47,Europe,Slovakia,54%,66%
48,Europe,Lithuania,52%,63%
49,Europe,Romania,65%,62%
50,Latin America and the Caribbean,Trinidad and Tobago,71%,41%
51,Europe,United Kingdom,57%,69%
52,MENA,Saudi Arabia,54%,18%
53,MENA,Egypt,44%,54%
54,MENA,Kuwait,43%,32%
55,North America,Canada,67%,70%
56,MENA,Qatar,45%,27%
57,Europe,Armenia,23%,60%
58,Sub-Saharan Africa,Ethiopia,81%,35%
59,MENA,Lebanon,32%,33%
60,Europe,Turkey,47%,37%
61,Latin America and the Caribbean,Venezuela,40%,63%
62,Asia Pacific,Nepal,53%,50%
63,Asia Pacific,Republic of Korea,37%,58%
64,Asia Pacific,Bangladesh,38%,38%
65,Asia Pacific,Pakistan,50%,29%
66,Sub-Saharan Africa,Rwanda,20%,40%
67,Asia Pacific,India,38%,38%
68,Latin America and the Caribbean,Costa Rica,49%,53%
69,Asia Pacific,Philippines,29%,44%
70,Europe,Georgia,21%,39%
71,MENA,Jordan,28%,25%
72,Europe,Azerbaijan,13%,24%
73,Sub-Saharan Africa,Ghana,29%,13%
74,Latin America and the Caribbean,Peru,46%,47%
75,MENA,Morocco,35%,36%
76,Asia Pacific,Thailand,39%,46%
77,Sub-Saharan Africa,Kenya,22%,19%
78,Latin America and the Caribbean,Uruguay,27%,56%
79,Asia Pacific,Myanmar,42%,15%
80,Sub-Saharan Africa,Nigeria,15%,8%
81,Asia Pacific,Kazakhstan,36%,20%
82,Latin America and the Caribbean,Argentina,25%,54%
83,Latin America and the Caribbean,Brazil,48%,22%
84,Latin America and the Caribbean,El Salvador,34%,28%
85,Latin America and the Caribbean,Saint Lucia,66%,4%
86,Asia Pacific,Kyrgyzstan,30%,21%
87,MENA,Sudan,26%,17%
88,MENA,Oman,24%,10%
89,Latin America and the Caribbean,Chile,19%,42%
90,Sub-Saharan Africa,Botswana,5%,5%
91,Latin America and the Caribbean,Colombia,11%,45%
92,Latin America and the Caribbean,Dominican Republic,18%,14%
93,Latin America and the Caribbean,Ecuador,12%,43%
94,Latin America and the Caribbean,Puerto Rico,16%,30%
95,MENA,Algeria,31%,21%
96,Latin America and the Caribbean,Nicaragua,17%,12%
97,Latin America and the Caribbean,Bolivia,4%,23%
98,Latin America and the Caribbean,Honduras,9%,16%
99,Latin America and the Caribbean,Guatemala,4%,13%
100,Asia Pacific,Bhutan,14%,3%
101,Latin America and the Caribbean,Panama,13%,7%
102,Latin America and the Caribbean,Mexico,10%,26%
103,MENA,Iraq,3%,6%
104,Asia Pacific,Uzbekistan,6%,9%
105,Sub-Saharan Africa,Sierra Leone,2%,4%
106,Latin America and the Caribbean,Paraguay,7%,11%
107,Latin America and the Caribbean,Guyana,8%,2%
108,Sub-Saharan Africa,Somalia,1%,1%
