Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Time required to start a business (days),IC.REG.DURS,Afghanistan,AFG,..,..,9.5,9.5,6.5,8.5,8.5,8.5,8.5,8.5,8.5,..
Time required to start a business (days),IC.REG.DURS,Albania,ALB,..,..,6,5,5,5,5,5,5,4.5,4.5,..
Time required to start a business (days),IC.REG.DURS,Algeria,DZA,..,..,22,22,22,20,18,18,18,18,18,..
Time required to start a business (days),IC.REG.DURS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Time required to start a business (days),IC.REG.DURS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Time required to start a business (days),IC.REG.DURS,Angola,AGO,..,..,66,66,66,66,36,36,36,36,36,..
Time required to start a business (days),IC.REG.DURS,Antigua and Barbuda,ATG,..,..,22,22,22,22,22,22,22,22,19,..
Time required to start a business (days),IC.REG.DURS,Argentina,ARG,..,..,24.5,24.5,24.5,24.5,24.5,24.5,24.5,11,11.5,..
Time required to start a business (days),IC.REG.DURS,Armenia,ARM,..,..,8,8,5,5,5,5,5,4,4,..
Time required to start a business (days),IC.REG.DURS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Time required to start a business (days),IC.REG.DURS,Australia,AUS,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,..
Time required to start a business (days),IC.REG.DURS,Austria,AUT,..,..,25,25,25,22,22,21,21,21,21,..
Time required to start a business (days),IC.REG.DURS,Azerbaijan,AZE,..,..,8,8,7,5.5,3.5,3.5,3.5,3.5,3.5,..
Time required to start a business (days),IC.REG.DURS,"Bahamas, The",BHS,..,..,23.5,23.5,23.5,23.5,28.5,21.5,21.5,21.5,11.5,..
Time required to start a business (days),IC.REG.DURS,Bahrain,BHR,..,..,9.3,9.3,9.3,9.3,9.4,8.3,8.3,8.3,8.3,..
Time required to start a business (days),IC.REG.DURS,Bangladesh,BGD,..,..,..,..,21.8,19.5,19.5,19.5,19.5,19.5,19.5,..
Time required to start a business (days),IC.REG.DURS,Barbados,BRB,..,..,18,18,18,19,19,16,16,16,16,..
