Country,Afghanistan,Albania,Algeria,Angola,Antigua and Barbuda,Argentina,Australia,Austria,The Bahamas,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Chile,China,Colombia,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cyprus,Czech Republic,Denmark,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Estonia,Ethiopia,Finland,France,The Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,India,Indonesia,"Iran, Islamic Rep.",Ireland,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, Rep.",Kosovo,Kyrgyz Republic,Latvia,Lebanon,Liberia,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Russian Federation,Rwanda,Senegal,Serbia,Sierra Leone,Singapore,Slovak Republic,Slovenia,South Africa,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,"Venezuela, RB",Vietnam,Zambia,Zimbabwe,data_country,data_year
Country Code,AFG,ALB,DZA,AGO,ATG,ARG,AUS,AUT,BHS,BGD,BRB,BLR,BEL,BLZ,BEN,BOL,BIH,BWA,BRA,BGR,BFA,KHM,CMR,CAN,CHL,CHN,COL,COD,COG,CRI,CIV,HRV,CYP,CZE,DNK,DMA,DOM,ECU,EGY,SLV,EST,ETH,FIN,FRA,GMB,GEO,DEU,GHA,GRC,GRD,GTM,GIN,GUY,HTI,HND,HKG,HUN,IND,IDN,IRN,IRL,ITA,JAM,JPN,JOR,KAZ,KEN,KOR,XKX,KGZ,LVA,LBN,LBR,LTU,LUX,MDG,MWI,MYS,MLI,MLT,MRT,MUS,MEX,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NZL,NIC,NER,NGA,MKD,NOR,PAK,PAN,PRY,PER,PHL,POL,PRT,ROU,RUS,RWA,SEN,SRB,SLE,SGP,SVK,SVN,ZAF,ESP,LKA,KNA,LCA,VCT,SDN,SUR,SWE,TZA,THA,TGO,TTO,TUN,TUR,UGA,UKR,ARE,GBR,USA,URY,UZB,VEN,VNM,ZMB,ZWE,AFG,
Region,South Asia,Eastern Europe & Central Asia,Middle East & North Africa,Sub-Saharan Africa,Latin America & Caribbean,Latin America & Caribbean,East Asia & Pacific,EU + EFTA + North America,Latin America & Caribbean,South Asia,Latin America & Caribbean,Eastern Europe & Central Asia,EU + EFTA + North America,Latin America & Caribbean,Sub-Saharan Africa,Latin America & Caribbean,Eastern Europe & Central Asia,Sub-Saharan Africa,Latin America & Caribbean,EU + EFTA + North America,Sub-Saharan Africa,East Asia & Pacific,Sub-Saharan Africa,EU + EFTA + North America,Latin America & Caribbean,East Asia & Pacific,Latin America & Caribbean,Sub-Saharan Africa,Sub-Saharan Africa,Latin America & Caribbean,Sub-Saharan Africa,EU + EFTA + North America,EU + EFTA + North America,EU + EFTA + North America,EU + EFTA + North America,Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,Middle East & North Africa,Latin America & Caribbean,EU + EFTA + North America,Sub-Saharan Africa,EU + EFTA + North America,EU + EFTA + North America,Sub-Saharan Africa,Eastern Europe & Central Asia,EU + EFTA + North America,Sub-Saharan Africa,EU + EFTA + North America,Latin America & Caribbean,Latin America & Caribbean,Sub-Saharan Africa,Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,East Asia & Pacific,EU + EFTA + North America,South Asia,East Asia & Pacific,Middle East & North Africa,EU + EFTA + North America,EU + EFTA + North America,Latin America & Caribbean,East Asia & Pacific,Middle East & North Africa,Eastern Europe & Central Asia,Sub-Saharan Africa,East Asia & Pacific,Eastern Europe & Central Asia,Eastern Europe & Central Asia,EU + EFTA + North America,Middle East & North Africa,Sub-Saharan Africa,EU + EFTA + North America,EU + EFTA + North America,Sub-Saharan Africa,Sub-Saharan Africa,East Asia & Pacific,Sub-Saharan Africa,EU + EFTA + North America,Sub-Saharan Africa,Sub-Saharan Africa,Latin America & Caribbean,Eastern Europe & Central Asia,East Asia & Pacific,Middle East & North Africa,Sub-Saharan Africa,East Asia & Pacific,Sub-Saharan Africa,South Asia,EU + EFTA + North America,East Asia & Pacific,Latin America & Caribbean,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Europe & Central Asia,EU + EFTA + North America,South Asia,Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,East Asia & Pacific,EU + EFTA + North America,EU + EFTA + North America,EU + EFTA + North America,Eastern Europe & Central Asia,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Europe & Central Asia,Sub-Saharan Africa,East Asia & Pacific,EU + EFTA + North America,EU + EFTA + North America,Sub-Saharan Africa,EU + EFTA + North America,South Asia,Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,Sub-Saharan Africa,Latin America & Caribbean,EU + EFTA + North America,Sub-Saharan Africa,East Asia & Pacific,Sub-Saharan Africa,Latin America & Caribbean,Middle East & North Africa,Eastern Europe & Central Asia,Sub-Saharan Africa,Eastern Europe & Central Asia,Middle East & North Africa,EU + EFTA + North America,EU + EFTA + North America,Latin America & Caribbean,Eastern Europe & Central Asia,Latin America & Caribbean,East Asia & Pacific,Sub-Saharan Africa,Sub-Saharan Africa,South Asia,
Income Group*,Low ,Upper middle ,Lower middle ,Lower middle ,High ,Upper middle ,High ,High ,High ,Lower middle ,High ,Upper middle ,High ,Upper middle ,Lower middle ,Lower middle ,Upper middle ,Upper middle ,Upper middle ,Upper middle ,Low ,Lower middle ,Lower middle ,High ,High ,Upper middle ,Upper middle ,Low ,Lower middle ,Upper middle ,Lower middle ,High ,High ,High ,High ,Upper middle ,Upper middle ,Upper middle ,Lower middle ,Lower middle ,High ,Low ,High ,High ,Low ,Upper middle ,High ,Lower middle ,High ,Upper middle ,Upper middle ,Low ,Upper middle ,Low ,Lower middle ,High ,High ,Lower middle ,Upper middle ,Upper middle ,High ,High ,Upper middle ,High ,Upper middle ,Upper middle ,Lower middle ,High ,Upper middle ,Lower middle ,High ,Upper middle ,Low ,High ,High ,Low ,Low ,Upper middle ,Low ,High ,Lower middle ,High ,Upper middle ,Lower middle ,Lower middle ,Lower middle ,Low ,Lower middle ,Upper middle ,Lower middle ,High ,High ,Lower middle ,Low ,Lower middle ,Upper middle ,High ,Lower middle ,High ,Upper middle ,Upper middle ,Lower middle ,High ,High ,High ,Upper middle ,Low ,Lower middle ,Upper middle ,Low ,High ,High ,High ,Upper middle ,High ,Lower middle ,High ,Upper middle ,Upper middle ,Low ,Upper middle ,High ,Lower middle ,Upper middle ,Low ,High ,Lower middle ,Upper middle ,Low ,Lower middle ,High ,High ,High ,High ,Lower middle ,Upper middle ,Lower middle ,Lower middle ,Lower middle ,Low ,
WJP Rule of Law Index: Overall Score,0.35,0.49,0.49,0.43,0.63,0.56,0.79,0.81,0.61,0.40,0.65,0.48,0.79,0.48,0.49,0.39,0.52,0.59,0.50,0.54,0.50,0.32,0.35,0.80,0.66,0.47,0.49,0.35,0.42,0.68,0.45,0.61,0.68,0.73,0.90,0.58,0.48,0.48,0.35,0.48,0.81,0.41,0.88,0.72,0.49,0.61,0.84,0.55,0.61,0.59,0.44,0.41,0.50,0.38,0.39,0.75,0.52,0.50,0.52,0.42,0.81,0.66,0.57,0.79,0.55,0.52,0.44,0.74,0.55,0.47,0.71,0.45,0.44,0.75,0.83,0.44,0.52,0.57,0.43,0.68,0.36,0.61,0.43,0.51,0.54,0.49,0.40,0.39,0.62,0.52,0.83,0.83,0.38,0.44,0.41,0.53,0.90,0.39,0.52,0.48,0.49,0.46,0.64,0.70,0.63,0.46,0.62,0.55,0.49,0.44,0.78,0.66,0.68,0.58,0.73,0.50,0.63,0.62,0.64,0.42,0.49,0.86,0.47,0.50,0.45,0.53,0.53,0.42,0.39,0.51,0.64,0.79,0.69,0.71,0.49,0.27,0.49,0.44,0.39,0.35,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factor 1: Constraints on Government Powers,0.42,0.43,0.48,0.43,0.61,0.57,0.81,0.85,0.62,0.37,0.64,0.27,0.83,0.44,0.50,0.37,0.45,0.60,0.51,0.46,0.57,0.28,0.36,0.82,0.72,0.31,0.53,0.40,0.38,0.76,0.38,0.56,0.66,0.72,0.94,0.53,0.47,0.50,0.24,0.47,0.83,0.38,0.92,0.72,0.59,0.54,0.86,0.66,0.68,0.57,0.52,0.38,0.54,0.39,0.33,0.61,0.39,0.59,0.67,0.35,0.82,0.71,0.64,0.72,0.46,0.43,0.48,0.71,0.53,0.45,0.70,0.49,0.50,0.75,0.82,0.44,0.58,0.57,0.45,0.65,0.34,0.59,0.45,0.47,0.54,0.51,0.42,0.39,0.67,0.59,0.85,0.86,0.25,0.39,0.50,0.47,0.94,0.47,0.53,0.49,0.60,0.48,0.54,0.78,0.61,0.35,0.62,0.57,0.38,0.49,0.67,0.68,0.65,0.63,0.73,0.54,0.61,0.59,0.60,0.45,0.48,0.87,0.51,0.46,0.36,0.56,0.60,0.28,0.40,0.47,0.56,0.81,0.68,0.76,0.38,0.17,0.45,0.43,0.33,0.42,
1.1 Government powers are effectively limited by the legislature,0.57,0.46,0.53,0.53,0.60,0.60,0.84,0.83,0.62,0.54,0.72,0.26,0.83,0.51,0.49,0.38,0.54,0.62,0.65,0.52,0.64,0.39,0.39,0.78,0.70,0.35,0.60,0.52,0.41,0.75,0.39,0.58,0.73,0.70,0.89,0.45,0.54,0.57,0.08,0.52,0.83,0.50,0.87,0.71,0.70,0.57,0.83,0.77,0.63,0.54,0.60,0.45,0.62,0.43,0.43,0.62,0.35,0.69,0.80,0.40,0.89,0.72,0.67,0.62,0.43,0.46,0.60,0.67,0.61,0.54,0.75,0.69,0.51,0.80,0.84,0.46,0.60,0.57,0.56,0.54,0.37,0.64,0.48,0.61,0.68,0.59,0.51,0.32,0.73,0.73,0.80,0.85,0.36,0.46,0.66,0.58,0.95,0.55,0.58,0.65,0.71,0.53,0.45,0.83,0.68,0.34,0.54,0.55,0.37,0.56,0.53,0.71,0.67,0.60,0.75,0.52,0.60,0.60,0.57,0.49,0.49,0.81,0.54,0.50,0.46,0.66,0.64,0.35,0.43,0.55,0.50,0.83,0.73,0.79,0.31,0.31,0.39,0.45,0.32,0.57,
1.2 Government powers are effectively limited by the judiciary,0.35,0.30,0.43,0.41,0.71,0.43,0.83,0.83,0.63,0.47,0.71,0.25,0.78,0.51,0.42,0.29,0.39,0.62,0.62,0.41,0.54,0.25,0.29,0.85,0.58,0.28,0.49,0.38,0.33,0.68,0.35,0.46,0.61,0.71,0.95,0.58,0.41,0.44,0.31,0.46,0.83,0.37,0.90,0.67,0.63,0.45,0.83,0.65,0.64,0.65,0.50,0.31,0.61,0.39,0.33,0.71,0.41,0.63,0.67,0.36,0.82,0.70,0.70,0.71,0.46,0.43,0.50,0.60,0.42,0.30,0.64,0.44,0.51,0.68,0.81,0.40,0.65,0.61,0.40,0.69,0.24,0.67,0.42,0.39,0.51,0.51,0.42,0.41,0.76,0.60,0.85,0.88,0.31,0.39,0.50,0.37,0.96,0.49,0.45,0.41,0.51,0.49,0.50,0.75,0.58,0.32,0.59,0.46,0.33,0.41,0.72,0.61,0.57,0.68,0.65,0.59,0.70,0.70,0.60,0.54,0.58,0.83,0.52,0.57,0.32,0.68,0.49,0.31,0.39,0.32,0.56,0.82,0.69,0.73,0.36,0.12,0.36,0.35,0.32,0.35,
1.3 Government powers are effectively limited by independent auditing and review,0.42,0.48,0.51,0.41,0.56,0.60,0.76,0.81,0.51,0.32,0.45,0.28,0.89,0.24,0.43,0.33,0.49,0.49,0.39,0.42,0.50,0.21,0.42,0.75,0.84,0.42,0.51,0.33,0.45,0.80,0.43,0.52,0.66,0.72,0.93,0.66,0.32,0.50,0.27,0.38,0.84,0.41,0.95,0.71,0.32,0.60,0.88,0.59,0.69,0.44,0.41,0.31,0.44,0.33,0.27,0.52,0.28,0.55,0.58,0.38,0.86,0.73,0.64,0.74,0.56,0.49,0.45,0.82,0.55,0.41,0.73,0.46,0.45,0.75,0.87,0.46,0.50,0.58,0.36,0.59,0.34,0.39,0.42,0.47,0.46,0.47,0.40,0.31,0.47,0.46,0.87,0.84,0.12,0.31,0.45,0.50,0.90,0.42,0.43,0.28,0.58,0.49,0.48,0.76,0.51,0.35,0.63,0.54,0.42,0.50,0.67,0.68,0.68,0.59,0.74,0.43,0.54,0.38,0.63,0.25,0.33,0.97,0.49,0.39,0.32,0.30,0.61,0.21,0.46,0.43,0.70,0.79,0.64,0.69,0.33,0.07,0.54,0.45,0.45,0.42,
1.4 Government officials are sanctioned for misconduct,0.30,0.37,0.51,0.37,0.43,0.37,0.75,0.81,0.46,0.34,0.45,0.43,0.76,0.23,0.49,0.29,0.37,0.54,0.26,0.32,0.46,0.25,0.36,0.76,0.56,0.47,0.41,0.37,0.39,0.61,0.36,0.47,0.54,0.62,0.94,0.42,0.34,0.42,0.36,0.36,0.78,0.40,0.92,0.64,0.45,0.40,0.82,0.52,0.55,0.45,0.35,0.29,0.39,0.27,0.23,0.71,0.30,0.38,0.62,0.37,0.66,0.61,0.41,0.72,0.51,0.46,0.33,0.69,0.40,0.43,0.58,0.32,0.35,0.69,0.73,0.38,0.45,0.57,0.27,0.56,0.27,0.51,0.26,0.31,0.43,0.48,0.36,0.40,0.60,0.45,0.83,0.82,0.13,0.31,0.43,0.34,0.90,0.36,0.30,0.32,0.39,0.37,0.53,0.64,0.52,0.33,0.76,0.52,0.26,0.39,0.88,0.47,0.51,0.47,0.65,0.41,0.46,0.48,0.56,0.37,0.36,0.83,0.55,0.45,0.32,0.36,0.47,0.26,0.37,0.28,0.73,0.75,0.59,0.67,0.44,0.10,0.60,0.51,0.36,0.30,
