Country,Indicator,Breakdowns,Time,Unit,PowerCode,Reference Period,Value,Flags
Australia,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2010,Percentage,Units,,38.11,Difference in methodology
Australia,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2012,Percentage,Units,,49.96,Difference in methodology
Austria,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2005,Percentage,Units,,29.194,
Austria,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2006,Percentage,Units,,32.9733,
Austria,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2007,Percentage,Units,,27.4741,
Austria,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2008,Percentage,Units,,51.2252,Break
Austria,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2009,Percentage,Units,,48.8515,
Austria,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2010,Percentage,Units,,51.0458,
Austria,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2011,Percentage,Units,,51.2893,
Austria,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2012,Percentage,Units,,52.8274,
Austria,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2013,Percentage,Units,,53.6259,
Austria,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2014,Percentage,Units,,58.633,
Austria,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2015,Percentage,Units,,56.7484,
Austria,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2016,Percentage,Units,,59.9848,
Austria,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2017,Percentage,Units,,61.9779,
Austria,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2018,Percentage,Units,,66.1221,
Austria,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2019,Percentage,Units,,69.7355,
Austria,Individuals using the Internet for visiting or interacting with public authorities websites - last 12 m (%),All (individuals aged 16-74),2020,Percentage,Units,,72.0371,
Austria,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2005,Percentage,Units,,11.1144,
Austria,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2006,Percentage,Units,,22.2149,
Austria,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2007,Percentage,Units,,18.7724,
Austria,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2008,Percentage,Units,,35.4007,Break
Austria,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2009,Percentage,Units,,31.137,
Austria,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2010,Percentage,Units,,33.1167,
Austria,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2011,Percentage,Units,,37.6089,
Austria,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2012,Percentage,Units,,33.9113,
Austria,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2013,Percentage,Units,,37.3465,
Austria,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2014,Percentage,Units,,36.5514,
Austria,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2015,Percentage,Units,,34.1844,
Austria,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2016,Percentage,Units,,35.1184,
Austria,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2017,Percentage,Units,,38.2678,
Austria,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2018,Percentage,Units,,38.4037,
Austria,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2019,Percentage,Units,,44.2687,
Austria,Individuals using the Internet for downloading official forms - last 12 m (%),All (individuals aged 16-74),2020,Percentage,Units,,46.2879,
Austria,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2005,Percentage,Units,,12.3483,
Austria,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2006,Percentage,Units,,12.1269,
Austria,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2007,Percentage,Units,,13.3218,
Austria,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2008,Percentage,Units,,20.9894,Break
Austria,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2009,Percentage,Units,,18.9898,
Austria,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2010,Percentage,Units,,20.2866,
Austria,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2011,Percentage,Units,,24.4099,
Austria,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2012,Percentage,Units,,26.0404,
Austria,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2013,Percentage,Units,,27.8285,
Austria,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2014,Percentage,Units,,29.8388,
Austria,Individuals using the Internet for sending filled forms via public authorities websites - last 12 m (%),All (individuals aged 16-74),2015,Percentage,Units,,31.0235,
