Rank,Country,Score,Income Group,Region
1,Sweden ,82.75,High-income ,Europe 
2,Denmark ,82.19,High-income ,Europe 
3,Singapore ,81.39,High-income ,Asia & Pacific 
4,Netherlands ,81.37,High-income ,Europe 
5,Switzerland ,80.41,High-income ,Europe 
6,Finland ,80.16,High-income ,Europe 
7,Norway ,79.39,High-income ,Europe 
8,United States ,78.91,High-income ,The Americas 
9,Germany ,77.48,High-income ,Europe 
10,United Kingdom ,76.27,High-income ,Europe
11,Luxembourg ,75.27,High-income ,Europe 
12,Australia ,75.09,High-income ,Asia & Pacific 
13,Canada ,74.92,High-income ,The Americas 
14,"Korea, Rep. ",74.6,High-income ,Asia & Pacific 
15,Japan ,73.54,High-income ,Asia & Pacific 
16,New Zealand ,73.27,High-income ,Asia & Pacific 
17,France ,73.18,High-income ,Europe 
18,Austria ,72.92,High-income ,Europe 
19,Ireland ,72.13,High-income ,Europe 
20,Belgium ,70.67,High-income ,Europe 
21,Iceland ,70.55,High-income ,Europe 
22,Hong Kong (China) ,70.52,High-income ,Asia & Pacific 
23,Estonia ,70.32,High-income ,Europe 
24,Israel ,69.81,High-income ,Europe 
25,Spain ,67.31,High-income ,Europe 
26,Malta ,66.73,High-income ,Europe 
27,Slovenia ,66.58,High-income ,Europe 
28,Czech Republic ,66.33,High-income ,Europe 
29,Lithuania ,64.7,High-income ,Europe 
30,United Arab Emirates ,64.42,High-income ,Arab States 
31,Portugal ,64.4,High-income ,Europe 
32,Italy ,63.69,High-income ,Europe 
33,Poland ,61.8,High-income ,Europe 
34,Malaysia ,61.43,Upper-middle-income ,Asia & Pacific 
35,Slovakia ,60.78,High-income ,Europe 
36,Cyprus ,60.67,High-income ,Europe 
37,Latvia ,60.47,High-income ,Europe 
38,Qatar ,60.26,High-income ,Arab States 
39,Hungary ,60.05,High-income ,Europe 
40,China ,58.44,Upper-middle-income ,Asia & Pacific 
41,Saudi Arabia ,57.97,High-income ,Arab States 
42,Bahrain ,57.59,High-income ,Arab States 
43,Croatia ,55.94,High-income ,Europe 
44,Oman ,55.33,High-income ,Arab States 
