Country,Product Name,Company,Type,Platforms,HW/SW,Cost,PR/OS,URL,Notes,Wikipedia,Developer,Ads,Active,data_country,data_year
Australia,Lib Crypto (SSL TLS),,DevTools,,,Free,OS,,Collection of sub-libraries that implement the individual cryptographic algorithms used in various Internet standards.,,"Eric Young, Tim Hudson",,,,
Australia,Mirracrypt,Mailedsafe Pty Ltd ,MailEncryption,Win,SW,Pay,PR,http://mirrasoft.com/mirracrypt,Add-on to Microsoft Outlook; 256 bit AES encryption.,,Warren Killeen ,,A,,
Australia,Mirramail,Mailedsafe Pty Ltd ,MailEncryption,Win,SW,Pay,PR,http://mirrasoft.com/mirramail,Freestanding e-mail client; 256-bit AES encryption.,,Warren Killeen ,,A,,
Australia,Mirrapass,Mailedsafe Pty Ltd ,PasswordMgr,Win,SW,Pay,PR,http://mirrasoft.com/mirrapass,256-bit AES encryption.,,Warren Killeen ,,A,,
Australia,OpenSSL,OpenSSL Software Foundation,DevTools,Win/Lin,SW,Free,OS,http://openssl.org,Implementation of the SSL and TLS protocols.  ,http://en.wikipedia.org/wiki/OpenSSL,"Eric Young, Tim Hudson",,A,,
Australia,Pocket for Android,CITC,MessageEncryption,And,SW,Free,PR,http://play.google.com/store/apps/details?id=com.citc.wallet&hl=en,"Allows local, password-protected storage of sensitive data.",,"Tim Clark, David Haines",Yes,A,,
Australia,Randtronics DPM File,Randtronics Pty Ltd ,FileEncryption,Win,SW,Pay,PR,http://randtronics.com/images/Datasheets/DPM_FileFolder_Jul2015_v1.pdf,AES 256-bit.,,,,A,,
Australia,Randtronics DPM for Cloud,Randtronics Pty Ltd ,CloudEncryption,Win,SW,Pay,PR,http://randtronics.com/images/Randtronics%20DPM%20cloud%20provider%2009Jul2015%20v1.pdf,Employs AES-256 encryption.,,,,A,,
Australia,Randtronics DPM Volume,Randtronics Pty Ltd ,DiskEncryption,Win,SW,Pay,PR,http://randtronics.com/images/Datasheets/DPM_FileFolder_Jul2015_v1.pdf,"AES-256. Uses encryption, masking, tokenization and anonymization to protect data.",,,,A,,
Australia,Senetas CN1000 Encryptor,Senetas,Network,,HW,Pay,PR,http://senetas.com/encryptors/layer-2-encryptors/cn1000-series,"Encryptor box designed for Ethernet, SONET, Fibre Channel, Link and ATM networks.",,,,A,,
Australia,Soprano Gamma,Soprano Design Pty.,MessageEncryption,iOS/And,SW,Pay,PR,http://sopranodesign.com/gamma,RSA 2048-bit asymmetric key encryption  ,http://en.wikipedia.org/wiki/Soprano_Design,,,A,,
Australia,Viscosity,SparkLabs,VPN,Mac/Win,SW,Pay,PR,http://sparklabs.com/viscosity,Open VPN client,,James Bekkema,,A,,
Australia,VPN.S,VPNSecure Pty Ltd,VPN,Mac/Win/Lin/iOS/And,SW,Pay,PR,http://www.vpnsecure.me,,,,,A,,
Austria,Cryptas,CRYPTAS IT-Security GmbH ,Network,,HW/SW,Pay,PR,http://cryptas.com,"MessageEncryption server provides e-mail encryption capabilities that support a wide range of encryption options, including OpenPGP, S/MIME e-mail encryption standards ",,,,A,,
Austria,GPG Suite,GPGTools,Multi,Mac,SW,Pay,OS,http://gpgtools.org,"Includes five modules: GPGMail—a plugin for OS X Mail (e-mail encryption), GPG Keychain—the certificate manager for OpenPGP, GPGServices—a services menu (text and file encryption), GPGPreferences—a system preference to fix the installation after an OS update, and MacGPG—the core, an OS X port of GnuPG.",http://en.wikipedia.org/wiki/GPGTools#Contents_of_GPG_Suite,Lukas Pitschl,,A,,
Austria,IAIK Crypto Toolkit Suite,Stiftung Secure Information and Communication Technologies,DevTools,Java,SW,Pay,PR,http://jce.iaik.tugraz.at,"APIs and implementations of crypto functionality: hash functions, message authentication codes, symmetric, asymmetric, stream, and block encryption, key and certificate management.",,,,A,,
Austria,JumpChat,JumpChat ,VideoCall,Mac/Win/iOS/And,SW,Free,PR,http://jumpch.at,All communications are encrypted.,,,,A,,
Austria,mySMS,Up to Eleven Digital Solutions GmbH,MessageEncryption,Win/And,SW,Free,PR,http://mysms.com,"Cross-platform text MessageEncryption service for smartphones, tablet computers and computers.",http://en.wikipedia.org/wiki/Mysms,,,A,,
Austria,PGP SMS,Woodkick,MessageEncryption,And,SW,Pay,PR,http://woodkick.com/node/19,Enables client-side public-key encryption of messages.,,Juergen Zernig ,,A,,
Austria,R2Mail2,,MailEncryption,And,SW,Free,PR,http://r2mail2.com,"Provides cryptographic capabilities, such as digital signatures and digital encryption and decryption based on personal Soft-Token keys (.p12 format). In development.",,Friedrich Hirschbuegl ,,A,,
Austria,Side Channel Secure Messenger,SideChannel.at ,MessageEncryption,ioS/And/BlackBerry,SW,Free,PR,http://sidechannel.at,Secure MessageEncryption using elliptic-curve cryptography for key management.,,,,A,,
Belgium,Cribble,NXT24 ,Financial,iOS/And,SW,Free,PR,http://cribble.eu,Payment data is encrypted with user's public key.,,,,A,,
Belgium,OpenCom,Steven Willems GCV,MailEncryption,,SW,Pay,PR,http://opencom.io,In development.,,Steven Willems ,,A,,
Belize,PGP Encryption Freeware,iGolder Ltd ,MessageEncryption,Web-based,SW,Free,PR,http://igolder.com/pgp/encryption,Online PGP encryption tool.,,,,A,,
Brazil,KeyBITS,QuantaSEC Ltd / UFMG,FileEncryption,Win/Lin,HW,Pay,PR,http://xepa15.fisica.ufmg.br/inetsec/,"Evolution of the encryption system ""alpha-eta."" Consists of a physical generator of random bits (PhRBG) with an initial rate of around 1 GHz. Permits secure sharing of keys between a transmitter and a receiver. Two layers of security can operate independently or simultaneously: physical noise and computational difficulty.",,Geraldo A. Barbosa,,A,,
Brazil,PWSafe,app77,PasswordMgr,Mac/iOS,SW,Pay,PR,http://pwsafe.info,Syncs passwords securely using either iCloud or Dropbox. ,,,,A,,
Brazil,Twister ,,MessageEncryption,Win/Lin,SW,Free,OS,http://twister.net.co,"Encrypted, decentralized, peer-to-peer microblogging platform. Envisioned as a Twitter replacement. Utilizes bitcoin and Bittorrent technology. Anonymity only guaranteed with use of Tor browser.",http://en.wikipedia.org/wiki/Twister_%28software%29,Miguel Freitas ,,A,,
British Virgin Islands,Express VPN,Express VPN International Ltd. ,VPN,Mac/Win//iOS/And,SW,Pay,PR,http://expressvpn.com,,,,,A,,
Bulgaria,DidiSoft,DidiSoft Inc Eood,DevTools,And/.NET/Java,SW,Pay,PR,https://www.didisoft.com/,"OpenPGP software library for .NET Framework, Java , Android, Silverlight, Windows Phone, Windows 8 WinRT, Xamarin or Oracle(c) PL/SQL.",,Atanas Krachev ,,A,,
Canada,002,Harvey Parisien,FileEncryption,Win,SW,Free,PR,http://002.ca,AES (Rijndael).,,,,A,,
Canada,1Password,Agilebits,PasswordMgr,Mac/iOS/Win/And,SW,Pay,PR,http://agilebits.com/onepassword ,Creates a virtual vault that is locked with a PBKDF2-guarded master password.,http://en.wikipedia.org/wiki/1Password,,No,A,,
Canada,AntiPrism,Cirrus Tech Ltd. ,OperatingSystem,,SW,Free,OS,http://antiprism.ca,"Live USB/memory card OpenELEC-based media server toolbox platform for securing the online presence, web browsing and communications.  Runs from a read-only file system within a secure Linux operating environment bootable from a USB flash drive, SD memory card, or installable on a HDD/SSD.",,,,A,,
Canada,BlackBerry,"BlackBerry, Ltd.",Telephone,BlackBerry,HW,Pay,PR,http://blackberry.com,"Proprietary BlackBerry Messenger software (BBM) enables sending and receiving encrypted instant messages, voice notes, images and videos via BlackBerry PIN. ",http://en.wikipedia.org/wiki/BlackBerry,,,A,,
Canada,BTGuard,Netcrawled LLC ,VPN,Mac/Win/Lin/iOS/And,SW,Pay,PR,http://btguard.com,VPN designed for anonymous filesharing through the BitTorrent network operated in Canada.,http://en.wikipedia.org/wiki/BTGuard,,,A,,
Canada,Ciphershare ,Proven Security Solutions Limited ,Network,Win,SW,Pay,PR,http://provensecuritysolutions.com,"Document management and collaboration platform. Integrates end-to-end encryption, file-sharing services, shared tasks, MessageEncryption and chat into a single application.",,Adam Pritchard,,A,,
Canada,Cloaked JS,Irdeto,DevTools,,SW,Pay,PR,http://irdeto.com/venture-lab/ventures/cloaked-js.htm,Creates a trusted block of Irdeto code that runs in the browser and is used to provide cerification of code running in the browser; secure MessageEncryption between browser and  server; secure storage of data (in cookies or local storage).,,,,A,,
Canada,CryptoHeaven,CryptoHeaven,MailEncryption,Web-based,SW,Free,PR,http://cryptoheaven.com,Zero-knowledge secure e-mail.,,,,A,,
Canada,EncryptStick,ENC Security Systems,FileEncryption,Mac/Win/Lin,SW,Pay,PR,http://encryptstick.com,"128-, 256-, 512- or 1024-bit encryption; automated backup; file sync.",,,,A,,
Canada,Enlocked,Enlocked Inc. ,MailEncryption,Win/iOS/And/Browsers,SW,Pay,PR,http://enlocked.com,"Offers plugins for Outlook and Chrome, and a web-based interface.",,,,A,,
Canada,Evizone,Evizone Services Ltd. ,MessageEncryption,Mac/Win,SW,Pay,PR,http://evizone.com,View-on-demand mail; mail is copy-protected and resides within Evizone's data center rather than user devices; service uses SSL and public-key encryption.,,William Wells,,A,,
Canada,GoodCrypto,GoodCrypto ,MailEncryption,,SW,Free,PR,http://goodcrypto.com,Server-side.,,,,A,,
Canada,gpg4o for Outlook,Secure Group,MailEncryption,Win,SW,Pay,PR,http://securegroup.com/products/gpg4o-outlook,AES 256- and 4096-bit encryption for Outlook,,,,A,,
Canada,Hushmail,Hushmail Communications,MailEncryption,Web-based,SW,Pay,PR,http://hushmail.com,"Web-based e-mail service offering PGP-encrypted e-mail, file storage and vanity domain service. ",http://en.wikipedia.org/wiki/Hushmail,Cliff Blatzley ,,A,,
Canada,ICX,ICX,MessageEncryption,Browsers,SW,Pay,PR,http://i.cx/?icx.screen=about,Enables client-side public-key encryption of messages; uses EveryBit.js to handle distribution of encrypted content.,,Dann Toliver,,A,,
Canada,iSafe Drive Lite,Savvi Solutions Inc.,USB,Mac/Win/iOS,HW,Pay,PR,http://savviinc.com/store/isafe-drive,AES 256-bit.,,,,A,,
Canada,Kik Messenger,Kik Interactive,MessageEncryption,iOS/And,SW,Free,PR,http://kik.com,"Per EFF scorecard: encryption during transit, but communications are not encrypted with a key to which the provider does not have access; users cannot verify contacts' identities; past messages are not secure if the encryption keys are stolen.",http://en.wikipedia.org/wiki/Kik_Messenger,,,A,,
Canada,Kleeq,,MessageEncryption,,SW,Free,OS,http://kleeq.sourceforge.net,"Secure, multicast chat protocol and client. Last updated in 2013.",,Alan Kligman,,N,,
Canada,Knox,Agilebits,DiskEncryption,Mac,SW,Pay,PR,http://agilebits.com/knox,"Enables creation of encrypted, password-protected vaults; scheduling of automatic backups; reformatting USB sticks and external drives as encrypted Knox vaults.",,,,A,,
Canada,LibreSSL,OpenBSD,DevTools,,SW,Free,OS,http://libressl.org,Implementation of SSL and TLS protocols; forked from the OpenSSLcryptographic software library in April 2014 as a response by OpenBSD developers to the Heartbleed security vulnerability in OpenSSL.,http://en.wikipedia.org/wiki/LibreSSL,,,A,,
Canada,LibTomCrypt,LibTom Projects,DevTools,,SW,Free,OS,http://www.libtom.org/LibTomCrypt,"Library featuring well-known published block ciphers, one-way hash functions, chaining modes, pseudo-random number generators, public-key cryptography and a plethora of other routines.",,Tom St Denis ,,A,,
Canada,MaxView,FastStone Soft,FileEncryption,Win,SW,Pay,PR,http://www.faststone.org/,Encrypted ZIP and RAR file viewer; supports 128-bit and 256-bit AES encryption.,http://en.wikipedia.org/wiki/FastStone_Image_Viewer,,,A,,
Canada,Off-the-Record MessageEncryption,OTR Project,MessageEncryption,Mac/Win/Lin,SW,Free,OS,http://otr.cypherpunks.ca,"Crypto protocol for IM applications. Uses a combination of AES symmetric-key algorithm with 128 bits key length, the Diffie–Hellman key exchange with 1536 bits group size, and the SHA-1 hash function. Also provides forward secrecy and malleable encryption. ",http://en.wikipedia.org/wiki/Off-the-Record_MessageEncryption,"Ian Goldberg, Nikita Borisov",,A,,
Canada,OneTime,RedBean,MessageEncryption,Win,SW,Free,OS,http://red-bean.com/onetime,Command line program using one-time-pad algorithm to allow two parties to communicate privately.,,,,A,,
Canada,OpenBSD,OpenBSD Foundation,OperatingSystem,,SW,Free,OS,http://openbsd.org,Multi-platform 4.4BSD-based UNIX-like operating system.,http://en.wikipedia.org/wiki/OpenBSD,Theo de Raadt,,A,,
Canada,Openswam,Xelerance Corp. ,DevTools,,SW,Free,OS,http://openswan.org,IPsec implementation for Linux; a fork of the FreeS/WAN 2.04 codebase.,http://en.wikipedia.org/wiki/Openswan,,,A,,
Canada,Orchid,Subgraph,DevTools,And,SW,Pay,PR,http://subgraph.com/orchid/index.en.html,Tor client implementation and library written in pure Java. Opens a SOCKS5 listener that can be used as a standalone client where Tor would otherwise be used. Can be used to Torify Java and JVM applications with near transparency.,http://en.wikipedia.org/wiki/IPv6_address#Special_addresses,,,A,,
Canada,Ploggy,Psiphon Inc. ,MessageEncryption,,SW,Free,OS,http://github.com/Psiphon-Labs/ploggy,"Surveillance- and traffic analysis-resistant privacy-enhanced social networking app that features location sharing, photo sharing, and private blogs. In development.",,,,A,,
Canada,PsiPhon ,Psiphon Inc. ,Circumvention,Win/And,SW,Free,OS,http://psiphon.ca,"Circumvention system that uses a combination of secure communication and obfuscation technologies (VPN, SSH, and HTTP Proxy). Original concept developed at Citizen Lab.",http://en.wikipedia.org/wiki/Psiphon,Michael Hull ,,A,,
Canada,R-Crypto,"R-Tools Technology, Inc.",DiskEncryption,Win,SW,Pay,PR,http://r-tt.com/data_security_software,"AES with key length of 128, 192, and 256 bits. ",,,,A,,
Canada,Ring,Savoir-faire Linux ,MessageEncryption,Mac/Win/Lin,SW,Free,OS,http://ring.cx,Formerly SFLphone.,http://en.wikipedia.org/wiki/Ring_%28software%29,,,A,,
Canada,Secure BlackBerry,Secure Group,Multi,BlackBerry,SW,Pay,PR,http://securegroup.com/products/secure-blackberry,"Encrypted MessageEncryption, e-mail and VoIP.",,,,A,,
Canada,Secure Chat,Secure Group,MessageEncryption,And,SW,Pay,PR,http://play.google.com/store/apps/details?id=com.edatech.securechat,Encrypted OTR platform; app requires a paid subscription to Secure Pack to function.,,,,A,,
Canada,Secure Email,Secure Group,MailEncryption,And,SW,Pay,PR,http://play.google.com/store/apps/details?id=com.edatech.secureemail,256-bit AES.,,,,A,,
Canada,Secure Phone,Secure Group,Telephone,,HW,Pay,PR,http://securegroup.com/products/secure-phone,Runs a custom-built Android-based OS.,,,,A,,
Canada,Secure Voice,"Secure Group, Inc.",VoIP ,And,SW,Pay,PR,http://play.google.com/store/apps/details?id=com.edatech.securevoice,"Using Secure Voice and the ZRTP protocol, calls are fully encrypted from end to end.",,,,A,,
Canada,SecureCom,Securecom ,MessageEncryption,And,SW,Free,OS,http://github.com/Securecom/Securecom-Text,MessageEncryption app for easy private communication with friends. Based on TextSecure from Open WhisperSystems.,,Sean Comeau,,A,,
Canada,Sneakertext (stxt),,MessageEncryption,,SW,Free,OS,http://github.com/graydon/stxt,Experimental tool for carrying on secure group conversations.,,Graydon Hoare ,,A,,
Canada,Spam Mimic,,MessageEncryption,Web-based,SW,Free,PR,http://spammimic.com/index.cgi,"Encodes a message to resemble spam, fake PGP, fake Russian.",,David McKellar ,,A,,
Canada,Subgraph OS ,Subgraph,OperatingSystem,,SW,Pay,PR,http://subgraph.com/sgos/index.en.html,Includes built-in Tor integration and secure e-mail client. Kernel hardened with Grsecurity.,http://en.wikipedia.org/wiki/Security-focused_operating_system#Subgraph_OS,,,A,,
Canada,Tarsnap,Tarsnap Backup Inc. ,CloudEncryption,Mac/Lin,SW,Pay,OS,http://tarsnap.com,Secure online backup service.,http://en.wikipedia.org/wiki/Tarsnap,Colin Percival ,,A,,
Canada,tls_init,,DevTools,OpenBSD,SW,Free,PR,http://openbsd.org/cgi-bin/man.cgi/OpenBSD-current/man3/tls_accept_fds.3?query=tls_init&sec=3,The tls API first appeared in OpenBSD 5.6 as a response to the unnecessary challenges other APIs present in order to use them safely. ,,,,A,,
Canada,TunnelBear,TunnelBear Inc. ,VPN,Mac/Win/Lin/iOS/And,SW,Pay,PR,http://tunnelbear.com,,,,,A,,
Canada,vnconfig,,DiskEncryption,OpenBSD,SW,Free,OS,http://openbsd.org/cgi-bin/man.cgi/OpenBSD-current/man8/mount_vnd.8?query=vnconfig&arch=i386,The vnconfig command configures vnode pseudo disk devices. ,,,,A,,
Canada,VPN Land,BlackLogic,VPN,Mac/Win/Lin/iOS/And,SW,Pay,PR,http://vpnland.com,,,,,A,,
Canada,WinZip,"WinZip Computing, S.L., A Corel Company ",FileEncryption,Win,SW,Pay,PR,http://winzip.com,AES encryption.,http://en.wikipedia.org/wiki/WinZip,,,A,,
Canada,xMail,Shwyz,MailEncryption,Browsers,SW,Free,PR,http://shwyz.ca,Chrome extension enabling transparent end-to-end security on top of Gmail.,http://en.wikipedia.org/wiki/XMai;,,,A,,
Chile,VIPer,Exefire Servicios Integradas Limitada,MessageEncryption,And,SW,Free,PR,http://play.google.com/store/apps/details?id=com.exefire.viper,Allows companies to send user groups messages in a direct and controlled manner.,,,,A,,
China,BitComet ,Bitcomet,P2PFileSharing,Win,SW,Free,PR,http://bitcomet.com,BitTorrent/HTTP/FTP P2P download client. Uses protocol encryption to hide BitTorrent connections.,http://en.wikipedia.org/wiki/BitComet,,,A,,
China,QQ,Tencent ,MessageEncryption,Mac/Win/iOS/And/Browsers,SW,Free,PR,http://imqq.com,"IM client; also offers online social games, music, shopping, microblogging, movies, games, and group and voice chat. ",http://en.wikipedia.org/wiki/QQ,,,A,,
China,SafeStream Routers,TP-Link,VPN,,HW,Pay,PR,http://tp-link.com/en/products/biz-list-4909.html,,,,,A,,
China,Seafile,Seafile Ltd. ,CloudEncryption,Mac/Win/Lin/iOS/And,SW,Pay,OS,http://seafile.com,"Open source cloud storage with file encryption and group sharing, and emphasis on reliability and high performance.",http://en.wikipedia.org/wiki/Seafile,Daniel Pan ,,A,,
China,SwitchyOmega (formerly Proxy SwitchySharp),Ozyxa Technology ,DevTools,,SW,Free,OS,http://github.com/FelisCatus/SwitchyOmega,Proxy management extension for Chrome ,,,,A,,
China,WeChat,Tencent,MessageEncryption,Mac/Win/iOS/And/BlackBerry,SW,Free,PR,http://wechat.com,Mobile text and voice MessageEncryption communication service. Operates under Chinese law.,http://en.wikipedia.org/wiki/WeChat,,,A,,
Cyprus,Faceless.me VPN,Faceless.Me ,VPN,Win,SW,Pay,PR,http://faceless.me,,,,,A,,
Czech Republic,Acrobits,Acrobits,Telephone,N/A,SW,Pay,PR,http://acrobits.net ,"Supports encrypted calls using SRTP/SDES and ZRTP, Google Voice integration, and the G.729 Annex A audio codec.",http://en.wikipedia.org/wiki/Acrobits,,,A,,
Czech Republic,Avast Passwords,Alwil Software,PasswordMgr,iOS/And,SW,Free,PR,http://avast.com/passwords,Encrypts everything in a 5-layer security vault (no further details).,https://en.wikipedia.org/wiki/Avast_%28software_company%29,Pavel Baudis,,A,,
Czech Republic,Avast Secure Line,Alwil Software,VPN,Mac/Win/iOS/And,SW,Pay,PR,http://avast.com/secureline-vpn#pc,,https://en.wikipedia.org/wiki/Avast_%28software_company%29,Pavel Baudis,,A,,
Czech Republic,Babel,OKsystem  ,MessageEncryption,Win/iOS/And,SW,Pay,PR,http://getbabel.com ,Has NY sales office. Mobile version is free; PC version $$.,,,,A,,
Czech Republic,Codecrypt,,FileEncryption,Lin,SW,Free,OS,http://github.com/exaexa/codecrypt,GnuPG-like Unix program for encryption and signing that uses only quantum-computer-resistant algorithms.,,Mirek Kratochvil ,,A,,
Czech Republic,Cryptelo,SECTION Technologies s.r.o.,CloudEncryption,Web-based,SW,Pay,PR,http://cryptelo.com,Based on a combination of symmetric (AES-256) and asymmetric encryption (elliptic curve P-384). ,,Vlastimil Klíma ,,A,,
Czech Republic,LibreSignal,,MessageEncryption,And,SW,Free,OS,http://fdroid.eutopia.cz,"TextSecure without Google. An independent build of Signal (formerly TextSecure for Android), renamed LibreSignal. ",,Michal Krenek  ,,A,,
Czech Republic,Privatoria,Privatoria,VPN,Web-based,SW,Pay,PR,http://privatoria.net,,,,,A,,
Denmark,Duplicati,,CloudEncryption,Mac/Win/Lin,SW,Free,OS,http://duplicati.com,Backup client.,http://en.wikipedia.org/wiki/Duplicati,Kenneth Skovhede ,No,A,,
Denmark,VSEncryptor,,MessageEncryption,Win,SW,Free,PR,http://lokibit.com/products.htm#vsencryptor,"VSEncryptor supports a variety of encryption algorithms, including AES-128, AES-192, AES-256, RC2, RC4, DES, Triple DES, Blowfish, Twofish, Serpent, Camellia, Skipjack, CAST-256, MARS, RC5, RC6, IDEA, SEED, SHACAL-2, XTEA, and GOST.  ",,Jesper Madsen ,,A,,
Estonia,BLT,Guardtime,DevTools,,SW,,PR,http://guardtime.com/blt-technology,New cryptographic algorithm intended as a replacement for the RSA signature algorithm.,http://en.wikipedia.org/wiki/Guardtime,"Ahto Buldas, Risto Laanoja, Ahto Truu",,A,,
Finland,BCArchive,Jetico,FileEncryption,Win,SW,Free,PR,http://jetico.com/products/free-security-tools/bcarchive,Encryption and compression.,,,,A,,
Finland,BestCrypt,Jetico,DiskEncryption,Win,SW,Pay,PR,http://jetico.com ,"Supports AES, Serpent, Blowfish, Twofish, DES, Triple DES, GOST 28147-89. All ciphers support CBC and LRW modes of operation while AES, Twofish, and Serpent also support XTS mode.",http://en.wikipedia.org/wiki/BestCrypt,,No,A,,
Finland,Dooble,Dooble Project Team,Browser,Mac/Win/Lin/FreeBSD,SW,Free,OS,http://dooble.sourceforge.net,Privacy-focused browser; uses Qt for its user interface and abstraction from the operating system and processor architecture. Most retained data stored using authenticated encryption; file associations and user settings are not encoded; also provides a session-based model using temporary keys; passphrase may be modified without the loss of data.,http://en.wikipedia.org/wiki/Dooble,Aapo Rantalainen,,A,,
Finland,EndCryptor,"Enternet, Inc.",MailEncryption,Win,SW,Pay,PR,http://www.endcryptor.com,256 bit key size ChaCha20.,,Pentti Vataja ,,A,,
Finland,Fort Cryptography Extension for Windows,,FileEncryption,Win,SW,Free,OS,http://cryptoextension.eu,Open-source GPL-licensed file encryption software for Windows. Uses AES with 256bit keys.,,Niko Rosvall ,,A,,
Finland,Freedome VPN,F-Secure,VPN,Mac/Win,SW,Pay,PR,http://f-secure.com/en/web/home_global/freedome,,http://en.wikipedia.org/wiki/F-Secure,,,A,,
Finland,F-Secure Desktop ,Data Fellows Ltd.,FileEncryption,,SW,Pay,PR,http://f-secure-desktop.software.informer.com,"Provides encryption and decryption of files, directories, folders using 256-bit Blowfish and 168-bit DES. ",http://en.wikipedia.org/wiki/F-Secure,,,A,,
Finland,Loop-AES,,DevTools,Lin,SW,Free,OS,http://loop-aes.sourceforge.net,Loadable Linux kernel module that has AES cipher built-in. The AES cipher can be used to encrypt local file systems and disk partitions.,,Jari Ruusu ,,A,,
Finland,Tinfoil Chat CEV,,MessageEncryption,Linux,SW,Free,OS,http://github.com/maqp/tfc-cev,High assurance encryption plugin for Pidgin IM client.,,Markus Ottela ,No,A,,
France,Claws-Mail,claws-mail.org,MailEncryption,Lin/Unix,SW,Free,OS,http://www.claws-mail.org,GTK+-based e-mail and news client. ,http://en.wikipedia.org/wiki/Claws_Mail,,,A,,
France,Confidant Mail,Confidant Mail,MailEncryption,Mac/Win/Lin,SW,Free,OS,http://confidantmail.org,Open-source non-SMTP cryptographic e-mail system optimized for large file attachments.,,Mike Ingle ,,A,,
France,Cryhod,Prim'C,DiskEncryption,Win,SW,Pay,PR,http://primx.eu/en/cryhod.aspx,AES (128 to 256 bits) RSA (1024 to 4096 bits).,,,,A,,
France,CryptoBox,Ercom,Network,,SW,Pay,PR,http://www.ercom.com/cryptobox/206-208,"Secures all types of communication (voice, data, video, mail) on any type of network (GPRS, Edge, 3G, LTE, HSDPA, Wi-Fi®, Satellite, xDSL, etc.).",,,,A,,
France,CryptoCat,,MessageEncryption,iOS/Browsers,SW,Free,OS,http://crypto.cat,Kobeissi is now living in Montreal.,http://en.wikipedia.org/wiki/Cryptocat,Nadim Kobeissi ,,A,,
France,Cryptosense Analyzer,Cryptosense SA,Network,Win/Lin,HW,Pay,PR,http://cryptosense.com/analyzer,Analyzes network configurations for compliance with cryptographic standards.,,,,A,,
France,Cryptosmart-Mobile Suite ,Ercom,Multi,,HW,Pay,PR,http://www.ercom.com/cryptosmart/3-17,"Secures mobile phones for all communications and on all networks, via a fully secured Smart Card (EAL5+ certified chip and applet certified EAL4+).",,,,A,,
France,CSipSimple,,VoIP ,And,SW,Free,OS,http://www.csipsimple.com,Enables encrypted SIP calling via an Android device.,http://en.wikipedia.org/wiki/CSipSimple,Régis Montoya,,A,,
France,Datacryptor 2000,Thales Group,Network,,HW,Pay,PR,http://thalesgroup.com/sites/default/files/asset/document/thales_datacryptor_link_brochure.pdf,High-speed point-to-point network encryption.,http://en.wikipedia.org/wiki/Thales_Group,,,A,,
France,Discretio,MBDSYS S.A.R.L.,Multi,Mac/Win/iOS/And,SW,Pay,OS,http://discretio.com,"Secure e-mail, SMS, and telephone.",,Baroukh Herve ,,A,,
