2014,2015,2016,Country
45.37,42.4,48,Brazil
20.5,24.5,26.64,Albania
19.36,23.8,25.94,Algeria
7.17,7.9,,Angola
47.5,53.9,52,Argentina
25.4,35.6,46.6,Armenia
81.37,83,86.89,Australia
79,80.86,80.99,Austria
46.8,51.5,54.62,Azerbaijan
79,82,81,Bahrain
3.2,4.6,6.5,Bangladesh
62.86,66.7,,Barbados
78,80.05,82.8,Belgium
2.36,,3.51,Benin
11.6,15.5,26.3,Bhutan
10,11.5,17,Bolivia
39.7,,50,Bosnia and Herzegovina
9.1,10.6,12.05,Botswana
72.44,,,Brunei Darussalam
51,53.71,56.65,Bulgaria
2.8,3.2,,Burkina Faso
0.13,0.13,0.13,Burundi
13.7,22.8,24.8,Cabo Verde
3.94,5.53,7,Cambodia
3.53,4.5,6.5,Cameroon
83,82.6,86.58,Canada
2.35,2.3,2.73,Chad
45.27,49.6,53.93,Chile
37.36,43.9,47.44,China
32.14,35.66,37.98,Colombia
47.33,46.71,55.05,Costa Rica
1.35,1.5,12.2,Cote d'Ivoire
66,64.58,68.37,Croatia
62,64.71,68.64,Cyprus
71,72.62,77.99,Czech Republic
92,92.71,93.12,Denmark
13.65,18.6,21.11,Dominican Republic
22.49,,32,Ecuador
32.27,34.51,36.78,"Egypt, Arab Rep."
15,12.7,23.3,El Salvador
75,80.29,82.9,Estonia
1.89,2.3,2.85,Ethiopia
87,89.24,89.83,Finland
80,81.72,82.96,France
7.87,8.78,9.69,Gabon
6.66,7.6,8.54,"Gambia, The"
31.99,34.6,41,Georgia
85,87.75,89.47,Germany
11,31.8,29,Ghana
54,56.31,65.55,Greece
9.3,9.3,15,Guatemala
1.27,1.4,1.53,Guinea
20.6,20.6,24.17,Guyana
3.35,3.7,4.02,Haiti
13.2,16.4,19.6,Honduras
78.6,79.9,82.39,"Hong Kong SAR, China"
69,71.47,75.05,Hungary
95,96.41,96.48,Iceland
9.5,13,15.33,India
6.45,5.7,29.08,Indonesia
26.5,35.8,44.73,"Iran, Islamic Rep."
81,82.39,82.17,Ireland
73.43,71.1,71.5,Israel
63,68.91,72.61,Italy
23,23.5,25.74,Jamaica
85.99,86.18,97.5,Japan
43.6,44.9,60,Jordan
52.6,55,58.8,Kazakhstan
11.5,14.2,16.9,Kenya
97.4,98.14,98.49,"Korea, Rep."
65.15,71.1,75.39,Kuwait
6.32,7.7,12,Kyrgyz Republic
5.07,5.1,5.23,Lao PDR
69,71.6,73.38,Latvia
63.98,66.2,68.42,Lebanon
3.7,4.3,6.5,Lesotho
1.55,,2.5,Liberia
13.67,15.9,,Libya
62,64.73,65.97,Lithuania
93,94.46,95.56,Luxembourg
56.79,61.9,68.34,"Macedonia, FYR"
2.7,3.65,4.68,Madagascar
5.55,6,6.23,Malawi
64.7,64.7,65.5,Malaysia
2.5,3,6.74,Mali
77,78.82,80.73,Malta
3.4,4.3,6.2,Mauritania
42,44.5,47.53,Mauritius
25.97,30.74,34.39,Mexico
42,46,47.48,Moldova
14,14,29,Mongolia
54.99,55,56.6,Montenegro
38.9,46,50.4,Morocco
4.65,4.6,6.22,Mozambique
1.79,2.2,3,Myanmar
12.97,16,17.27,Namibia
4.1,4.9,5.6,Nepal
94,94.63,95.78,Netherlands
87.4,76.8,79.83,New Zealand
7.4,9.4,11.6,Nicaragua
9.1,7.8,8.48,Nigeria
93,94.29,93.07,Norway
41.89,80.1,86.2,Oman
8.3,8.3,13.2,Pakistan
31.55,31.5,41.57,Panama
22.8,26.6,24.6,Paraguay
20.2,22.1,23.5,Peru
18.9,22.9,26.91,Philippines
70,71.9,74.76,Poland
61,62.34,64.87,Portugal
60.72,60.7,,Puerto Rico
88.06,96.35,98,Qatar
54,58.1,60.54,Romania
51.24,67.2,69.89,Russian Federation
2.41,2.9,3.8,Rwanda
66.6,72.7,94,Saudi Arabia
5.8,6.3,12.6,Senegal
47.95,48,51.75,Serbia
41.92,50.6,55.02,Seychelles
87.7,86,88,Singapore
76.6,77.91,78.35,Slovak Republic
74,75.62,76.8,Slovenia
25.5,39.35,37.3,South Africa
68,69.8,74.35,Spain
10.28,12.7,15.31,Sri Lanka
20.22,19.03,,Suriname
11.4,13.4,18.4,Swaziland
92,92.59,89.57,Sweden
90,91.8,90.6,Switzerland
,,,Syrian Arab Republic
,4.3,7.23,Tajikistan
3.3,3.7,4.1,Tanzania
18.4,22.67,33.81,Thailand
39.99,45,50.03,Trinidad and Tobago
20.6,18.2,28.8,Tunisia
47.2,49.08,60.24,Turkey
4.2,5.2,6.2,Uganda
36.5,43.7,43,Ukraine
72,76.1,90.12,United Arab Emirates
88.61,88.45,89.93,United Kingdom
75,77.3,79.6,United States
48.4,52.7,57.42,Uruguay
20.2,31.5,34.18,"Venezuela, RB"
15.6,17.1,18.61,Vietnam
4.69,4.7,,"Yemen, Rep."
2.8,5.89,6.89,Zambia
4.86,5.3,5.76,Zimbabwe
