Indicator,Country,Variable,Unit,Scope,Time,Value,Flags
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Austria,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2009,38.8093,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Austria,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2015,34.8985,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Austria,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2017,33.04743,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Austria,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2019,31.19888,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Austria,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2009,38.3401,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Austria,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2015,34.9687,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Austria,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2017,16.65675,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Austria,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2019,12.88121,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Austria,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2009,40.5761,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Austria,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2015,42.602,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Austria,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2017,35.1098,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Austria,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2019,39.53044,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Belgium,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2009,35.446,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Belgium,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2015,23.4135,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Belgium,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2017,15.29681,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Belgium,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2019,18.12961,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Belgium,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2009,36.6201,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Belgium,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2015,23.0437,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Belgium,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2017,12.25808,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Belgium,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2019,8.698975,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Belgium,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2009,34.5727,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Belgium,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2015,24.8088,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Belgium,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2017,16.16634,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Belgium,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 55-74,2019,23.92149,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Czech Republic,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2009,2.8742,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Czech Republic,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2015,7.0371,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Czech Republic,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2017,5.939621,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Czech Republic,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2019,9.814267,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Czech Republic,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2009,0.7972,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Czech Republic,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2015,3.1151,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Czech Republic,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2017,0.311621,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Czech Republic,"Individuals who, in the last 12 months, haven't bought / ordered goods or services over the internet for their own private use, because: Payment security concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2019,2.965042,
