country_code,country_name,wb_income,wb_region,skill_group_id,skill_group_category,skill_group_name,net_per_10K_2015,net_per_10K_2016,net_per_10K_2017,net_per_10K_2018,net_per_10K_2019,,data_country,data_year
af,Afghanistan,Low income,South Asia,2549,Tech Skills,Information Management,-791.59,-705.88,-550.04,-680.92,-1208.79,,,
af,Afghanistan,Low income,South Asia,2608,Business Skills,Operational Efficiency,-1610.25,-933.55,-776.06,-532.22,-790.09,,,
af,Afghanistan,Low income,South Asia,3806,Specialized Industry Skills,National Security,-1731.45,-769.68,-756.59,-600.44,-767.64,,,
af,Afghanistan,Low income,South Asia,50321,Tech Skills,Software Testing,-957.5,-828.54,-964.73,-406.5,-739.51,,,
af,Afghanistan,Low income,South Asia,1606,Specialized Industry Skills,Navy,-1510.71,-841.17,-842.32,-581.71,-718.64,,,
af,Afghanistan,Low income,South Asia,3139,Disruptive Tech Skills,Materials Science,-1085.03,-1045.71,-783.03,-473.42,-717.73,,,
af,Afghanistan,Low income,South Asia,1315,Specialized Industry Skills,Criminal Law,-687.8,-294.93,-769.01,-415.34,-698.84,,,
af,Afghanistan,Low income,South Asia,1017,Soft Skills,Problem Solving,-906.42,-210.44,-480.92,-126.62,-696.16,,,
af,Afghanistan,Low income,South Asia,2130,Tech Skills,Software Development Life Cycle (SDLC),-1096.96,-566.7,-478.3,-324.99,-692.24,,,
af,Afghanistan,Low income,South Asia,2265,Specialized Industry Skills,Cybersecurity,-1046.26,-796.25,-796.72,-517.62,-640.96,,,
af,Afghanistan,Low income,South Asia,1989,Tech Skills,Enterprise Software,-989.69,-778.24,-328.94,-350.93,-625.19,,,
af,Afghanistan,Low income,South Asia,17168,Specialized Industry Skills,Water Engineering,-639.43,-851.4,-486.67,-377.28,-560.86,,,
af,Afghanistan,Low income,South Asia,1871,Specialized Industry Skills,Air Force,-1488.62,-839.32,-777.83,-480.36,-553.91,,,
af,Afghanistan,Low income,South Asia,3980,Specialized Industry Skills,Documentation,-1115.58,-955.82,-1025.11,-722.36,-534.9,,,
af,Afghanistan,Low income,South Asia,2917,Specialized Industry Skills,Public Safety,-1191.25,-789.13,-743.97,-465.34,-531.68,,,
af,Afghanistan,Low income,South Asia,2060,Business Skills,People Management,-1218.97,-902.07,-740.96,-587.82,-489.62,,,
af,Afghanistan,Low income,South Asia,635,Business Skills,Economics,-64.75,-620.9,-784.09,-289.27,-481.75,,,
af,Afghanistan,Low income,South Asia,344,Business Skills,Administrative Assistance,-793.47,-651.12,-617.77,-412.37,-481,,,
af,Afghanistan,Low income,South Asia,314,Specialized Industry Skills,Telecommunications,-590.56,-505.68,-482.94,-186.71,-470.25,,,
af,Afghanistan,Low income,South Asia,441,Business Skills,Management Consulting,-535.68,-575.16,-617.85,-166.44,-465.04,,,
af,Afghanistan,Low income,South Asia,20157,Disruptive Tech Skills,Aerospace Engineering,-1191.93,-935.16,-605.6,54.71,-459.57,,,
af,Afghanistan,Low income,South Asia,5785,Specialized Industry Skills,Environmental Consulting,-1122.08,-449.87,-436.09,-514.6,-456.65,,,
af,Afghanistan,Low income,South Asia,354,Specialized Industry Skills,Politics,-384.08,-597,-650.11,-613.52,-455.72,,,
af,Afghanistan,Low income,South Asia,49,Business Skills,Human Resources (HR),-703.76,-662.98,-590.62,-265.43,-454.04,,,
af,Afghanistan,Low income,South Asia,172,Specialized Industry Skills,Law,-727.75,-375.73,-638.52,40.55,-444.72,,,
