1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Country Name,Country Code,Indicator Name,Indicator Code,data_country,data_year
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99.15365601,99.1971283,99.23991394,100,100,100,100,100,100,91.66040039,100,100,100,100,100,100,100,100,100,93.35629272,100,100,100,100,100,100,100,100,100,100,,Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9579299,19.98622032,21.60150342,22.54830664,23.81588046,23.48115625,24.74991289,26.75159128,25.91395846,26.15136,27.48273428,28.94862794,31.6823177,31.61069188,31.82494955,33.74440463,38.73335203,40.09216329,42.88097663,44.0739121,45.60960429,,Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.613590956,4.074573994,9.409157753,14.73850632,20.06496811,25.39089394,30.71869087,36.05101013,42.40000153,46.74005127,42.70000076,43.2220192,69.09999847,68.29064941,89.5,71.5,97.69999695,97.69999695,96.61613464,97.69999695,97.69999695,,Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.57513035,32.6096922,33.60566797,32.62932224,32.46179668,33.45862992,34.81042847,34.10216004,35.2168999,35.73458669,39.84628154,37.53887474,37.83309477,39.84325236,40.78953786,41.75107564,41.81391274,41.79984475,45.89634672,44.13740962,47.02933477,47.58714525,46.75094578,50.93139886,48.83506221,51.23851754,51.26021957,52.08205283,,Africa Western and Central,AFW,Access to electricity (% of population),EG.ELC.ACCS.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.21274376,20,26.35211754,27.41277695,28.47055054,29.52778625,30.58689499,37.5,38.49000168,33.80218887,34.89563751,34.59999847,37.13132095,38.2780304,32,42,41.81312943,43.01325989,45.29000092,45.64279938,46.89060974,,Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.90000153,100,99.94999695,99.98000336,99.88999939,99.88999939,100,100,100,,Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.96432583,77.6235207,78.52140883,79.11231964,81.12177757,81.94658432,81.9250773,82.91213575,82.88419373,83.61072592,85.81646493,84.12223502,83.79608144,84.66416031,87.37510692,87.60000139,87.28750859,89.29672558,88.28206014,88.89112962,89.35422208,90.44600992,88.91624286,90.00759694,90.23438955,,Arab World,ARB,Access to electricity (% of population),EG.ELC.ACCS.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,United Arab Emirates,ARE,Access to electricity (% of population),EG.ELC.ACCS.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.15480042,92.4921875,92.82945251,93.16604614,93.50127411,93.83446503,94.16493988,94.49201202,94.81500244,95.13315582,95.78328705,95.51106262,96.22886658,96.44263458,96.65350342,96.86384583,97.07605743,97.29279327,97.51675415,97.75065613,98.81999969,99.09535217,99.22998047,99.34267426,100,99.6253891,99.84957886,100,99.98957825,100,100,,Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,,
