1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Country Name,Country Code,Indicator Name,Indicator Code
0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029310471,,,2.138837707,3.605769231,3.981229008,6.16428154,13.48238863,16.51018679,57.05182028,65.05811016,72.10282734,99.64754854,103.3849507,108.1282107,112.2147359,119.1874346,126.1643093,129.636369,,131.6302652,134.5495788,134.6194615,135.13384,,,,,,Aruba,ABW,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2
0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001344504,0.002586607,0.003063238,0.005798483,0.015951979,0.11680593,0.163637409,0.28432924,0.53548582,0.957902943,1.527336253,2.51535823,3.460504794,4.562978727,6.031836752,7.949496954,12.48357942,16.80095702,21.49708967,27.87913161,32.32536845,38.90075983,48.47290174,53.25814846,58.23449161,62.53731242,67.99350423,64.96315617,64.88158725,72.93173353,78.46344745,,Africa Eastern and Southern,AFE,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2
0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1106157,0.84456353,2.426528361,4.677582611,9.534904581,17.22510581,28.49300324,36.97858479,35.00312672,45.81362616,49.22797697,52.08357627,55.15951463,57.27106807,61.05463771,65.92913406,59.12084823,59.3560197,,Afghanistan,AFG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2
0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000409304,0.005632347,0.009679299,0.012663403,0.026080925,0.046988571,0.098869614,0.207991803,0.53565571,1.060305573,2.11789336,3.363368146,6.544844787,11.2604703,19.07718537,25.41722172,37.43519724,45.05032321,53.13423145,59.25287866,68.29760995,76.34620664,81.72986151,86.70769269,86.32538724,84.6725609,94.21880758,97.84158342,,Africa Western and Central,AFW,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2
0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00841297,0.013507362,0.014298821,0.022901634,0.047419338,0.063933952,0.151258575,0.157397106,0.442588771,0.799113349,1.931409682,3.944952979,8.290372521,15.15947895,23.73331666,31.21990351,36.01900945,40.26060095,49.84677338,50.92059955,51.06592034,52.15898327,49.79322295,45.07629005,44.68610714,43.13051888,46.59863797,,Angola,AGO,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2
0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074224675,0.10646013,0.180024831,0.35251579,0.952019386,12.54591489,27.22166012,35.27876478,40.56791669,49.57363751,62.35298419,76.54705112,61.9324483,82.86919686,91.32805273,105.852915,120.1058579,126.9369686,115.9979353,117.6592183,116.7444442,125.7103519,94.17699827,91.29301538,,Albania,ALB,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2
0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.307566907,1.279296715,1.250857571,4.424432263,8.527035426,13.39717382,22.00898008,32.00248563,36.00397614,43.70145973,46.81009008,70.90951327,76.5515975,81.8593328,85.1974862,76.80204151,76.55672414,76.42281236,77.5556845,77.66725972,77.48067987,79.14799317,83.62390012,91.44351438,98.49282637,104.3324113,107.2825494,113.9573773,,Andorra,AND,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2
0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0.001382009,0.002054786,0.002767255,0.00453049,0.011470157,0.01745173,0.019836441,0.028779613,0.038821708,0.055973076,0.063371648,0.080927929,0.104376852,0.196109332,0.352104808,0.604256406,0.922815453,1.468984707,3.128054337,5.650420528,8.378907927,11.39056777,16.53201764,26.29034195,38.09822498,51.49150472,61.61889079,74.50589449,87.91762277,96.84512606,102.6749138,107.3038641,106.9236201,105.7348817,103.1907993,101.0307466,99.48647313,105.1817074,,Arab World,ARB,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2
,,,,,,,,,,,,,,,,,,,,,,0.20003331,0.290119573,0.381461408,0.580018212,0.773724747,0.894077478,0.849566029,1.44557424,1.836436903,2.220165366,2.382932167,3.248112523,3.987473767,5.340090845,7.633886621,11.58109609,17.53432195,28.05992784,45.56754142,57.8100347,69.79668429,80.07503909,90.52608165,98.8212871,104.134185,125.3316751,131.9945294,134.7906603,127.7898753,131.0796167,150.6876042,174.6434462,182.5342367,193.7034838,212.6389865,208.9785999,208.5048332,200.6320743,,United Arab Emirates,ARE,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2
0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007154381,0.036788768,0.07557665,0.138952987,0.329701602,0.701000783,1.163985934,1.892449986,5.634374256,7.406006174,10.55432581,17.59645109,18.08631275,17.42684502,20.58984504,35.10441866,56.96774563,80.19976545,101.8079595,116.0393921,129.6422074,139.580018,146.9554555,154.059023,159.6394613,143.6158316,143.566834,146.4538276,140.8771235,132.0931513,125.842106,,Argentina,ARG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2
