HDI rank,Country,Value,,(years),(2017 PPP $),data_country,data_year
,,2019,,2019,2019,,
,VERY HIGH HUMAN DEVELOPMENT,,,,,,
1,Norway,0.957,,12.89775,66494.25217,,
2,Ireland,0.955,,12.6663305,68370.58737,,
2,Switzerland,0.955,,13.38081241,69393.52076,,
4,"Hong Kong, China (SAR)",0.949,,12.27996,62984.76553,,
4,Iceland,0.949,,12.77278684,54682.38057,,
6,Germany,0.947,,14.15168,55314.35355,,
7,Sweden,0.945,,12.54847,54507.80504,,
8,Australia,0.944,,12.72469119,48084.84207,,
8,Netherlands,0.944,,12.4148,57707.06867,,
10,Denmark,0.94,,12.61380326,58661.87084,,
11,Finland,0.938,,12.82413,48511.3978,,
11,Singapore,0.938,,11.62461,88155.21431,,
13,United Kingdom,0.932,,13.24287,46070.64481,,
14,Belgium,0.931,,12.05027,52084.59209,,
14,New Zealand,0.931,,12.78207732,40798.7196,,
16,Canada,0.929,,13.36610479,48527.03573,,
17,United States,0.926,,13.41344,63825.65748,,
18,Austria,0.922,,12.5461436,56196.89869,,
19,Israel,0.919,,13.0348541,40186.84583,,
19,Japan,0.919,,12.85,42931.69575,,
19,Liechtenstein,0.919,,12.53854,131031.5898,,
22,Slovenia,0.917,,12.65874,38079.53399,,
23,Korea (Republic of),0.916,,12.21376462,43043.71057,,
23,Luxembourg,0.916,,12.31145,72711.67412,,
25,Spain,0.904,,10.25178,40974.52408,,
26,France,0.901,,11.4795,47172.53748,,
27,Czechia,0.9,,12.72238228,38108.56662,,
28,Malta,0.895,,11.32613,39554.52078,,
29,Estonia,0.892,,13.14306146,36019.26692,,
29,Italy,0.892,,10.37955,42776.35692,,
31,United Arab Emirates,0.89,,12.11122,67462.0953,,
32,Greece,0.888,,10.55207,30154.63438,,
33,Cyprus,0.887,,12.17123,38206.84049,,
34,Lithuania,0.882,,13.07721,35798.67041,,
35,Poland,0.88,,12.47232,31622.55302,,
36,Andorra,0.868,,10.50176,56000.30336,,
37,Latvia,0.866,,13.03085,30282.39353,,
38,Portugal,0.864,,9.26347,33966.82756,,
39,Slovakia,0.86,,12.69315651,32113.04569,,
40,Hungary,0.854,,11.96329,31328.80599,,
40,Saudi Arabia,0.854,,10.22517,47495.42697,,
42,Bahrain,0.852,,9.5192,42521.70451,,
43,Chile,0.851,,10.58295,23261.29726,,
43,Croatia,0.851,,11.44932,28069.84837,,
45,Qatar,0.848,,9.73144,92418.23036,,
46,Argentina,0.845,,10.94060102,21190.17661,,
47,Brunei Darussalam,0.838,,9.14,63965.09279,,
48,Montenegro,0.829,,11.58926489,21399.24713,,
49,Romania,0.828,,11.0708,29497.23164,,
50,Palau,0.826,,12.49143,19316.97453,,
51,Kazakhstan,0.825,,11.8949,22857.46082,,
52,Russian Federation,0.824,,12.17244258,26157.04711,,
53,Belarus,0.823,,12.30584324,18546.48713,,
54,Turkey,0.82,,8.10682,27700.89481,,
55,Uruguay,0.817,,8.92573,20063.64222,,
56,Bulgaria,0.816,,11.36009,23324.6574,,
57,Panama,0.815,,10.24,29557.66834,,
58,Bahamas,0.814,,11.43692,33747.21264,,
58,Barbados,0.814,,10.64244442,14935.90942,,
60,Oman,0.813,,9.731845912,25944.07218,,
61,Georgia,0.812,,13.13296,14428.79984,,
62,Costa Rica,0.81,,8.74194,18486.37141,,
62,Malaysia,0.81,,10.37283,27534.09856,,
64,Kuwait,0.806,,7.275667996,58590.08219,,
64,Serbia,0.806,,11.19411,17191.66873,,
66,Mauritius,0.804,,9.54,25266.21195,,
,HIGH HUMAN DEVELOPMENT,,,,,,
67,Seychelles,0.796,,9.992045,26903.24617,,
67,Trinidad and Tobago,0.796,,11.034,26230.71569,,
69,Albania,0.795,,10.14573,13998.29989,,
70,Cuba,0.783,,11.7907808,8620.716216,,
70,Iran (Islamic Republic of),0.783,,10.34749,12446.66645,,
72,Sri Lanka,0.782,,10.63257,12707.36624,,
73,Bosnia and Herzegovina,0.78,,9.81787,14871.81114,,
74,Grenada,0.779,,9.032104,15640.88574,,
74,Mexico,0.779,,8.75461,19159.83967,,
74,Saint Kitts and Nevis,0.779,,8.662745,25037.50727,,
74,Ukraine,0.779,,11.39749842,13215.9357,,
78,Antigua and Barbuda,0.778,,9.293740746,20895.35881,,
79,Peru,0.777,,9.69633,12252.30018,,
79,Thailand,0.777,,7.9391,17781.19093,,
81,Armenia,0.776,,11.30174,13894.01302,,
82,North Macedonia,0.774,,9.812715,15864.63074,,
83,Colombia,0.767,,8.46873,14256.67085,,
84,Brazil,0.765,,7.9813,14262.93459,,
85,China,0.761,,8.06,16057.39642,,
86,Ecuador,0.759,,8.907169486,11043.98255,,
86,Saint Lucia,0.759,,8.508470732,14615.56978,,
88,Azerbaijan,0.756,,10.57543,13783.67995,,
88,Dominican Republic,0.756,,8.123720269,17591.06522,,
90,Moldova (Republic of),0.75,,11.70817,13663.60669,,
91,Algeria,0.748,,7.986547848,11173.95681,,
