Country,Afghanistan,Albania,Algeria,Angola,Antigua and Barbuda,Argentina,Australia,Austria,The Bahamas,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Chile,China,Colombia,"Congo, Dem. Rep.",Costa Rica,Cote d'Ivoire,Croatia,Czech Republic,Denmark,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,Finland,France,The Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guyana,Honduras,"Hong Kong SAR, China",Hungary,India,Indonesia,Iran,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kosovo,Kyrgyz Republic,Lebanon,Liberia,Madagascar,Malawi,Malaysia,Mali,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Republic of Korea,Romania,Russian Federation,Rwanda,Senegal,Serbia,Sierra Leone,Singapore,Slovenia,South Africa,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Vincent and the Grenadines,Suriname,Sweden,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,"Venezuela, RB",Vietnam,Zambia,Zimbabwe,data_country,data_year
Country Code,AFG,ALB,DZA,AGO,ATG,ARG,AUS,AUT,BHS,BGD,BRB,BLR,BEL,BLZ,BEN,BOL,BIH,BWA,BRA,BGR,BFA,KHM,CMR,CAN,CHL,CHN,COL,COD,CRI,CIV,HRV,CZE,DNK,DMA,DOM,ECU,EGY,SLV,EST,ETH,FIN,FRA,GMB,GEO,DEU,GHA,GRC,GRD,GTM,GIN,GUY,HND,HKG,HUN,IND,IDN,IRN,ITA,JAM,JPN,JOR,KAZ,KEN,XKX,KGZ,LBN,LBR,MDG,MWI,MYS,MLI,MRT,MUS,MEX,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NZL,NIC,NER,NGA,MKD,NOR,PAK,PAN,PER,PHL,POL,PRT,KOR,ROU,RUS,RWA,SEN,SRB,SLE,SGP,SVN,ZAF,ESP,LKA,KNA,LCA,VCT,SUR,SWE,TZA,THA,TGO,TTO,TUN,TUR,UGA,UKR,ARE,GBR,USA,URY,UZB,VEN,VNM,ZMB,ZWE,,
Region,South Asia,Eastern Europe & Central Asia,Middle East & North Africa,Sub-Saharan Africa,Latin America & Caribbean,Latin America & Caribbean,East Asia & Pacific,EU + EFTA + North America,Latin America & Caribbean,South Asia,Latin America & Caribbean,Eastern Europe & Central Asia,EU + EFTA + North America,Latin America & Caribbean,Sub-Saharan Africa,Latin America & Caribbean,Eastern Europe & Central Asia,Sub-Saharan Africa,Latin America & Caribbean,EU + EFTA + North America,Sub-Saharan Africa,East Asia & Pacific,Sub-Saharan Africa,EU + EFTA + North America,Latin America & Caribbean,East Asia & Pacific,Latin America & Caribbean,Sub-Saharan Africa,Latin America & Caribbean,Sub-Saharan Africa,EU + EFTA + North America,EU + EFTA + North America,EU + EFTA + North America,Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,Middle East & North Africa,Latin America & Caribbean,EU + EFTA + North America,Sub-Saharan Africa,EU + EFTA + North America,EU + EFTA + North America,Sub-Saharan Africa,Eastern Europe & Central Asia,EU + EFTA + North America,Sub-Saharan Africa,EU + EFTA + North America,Latin America & Caribbean,Latin America & Caribbean,Sub-Saharan Africa,Latin America & Caribbean,Latin America & Caribbean,East Asia & Pacific,EU + EFTA + North America,South Asia,East Asia & Pacific,Middle East & North Africa,EU + EFTA + North America,Latin America & Caribbean,East Asia & Pacific,Middle East & North Africa,Eastern Europe & Central Asia,Sub-Saharan Africa,Eastern Europe & Central Asia,Eastern Europe & Central Asia,Middle East & North Africa,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa,East Asia & Pacific,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa,Latin America & Caribbean,Eastern Europe & Central Asia,East Asia & Pacific,Middle East & North Africa,Sub-Saharan Africa,East Asia & Pacific,Sub-Saharan Africa,South Asia,EU + EFTA + North America,East Asia & Pacific,Latin America & Caribbean,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Europe & Central Asia,EU + EFTA + North America,South Asia,Latin America & Caribbean,Latin America & Caribbean,East Asia & Pacific,EU + EFTA + North America,EU + EFTA + North America,East Asia & Pacific,EU + EFTA + North America,Eastern Europe & Central Asia,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Europe & Central Asia,Sub-Saharan Africa,East Asia & Pacific,EU + EFTA + North America,Sub-Saharan Africa,EU + EFTA + North America,South Asia,Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,EU + EFTA + North America,Sub-Saharan Africa,East Asia & Pacific,Sub-Saharan Africa,Latin America & Caribbean,Middle East & North Africa,Eastern Europe & Central Asia,Sub-Saharan Africa,Eastern Europe & Central Asia,Middle East & North Africa,EU + EFTA + North America,EU + EFTA + North America,Latin America & Caribbean,Eastern Europe & Central Asia,Latin America & Caribbean,East Asia & Pacific,Sub-Saharan Africa,Sub-Saharan Africa,,
Income Group,Low,Upper middle,Upper middle,Lower middle,High,Upper middle,High,High,High,Lower middle,High,Upper middle,High,Upper middle,Low,Lower middle,Upper middle,Upper middle,Upper middle,Upper middle,Low,Lower middle,Lower middle,High,High,Upper middle,Upper middle,Low,Upper middle,Lower middle,High,High,High,Upper middle,Upper middle,Upper middle,Lower middle,Lower middle,High,Low,High,High,Low,Upper middle,High,Lower middle,High,Upper middle,Upper middle,Low,Upper middle,Lower middle,High,High,Lower middle,Lower middle,Upper middle,High,Upper middle,High,Upper middle,Upper middle,Lower middle,Upper middle,Lower middle,Upper middle,Low,Low,Low,Upper middle,Low,Lower middle,Upper middle,Upper middle,Lower middle,Lower middle,Lower middle,Low,Lower middle,Upper middle,Low,High,High,Lower middle,Low,Lower middle,Upper middle,High,Lower middle,High,Upper middle,Lower middle,High,High,High,Upper middle,Upper middle,Low,Lower middle,Upper middle,Low,High,High,Upper middle,High,Upper middle,High,Upper middle,Upper middle,Upper middle,High,Low,Upper middle,Low,High,Lower middle,Upper middle,Low,Lower middle,High,High,High,High,Lower middle,Upper middle,Lower middle,Lower middle,Lower middle,,
WJP Rule of Law Index: Overall Score,0.36,0.50,0.49,0.43,0.63,0.58,0.80,0.82,0.61,0.41,0.65,0.51,0.79,0.48,0.50,0.38,0.52,0.60,0.52,0.55,0.51,0.33,0.36,0.81,0.67,0.48,0.50,0.34,0.68,0.46,0.61,0.73,0.90,0.58,0.48,0.49,0.36,0.49,0.81,0.41,0.87,0.73,0.50,0.60,0.84,0.57,0.61,0.59,0.45,0.42,0.50,0.40,0.76,0.53,0.51,0.53,0.43,0.66,0.57,0.78,0.57,0.52,0.45,0.54,0.48,0.45,0.45,0.44,0.52,0.58,0.44,0.36,0.61,0.44,0.50,0.53,0.50,0.41,0.42,0.63,0.53,0.84,0.83,0.39,0.45,0.43,0.53,0.89,0.39,0.52,0.50,0.47,0.66,0.70,0.73,0.63,0.47,0.62,0.55,0.50,0.45,0.79,0.69,0.59,0.73,0.52,0.63,0.62,0.64,0.50,0.86,0.47,0.51,0.45,0.54,0.54,0.43,0.40,0.51,0.65,0.79,0.72,0.71,0.47,0.27,0.49,0.45,0.39,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factor 1: Constraints on Government Powers,0.44,0.45,0.48,0.42,0.62,0.61,0.82,0.85,0.61,0.40,0.63,0.36,0.83,0.44,0.53,0.36,0.45,0.62,0.53,0.46,0.56,0.29,0.37,0.84,0.72,0.32,0.53,0.39,0.76,0.41,0.58,0.73,0.94,0.53,0.47,0.48,0.27,0.50,0.83,0.39,0.92,0.73,0.60,0.55,0.85,0.68,0.68,0.58,0.52,0.39,0.56,0.34,0.65,0.40,0.61,0.68,0.37,0.71,0.64,0.71,0.49,0.42,0.49,0.52,0.48,0.50,0.52,0.46,0.56,0.58,0.47,0.33,0.60,0.46,0.46,0.53,0.51,0.43,0.45,0.69,0.60,0.86,0.85,0.26,0.40,0.53,0.47,0.94,0.49,0.54,0.60,0.50,0.58,0.78,0.72,0.62,0.36,0.60,0.56,0.39,0.51,0.67,0.65,0.63,0.74,0.55,0.62,0.59,0.62,0.48,0.87,0.51,0.48,0.36,0.56,0.61,0.30,0.40,0.46,0.56,0.82,0.71,0.76,0.33,0.17,0.45,0.46,0.33,,
1.1 Government powers are effectively limited by the legislature,0.59,0.48,0.51,0.52,0.61,0.65,0.86,0.84,0.57,0.54,0.70,0.27,0.83,0.50,0.54,0.36,0.53,0.63,0.68,0.53,0.64,0.39,0.39,0.80,0.70,0.36,0.61,0.51,0.77,0.42,0.58,0.70,0.91,0.44,0.54,0.54,0.08,0.58,0.84,0.51,0.88,0.72,0.71,0.58,0.83,0.78,0.64,0.57,0.61,0.46,0.62,0.44,0.68,0.35,0.72,0.80,0.40,0.72,0.67,0.61,0.50,0.45,0.63,0.61,0.57,0.71,0.54,0.47,0.56,0.58,0.59,0.34,0.63,0.52,0.60,0.67,0.58,0.52,0.42,0.75,0.75,0.84,0.85,0.33,0.51,0.68,0.58,0.96,0.56,0.55,0.71,0.55,0.47,0.84,0.68,0.68,0.36,0.52,0.53,0.40,0.58,0.48,0.69,0.58,0.76,0.56,0.61,0.62,0.58,0.48,0.81,0.55,0.52,0.45,0.66,0.66,0.37,0.42,0.57,0.52,0.86,0.77,0.79,0.15,0.32,0.38,0.46,0.32,,
1.2 Government powers are effectively limited by the judiciary,0.35,0.30,0.43,0.40,0.71,0.46,0.84,0.84,0.62,0.48,0.71,0.28,0.78,0.51,0.45,0.28,0.38,0.62,0.63,0.39,0.53,0.25,0.30,0.85,0.58,0.30,0.50,0.37,0.69,0.36,0.47,0.72,0.95,0.58,0.41,0.42,0.35,0.48,0.82,0.36,0.90,0.67,0.63,0.44,0.82,0.67,0.64,0.66,0.51,0.30,0.61,0.33,0.72,0.41,0.65,0.68,0.37,0.70,0.69,0.70,0.48,0.42,0.51,0.42,0.30,0.46,0.52,0.40,0.64,0.62,0.43,0.22,0.67,0.44,0.37,0.50,0.53,0.42,0.44,0.78,0.62,0.85,0.87,0.33,0.43,0.53,0.37,0.95,0.50,0.44,0.50,0.53,0.53,0.76,0.60,0.57,0.33,0.58,0.46,0.34,0.42,0.72,0.58,0.67,0.66,0.61,0.70,0.70,0.61,0.59,0.83,0.53,0.60,0.31,0.67,0.50,0.32,0.40,0.32,0.55,0.82,0.73,0.72,0.20,0.12,0.36,0.37,0.32,,
1.3 Government powers are effectively limited by independent auditing and review,0.45,0.55,0.60,0.37,0.59,0.70,0.77,0.78,0.52,0.37,0.43,0.50,0.90,0.26,0.42,0.33,0.47,0.52,0.44,0.40,0.51,0.23,0.41,0.80,0.85,0.39,0.49,0.32,0.80,0.44,0.56,0.75,0.91,0.65,0.31,0.48,0.32,0.39,0.86,0.40,0.92,0.73,0.36,0.59,0.85,0.62,0.71,0.49,0.40,0.33,0.46,0.28,0.59,0.32,0.57,0.59,0.41,0.74,0.62,0.69,0.56,0.50,0.47,0.60,0.43,0.44,0.46,0.45,0.53,0.60,0.37,0.35,0.44,0.44,0.46,0.44,0.45,0.44,0.38,0.52,0.49,0.88,0.82,0.16,0.29,0.47,0.48,0.89,0.45,0.46,0.54,0.47,0.54,0.75,0.84,0.54,0.37,0.63,0.55,0.39,0.51,0.70,0.63,0.63,0.75,0.45,0.59,0.40,0.67,0.30,0.97,0.48,0.43,0.30,0.33,0.62,0.19,0.46,0.40,0.69,0.80,0.66,0.69,0.37,0.06,0.52,0.48,0.46,,
1.4 Government officials are sanctioned for misconduct,0.32,0.39,0.50,0.34,0.46,0.39,0.77,0.83,0.44,0.37,0.42,0.54,0.75,0.24,0.49,0.31,0.36,0.56,0.30,0.32,0.43,0.27,0.39,0.77,0.58,0.49,0.42,0.35,0.60,0.38,0.49,0.61,0.94,0.42,0.34,0.40,0.39,0.39,0.78,0.42,0.93,0.64,0.50,0.42,0.80,0.52,0.54,0.43,0.36,0.29,0.41,0.25,0.75,0.31,0.41,0.61,0.39,0.63,0.44,0.73,0.53,0.45,0.35,0.38,0.47,0.32,0.36,0.41,0.45,0.58,0.28,0.29,0.52,0.27,0.31,0.41,0.46,0.41,0.45,0.62,0.45,0.84,0.81,0.17,0.29,0.46,0.34,0.90,0.36,0.31,0.40,0.41,0.56,0.64,0.68,0.53,0.33,0.73,0.50,0.26,0.42,0.90,0.50,0.47,0.66,0.40,0.47,0.47,0.56,0.37,0.84,0.55,0.47,0.32,0.36,0.48,0.30,0.38,0.28,0.71,0.76,0.63,0.67,0.45,0.12,0.60,0.55,0.35,,
