,SDG3,SDG4.3,SDG4.4,SDG8.5,data_country,data_year
,,,,,,
,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,,
,(years),(years),(years),(2017 PPP $),,
,2019,2019,2019,2019,,
,,,,,,
,82.4,18.06615,12.89775,66494.25217,,
,82.31,18.70529,12.6663305,68370.58737,,
,83.78,16.32844,13.38081241,69393.52076,,
,84.86,16.92947,12.27996,62984.76553,,
,82.99,19.08309,12.77278684,54682.38057,,
,81.33,16.97719,14.15168,55314.35355,,
,82.8,19.48234,12.54847,54507.80504,,
,83.44,21.95433,12.72469119,48084.84207,,
,82.28,18.48513,12.4148,57707.06867,,
,80.9,18.89342,12.61380326,58661.87084,,
,81.91,19.39712,12.82413,48511.3978,,
,83.62,16.44088,11.62461,88155.21431,,
,81.32,17.49843,13.24287,46070.64481,,
,81.63,19.77438,12.05027,52084.59209,,
,82.29,18.83857,12.78207732,40798.7196,,
,82.43,16.15789,13.36610479,48527.03573,,
,78.86,16.31039,13.41344,63825.65748,,
,81.54,16.09207,12.5461436,56196.89869,,
,82.97,16.16283,13.0348541,40186.84583,,
,84.63,15.23057,12.85,42931.69575,,
,80.67,14.90233,12.53854,131031.5898,,
,81.32,17.57206,12.65874,38079.53399,,
,83.03,16.48165,12.21376462,43043.71057,,
,82.25,14.25582,12.31145,72711.67412,,
,83.57,17.61613,10.25178,40974.52408,,
,82.66,15.64217,11.4795,47172.53748,,
,79.38,16.78511,12.72238228,38108.56662,,
,82.53,16.10407,11.32613,39554.52078,,
,78.75,15.989,13.14306146,36019.26692,,
,83.51,16.0889,10.37955,42776.35692,,
,77.97,14.3441,12.11122,67462.0953,,
,82.24,17.90792,10.55207,30154.63438,,
,80.98,15.16887,12.17123,38206.84049,,
,75.93,16.63731,13.07721,35798.67041,,
,78.73,16.30117063,12.47232,31622.55302,,
,81.91,13.30023874,10.50176,56000.30336,,
,75.29,16.16769,13.03085,30282.39353,,
,82.05,16.53579,9.26347,33966.82756,,
,77.54,14.48704,12.69315651,32113.04569,,
,76.88,15.20418,11.96329,31328.80599,,
,75.13,16.13575,10.22517,47495.42697,,
,77.29,16.25482,9.5192,42521.70451,,
,80.18,16.44755,10.58295,23261.29726,,
,78.49,15.22672,11.44932,28069.84837,,
,80.23,12.03595,9.73144,92418.23036,,
,76.67,17.6542,10.94060102,21190.17661,,
,75.86,14.31391,9.14,63965.09279,,
,76.88,14.99968,11.58926489,21399.24713,,
,76.05,14.25988,11.0708,29497.23164,,
,73.93,15.7967036,12.49143,19316.97453,,
,73.6,15.61293,11.8949,22857.46082,,
,72.58,15.02735,12.17244258,26157.04711,,
,74.79,15.40479,12.30584324,18546.48713,,
,77.69,16.60266555,8.10682,27700.89481,,
,77.91,16.83564,8.92573,20063.64222,,
,75.05,14.41442,11.36009,23324.6574,,
,78.51,12.90561,10.24,29557.66834,,
,73.92,12.89945,11.43692,33747.21264,,
,79.19,15.39288672,10.64244442,14935.90942,,
,77.86,14.18214,9.731845912,25944.07218,,
,73.77,15.27506,13.13296,14428.79984,,
,80.28,15.65154,8.74194,18486.37141,,
,76.16,13.67864,10.37283,27534.09856,,
,75.49,14.24582,7.275667996,58590.08219,,
,76,14.73747,11.19411,17191.66873,,
,74.99,15.0566,9.54,25266.21195,,
,,,,,,
,73.4,14.14966,9.992045,26903.24617,,
,73.51,12.96,11.034,26230.71569,,
,78.57,14.69562,10.14573,13998.29989,,
,78.8,14.2809,11.7907808,8620.716216,,
,76.68,14.81373,10.34749,12446.66645,,
,76.98,14.11107,10.63257,12707.36624,,
,77.4,13.8,9.81787,14871.81114,,
,72.4,16.86987,9.032104,15640.88574,,
,75.05,14.80978,8.75461,19159.83967,,
,74.76,13.84533,8.662745,25037.50727,,
,72.07,15.07384705,11.39749842,13215.9357,,
,77.02,12.77203,9.293740746,20895.35881,,
,76.74,14.99071,9.69633,12252.30018,,
,77.15,15.0291956,7.9391,17781.19093,,
,75.09,13.06861,11.30174,13894.01302,,
,75.8,13.5852,9.812715,15864.63074,,
,77.29,14.39861,8.46873,14256.67085,,
,75.88,15.41401,7.9813,14262.93459,,
,76.91,13.98429,8.06,16057.39642,,
,77.01,14.6008,8.907169486,11043.98255,,
,76.2,13.99927,8.508470732,14615.56978,,
,73.01,12.89364,10.57543,13783.67995,,
,74.08,14.22252,8.123720269,17591.06522,,
,71.9,11.53408,11.70817,13663.60669,,
,76.88,14.60430179,7.986547848,11173.95681,,
,78.93,11.28587,8.718636,14654.53395,,
,67.44,14.42733,10.90163,13009.07311,,
,78.21,12.966179,8.142186,11883.95528,,
,78.92,12.2,7.020278,17416.77777,,
,76.7,15.12561,7.22022,10414.06361,,
,72.53,14.09404,8.784648,12377.65413,,
,71.68,13.188028,9.261387,14324.37746,,
,69.87,14.20655,10.2512725,10838.6743,,
,69.59,12.8495,9.56,16437.14142,,
,74.48,13.1407323,9.73305,9319.131127,,
,74.53,11.3787006,10.518,9858.487276,,
,74.25,12.71,8.53508,12223.94045,,
,70.91,14.40649703,11.24,6364.577962,,
,72.91,12.85428,7.599985,15687.71357,,
,71.73,12.05882,11.8072,7141.953943,,
,71.51,14.2,9.017540839,8553.783786,,
,71.72,13.60698,8.16668,11459.09692,,
,71.23,13.14836,9.393091398,9777.798117,,
,74.62,13.11358,9.921731875,6381.597682,,
,73.32,12.7297,10.77921,6308.652491,,
,68.19,11.1894,10.27379667,14908.6706,,
,72.06,12.81608,10.30728,7044.638972,,
,64.13,13.7912,10.24064634,12129.23006,,
,74.05,13.4094,9.16551,6417.389121,,
,71.99,13.32624,7.434,11466.14512,,
,74.11,12.39008,10.8856786,5039.043833,,
,75.4,12.692323,8.32,7432.706806,,
,66.47,12.97731,8.698,13929.80613,,
,,,,,,
,71.45,12.96756,11.10481377,4864.390351,,
,76.68,13.72117,5.648,7368.360268,,
,69.91,11.43113,8.489781305,9455.014358,,
,70.6,11.27,7.316,10800.83898,,
,73.32,11.6908,6.907268,8359.115144,,
,71.1,11.6618,10.7337,3953.598166,,
,72.98,12.7042,6.287719287,7019.168144,,
,74.3,10.75268,6.62261,8494.085111,,
,74.49,12.31796,6.912,5283.658869,,
,71.78,12.982658,4.0738,10745.84396,,
,63.71,12.63338796,6.99,9356.673607,,
,69.66,12.16229,6.5,6681.346904,,
,75.27,10.06014,6.573452,5308.452598,,
,72.59,11.59809,6.219339024,4976.209148,,
,68.37,11.801993,7.984461822,4259.732067,,
,70.39,12.68717,6.436763183,3952.072482,,
,67.88,11.54947988,7.804956,3982.736516,,
,67.92,10.98724,5.288,7413.33163,,
,60.19,11.8430625,6.855161078,7919.058294,,
,64.07,11.48333,7.306,5268.919684,,
,70.47,11.73391,7.064846,3104.799016,,
,69.5,12.616098,4.794383,4440.457586,,
,70.78,12.75613,5.014,3456.706213,,
,66.7,11.33941359,6.564,4243.62556,,
,69.82,11.46772,4.966,4246.178107,,
,58.74,9.73494,5.910863,13944.13223,,
,63.89,11.478083,7.152016,3325.518591,,
,67.13,10.67024,5.034490583,4960.528169,,
,61.15,11.777202,5.173993233,6104.05464,,
,64.57,11.72662,6.517170529,2879.190985,,
,61.49,10.968732,8.4668,2665.612042,,
,73,10.22041433,5.711848,2253.346153,,
,72.7,8.8501,5.1,3613.05256,,
,59.29,12.10426,6.310862,3580.902737,,
,67.27,8.27594,5.158944258,5005.034893,,
,64.5,10.199261,4.66,4301.098542,,
,64.32,11.2447,5.078649,3099.445776,,
,,,,,,
,64.93,8.58834,4.726,5134.570124,,
,61.77,12.61455,3.826328,3254.245627,,
,63.37,11.412656,6.171951533,2123.26935,,
,69.02,11.18666,4.417150539,2155.334054,,
,54.69,9.975095,6.65519163,4910.208257,,
,57.78,9.95474,5.288,5068.606313,,
,65.46,8.0976,6.122,2599.847211,,
,67.04,10.17392,6.1,1596.28108,,
,54.33,11.31561,6.53928325,3150.620131,,
,67.11,6.791215,4.1,5689.348966,,
,61.04,12.66498,4.949925584,1602.34934,,
,67.94,8.58486,3.183085,3309.385734,,
,64.83,10.17643,3.93,2229.362021,,
,64,9.7,5.592369636,1708.809043,,
,65.31,7.884416,3.77,3828.660219,,
,62.05,9.911519,3.922,2167.883472,,
,66.6,8.813018308,2.883189,2206.534378,,
,64.26,11.24191,4.73,1034.677638,,
,60.68,9.729686667,6.76008,1062.543004,,
,58.32,10.62385,3.5626,1996.042927,,
,64.1,9.57967,4.806,1258.410853,,
,61.6,9.408505,2.774225,2405.181497,,
,66.13,8.76899,3.2,1593.704031,,
,66.32,5.0052837,3.9,2793.482718,,
,60.85,9.97402,3.540898438,1250.405688,,
,61.58,9.27373,1.644298557,2132.95557,,
,54.7,10.17593,3.7,1667.844447,,
,59.31,7.46103,2.352954412,2268.77278,,
,61.58,11.06933,3.287982742,753.9087475,,
,57.85,5.296258,4.8,2003.318894,,
,54.24,7.34935,2.52368,1555.373575,,
