RANK,COUNTRY/ECONOMY,VALUE,SCORE,Year
1,Finland,95.64,100,2018
2,Denmark,93.92,98.01,2018
3,Japan,92.4,96.24,2018
4,Netherlands,91.89,95.65,2018
5,Switzerland,91.74,95.48,2018
6,Sweden,89.65,93.05,2018
7,Austria,89.45,92.82,2018
8,Germany,88.21,91.38,2018
9,Belgium,86.72,89.65,2018
10,United Kingdom,83.88,86.35,2018
11,Luxembourg,83.67,86.11,2018
12,Czech Republic,83.31,85.69,2018
13,Malta,83.3,85.68,2018
14,Slovenia,82.76,85.05,2018
15,Iceland,82.57,84.83,2018
16,Estonia,81.18,83.22,2018
17,New Zealand,81.05,83.07,2018
18,Lithuania,79.96,81.8,2018
19,Serbia,79.1,80.8,2018
20,Chile,78.7,80.34,2018
21,Ireland,78.68,80.32,2018
22,Canada,78.5,80.11,2018
23,Ecuador,78.3,79.87,2018
24,Norway,78.22,79.79,2018
25,Australia,77.37,78.79,2018
26,Jordan,77.1,78.48,2018
27,Spain,75.87,77.05,2018
28,Armenia,75.6,76.74,2018
29,Croatia,74.9,75.93,2018
30,Belarus,73.5,74.3,2018
31,Slovakia,73.18,73.94,2018
32,United States,72.85,73.55,2018
33,Italy,72.08,72.66,2018
34,Paraguay,71.6,72.1,2018
35,France,71.54,72.02,2018
36,Cyprus,71.5,71.98,2018
37,Poland,70.22,70.49,2018
38,Argentina,69.3,69.43,2018
39,Peru,69.2,69.31,2018
40,Uruguay,69.1,69.19,2018
41,Bosnia and Herzegovina,68.1,68.03,2018
42,Colombia,67.81,67.7,2018
43,Romania,67.8,67.68,2018
44,Israel,67.2,66.99,2018
45,Tunisia,66.3,65.94,2018
46,China,66.1,65.71,2018
47,"Korea, Rep.",65.44,64.94,2018
48,Latvia,64.15,63.45,2018
49,Ukraine,63.9,63.16,2018
50,Lebanon,63.5,62.69,2018
50,North Macedonia,63.5,62.69,2018
52,Eswatini,62.5,61.53,2018
53,Hungary,62.47,61.49,2018
54,Albania,59.8,58.4,2018
55,Greece,59.3,57.81,2018
56,Zambia,59,57.47,2018
57,Portugal,58.61,57.01,2018
58,Russian Federation,58.5,56.89,2018
59,Guatemala,58,56.31,2018
60,Kyrgyzstan,57.2,55.38,2018
61,Morocco,55.4,53.29,2018
62,Costa Rica,54,51.66,2018
63,Brazil,52.9,50.38,2018
64,Philippines,52.4,49.81,2018
65,Egypt,51.7,48.99,2018
66,Turkey,51.51,48.78,2018
67,Venezuela,51.5,48.76,2018
68,Georgia,51.2,48.41,2018
69,Kazakhstan,50.4,47.48,2018
70,Bolivia,49.4,46.32,2018
71,India,48.9,45.74,2018
72,Viet Nam,48.6,45.39,2018
73,Moldova,48.1,44.81,2018
74,Kenya,47.3,43.88,2018
75,Pakistan,46.9,43.42,2018
76,Bulgaria,45.7,42.03,2018
77,Thailand,45.5,41.79,2018
78,Malawi,44.9,41.1,2018
79,Honduras,43.5,39.47,2018
80,Rwanda,42.6,38.43,2018
81,El Salvador,42.5,38.31,2018
82,Mali,42.2,37.96,2018
83,Dominican Republic,42,37.73,2018
84,Mexico,41.45,37.09,2018
85,Montenegro,41,36.57,2018
86,Panama,40.5,35.99,2018
87,Mozambique,40.3,35.76,2018
88,Namibia,39.4,34.71,2018
89,Zimbabwe,38.7,33.9,2018
90,Benin,38.3,33.44,2018
91,Mongolia,37.5,32.51,2018
92,Botswana,36.6,31.46,2018
93,Jamaica,36.4,31.23,2018
94,South Africa,36,30.77,2018
95,Mauritius,35.9,30.65,2018
96,Ethiopia,34.8,29.37,2018
97,Senegal,34.6,29.14,2018
98,Ghana,33.2,27.51,2018
99,Azerbaijan,33,27.28,2018
100,Malaysia,31.5,25.54,2018
101,Lao PDR,30.9,24.84,2018
102,Trinidad and Tobago,30.8,24.73,2018
103,Madagascar,29.5,23.22,2018
104,Angola,28.9,22.52,2018
105,Tajikistan,28.2,21.71,2018
106,Bangladesh,26.3,19.5,2018
107,Nepal,26.1,19.27,2018
108,Burundi,25.6,18.69,2018
109,Cambodia,24.2,17.07,2018
110,Cameroon,22.6,15.21,2018
110,Tanzania,22.6,15.21,2018
112,Gambia,22.4,14.98,2018
113,Nigeria,22.3,14.86,2018
114,Yemen,21,13.35,2018
115,Indonesia,20.5,12.77,2018
116,Cabo Verde,19.2,11.26,2018
116,Uganda,19.2,11.26,2018
118,Guinea,19,11.03,2018
119,Sri Lanka,18.6,10.56,2018
120,Côte d'Ivoire,18.1,9.98,2018
121,Burkina Faso,17.2,8.94,2018
122,"Congo, Dem. Rep.",17,8.71,2018
123,Lesotho,14.9,6.27,2018
124,Chad,9.5,0,2018
,Algeria,n/a,n/a,2018
,Bahrain,n/a,n/a,2018
,Hong Kong (China),n/a,n/a,2018
,"Iran, Islamic Rep.",n/a,n/a,2018
,Kuwait,n/a,n/a,2018
,Oman,n/a,n/a,2018
,Qatar,n/a,n/a,2018
,Saudi Arabia,n/a,n/a,2018
,Singapore,n/a,n/a,2018
,United Arab Emirates,n/a,n/a,2018
