Global Rank,Region,Country and Region,Year,Technology,Data Science
1,Europe,Switzerland,2020,0.84,0.96
2,Europe,Luxembourg,2020,0.62,0.85
3,Europe,Austria,2020,0.88,0.95
4,Asia Pacific,Japan,2020,1.00,0.88
5,Europe,Germany,2020,0.89,0.94
6,Europe,Belgium,2020,0.86,0.98
7,Europe,Sweden,2020,0.82,0.96
8,Europe,Denmark,2020,0.87,0.99
9,Europe,Russian Federation,2020,0.92,0.97
10,Asia Pacific,Singapore,2020,0.96,0.86
11,Europe,Norway,2020,0.63,0.88
12,Europe,Belarus,2020,0.99,0.91
13,Europe,Czech Republic,2020,0.97,0.90
14,Europe,Finland,2020,0.90,1.00
15,Europe,Bulgaria,2020,0.95,0.75
16,Europe,Italy,2020,0.91,0.72
17,Europe,Netherlands,2020,0.79,0.93
18,Europe,Hungary,2020,0.96,0.84
19,Sub-Saharan Africa,Cameroon,2020,0.75,0.64
20,Asia Pacific,Vietnam,2020,0.88,0.61
21,Europe,Croatia,2020,0.83,0.78
22,Europe,Greece,2020,0.73,0.71
23,Asia Pacific,Hong Kong,2020,0.51,0.92
24,Europe,Latvia,2020,0.72,0.77
25,Asia Pacific,Taiwan,2020,0.71,0.83
26,Latin America and the Caribbean,Barbados,2020,0.94,0.29
27,Europe,Ukraine,2020,0.93,0.82
28,Europe,France,2020,0.70,0.79
29,North America,United States,2020,0.69,0.73
30,Europe,Poland,2020,0.64,0.76
31,Europe,Portugal,2020,0.80,0.55
32,Europe,Spain,2020,0.59,0.87
33,Europe,Serbia,2020,0.76,0.68
34,Europe,Ireland,2020,0.79,0.65
35,MENA,United Arab Emirates,2020,0.33,0.34
36,Europe,Estonia,2020,0.63,0.59
37,Sub-Saharan Africa,Uganda,2020,0.55,0.31
38,MENA,Israel,2020,0.74,0.80
39,Asia Pacific,China,2020,0.21,0.81
40,Asia Pacific,Sri Lanka,2020,0.85,0.49
41,Asia Pacific,New Zealand,2020,0.68,0.79
42,Sub-Saharan Africa,South Africa,2020,0.58,0.51
43,MENA,Tunisia,2020,0.77,0.48
44,Asia Pacific,Australia,2020,0.61,0.74
45,Asia Pacific,Indonesia,2020,0.78,0.46
46,Asia Pacific,Malaysia,2020,0.56,0.52
47,Europe,Slovakia,2020,0.54,0.66
48,Europe,Lithuania,2020,0.52,0.63
49,Europe,Romania,2020,0.65,0.62
50,Latin America and the Caribbean,Trinidad and Tobago,2020,0.71,0.41
51,Europe,United Kingdom,2020,0.57,0.69
52,MENA,Saudi Arabia,2020,0.54,0.18
53,MENA,Egypt,2020,0.44,0.54
54,MENA,Kuwait,2020,0.43,0.32
55,North America,Canada,2020,0.67,0.70
56,MENA,Qatar,2020,0.45,0.27
57,Europe,Armenia,2020,0.23,0.60
58,Sub-Saharan Africa,Ethiopia,2020,0.81,0.35
59,MENA,Lebanon,2020,0.32,0.33
60,Europe,Turkey,2020,0.47,0.37
61,Latin America and the Caribbean,Venezuela,2020,0.40,0.63
62,Asia Pacific,Nepal,2020,0.53,0.50
63,Asia Pacific,Republic of Korea,2020,0.37,0.58
64,Asia Pacific,Bangladesh,2020,0.38,0.38
65,Asia Pacific,Pakistan,2020,0.50,0.29
66,Sub-Saharan Africa,Rwanda,2020,0.20,0.40
67,Asia Pacific,India,2020,0.38,0.38
68,Latin America and the Caribbean,Costa Rica,2020,0.49,0.53
69,Asia Pacific,Philippines,2020,0.29,0.44
70,Europe,Georgia,2020,0.21,0.39
71,MENA,Jordan,2020,0.28,0.25
72,Europe,Azerbaijan,2020,0.13,0.24
73,Sub-Saharan Africa,Ghana,2020,0.29,0.13
74,Latin America and the Caribbean,Peru,2020,0.46,0.47
