Country,Title of Legislation/Draft Legislation,Links to laws,data_country,data_year
Albania,"Law No. 9887 on the Protection of Personal Data, 2008 (in English)",https://www.idp.al/wp-content/uploads/2019/10/LDP_english_version_amended_2014.pdf,,
Algeria,Loi n° 18-07 du 10 juin 2018 relative à la protection des personnes physiques dans le traitement des données à caractère personnel (in French),https://www.joradp.dz/Jo2000/2018/034/FP10.pdf,,
Andorra,Qualified law 15/2003 on personal data protection  (in Catalan),https://www.afapdp.org/wp-content/uploads/2018/05/Andorre-Loi-n%C2%B015-2003-relative-a-la-protection-des-donnees-personnelles-2003.pdf,,
Angola,Lei No. 22/11 da Protecção de Dados Pessoais de 17 de Junho (in Portuguese),https://media2.mofo.com/documents/Law_22_11_Data_Privacy_Law.pdf,,
Angola,"Regulamento das Tecnologias e dos Serviços da Sociedade da Informação, Decreto Presidencial n.º202/11 (in Portuguese) ",https://www.inacom.gov.ao/fotos/frontend_6/editor2/1_lei_202_de_2011-22_de_julho_de_2011.pdf,,
Antigua and Barbuda,Data Protection Act 2013 (in English),http://laws.gov.ag/wp-content/uploads/2019/02/a2013-10.pdf,,
Argentina,"Constitución de la Nación Argentina, Ley Nº 24.430, Sancionada el 15 de Diciembre de 1994 (in Spanish)",http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/804/norma.htm,,
Argentina,Ley 25.326 de Protección de los Datos Personales (in Spanish),http://servicios.infoleg.gob.ar/infolegInternet/anexos/60000-64999/64790/norma.htm,,
Argentina,"Resolución 4/2019, RESOL-2019-4-APN-AAIP",http://servicios.infoleg.gob.ar/infolegInternet/anexos/315000-319999/318874/norma.htm,,
Argentina,Decreto 1558/2001 (in Spanish),http://servicios.infoleg.gob.ar/infolegInternet/anexos/70000-74999/70368/norma.htm,,
Argentina,Disposición 60 - E/2016 (in Spanish),InfoLEG - Ministerio de Justicia y Derechos Humanos - Argentina,,
Argentina,Resolución 159/2018 - RESOL-2018-159-APN-AAIP (in Spanish),InfoLEG - Ministerio de Justicia y Derechos Humanos - Argentina,,
Argentina,Convenio 108 aprobado por Ley Nº 27.483 (in Spanish),http://servicios.infoleg.gob.ar/infolegInternet/anexos/315000-319999/318245/norma.htm,,
Armenia,Law of the Republic of Armenia on the Protection of Personal Data (in English),http://www.foi.am/u_files/file/Personaldataprotectionlaw_ENG.pdf,,
Australia,Privacy Act 1988 (in English),http://www.comlaw.gov.au/Details/C2015C00089,,
Austria,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Austria,Federal Act concerning the Protection of Personal Data (DSG) (in German),https://www.ris.bka.gv.at/Dokumente/Erv/ERV_1999_1_165/ERV_1999_1_165.html,,
Austria,Datenschutzgesetz 2000 (in German),https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=bundesnormen&Gesetzesnummer=10001597,,
Azerbaijan,Law on Personal Data 2010 (in Azerbaijani),http://www.e-qanun.az/framework/19675,,
Bahamas,Data Protection (Privacy of Personal Information) Act 2003 (in English),http://laws.bahamas.gov.bs/cms/images/LEGISLATION/PRINCIPAL/2003/2003-0003/DataProtectionPrivacyofPersonalInformationAct_1.pdf,,
Bahrain,Law on the Protection of Personal Data (in Arabic),http://www.legalaffairs.gov.bh/AdvancedSearchDetails.aspx?id=146182#.XkE3L2hKjDc,,
Barbados,"Bill - Data Protection passed in Senate and House of Assembly, 2019 (in English)",https://www.barbadosparliament.com/uploads/bill_resolution/7b81b59260896178b5aa976fdb87bfee.pdf,,
Belarus,"Law Of The Republic Of Belarus On Information, Informatization and Protection of information No. 455-Z/2008 (In Russian)",http://pravo.by/document/?guid=3871&p0=h10800455,,
Belarus,"Law Of The Republic Of Belarus On Information, Informatization and Protection of information No. 455-Z/2008 (in English, unofficial translation)",http://www.e-belarus.org/docs/informationlawdraft.html,,
Belgium,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Belgium,Law on electronic communication (amended in 2014) (in English),https://www.legislationline.org/download/id/5514/file/Belgium_Privacy_Act_1992_as_of_2014_en.pdf,,
Benin,Loi n° 2017-20 portant code du numérique en République du Bénin (in French),https://www.afapdp.org/wp-content/uploads/2018/06/Benin-Loi-2017-20-Portant-code-du-numerique-en-Republique-du-Benin.pdf,,
