Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Pillar,Sub-Pillar,UN Member States
Germany,2018,"Cloud Services (Spend, IT Forecast Data)",18.2,1.90818,True,Business,Technology Adoption,x
Japan,2018,"Cloud Services (Spend, IT Forecast Data)",20.3,2.01297,True,Business,Technology Adoption,x
United States of America (the),2018,"Cloud Services (Spend, IT Forecast Data)",18.0,1.8982,True,Business,Technology Adoption,x
United Kingdom of Great Britain and Northern Ireland (the),2018,"Cloud Services (Spend, IT Forecast Data)",19.8,1.98802,True,Business,Technology Adoption,x
Australia,2018,"Cloud Services (Spend, IT Forecast Data)",16.1,1.8033900000000005,True,Business,Technology Adoption,x
Singapore,2018,"Cloud Services (Spend, IT Forecast Data)",20.7,2.0329300000000003,True,Business,Technology Adoption,x
Canada,2018,"Cloud Services (Spend, IT Forecast Data)",17.0,1.8483,True,Business,Technology Adoption,x
France,2018,"Cloud Services (Spend, IT Forecast Data)",17.3,1.86327,True,Business,Technology Adoption,x
Italy,2018,"Cloud Services (Spend, IT Forecast Data)",15.0,1.7485,True,Business,Technology Adoption,x
Spain,2018,"Cloud Services (Spend, IT Forecast Data)",16.6,1.8283400000000003,True,Business,Technology Adoption,x
Poland,2018,"Cloud Services (Spend, IT Forecast Data)",14.7,1.73353,True,Business,Technology Adoption,x
Republic of Korea (the),2018,"Cloud Services (Spend, IT Forecast Data)",19.9,1.99301,True,Business,Technology Adoption,x
Mexico,2018,"Cloud Services (Spend, IT Forecast Data)",9.1,1.45409,True,Business,Technology Adoption,x
Malaysia,2018,"Cloud Services (Spend, IT Forecast Data)",13.5,1.67365,True,Business,Technology Adoption,x
South Africa,2018,"Cloud Services (Spend, IT Forecast Data)",10.3,1.51397,True,Business,Technology Adoption,x
Turkey,2018,"Cloud Services (Spend, IT Forecast Data)",11.1,1.55389,True,Business,Technology Adoption,x
Argentina,2018,"Cloud Services (Spend, IT Forecast Data)",10.8,1.53892,True,Business,Technology Adoption,x
Brazil,2018,"Cloud Services (Spend, IT Forecast Data)",11.5,1.5738500000000002,True,Business,Technology Adoption,x
Thailand,2018,"Cloud Services (Spend, IT Forecast Data)",11.1,1.55389,True,Business,Technology Adoption,x
India,2018,"Cloud Services (Spend, IT Forecast Data)",6.9,1.34431,True,Business,Technology Adoption,x
Russian Federation (the),2018,"Cloud Services (Spend, IT Forecast Data)",15.7,1.78343,True,Business,Technology Adoption,x
China,2018,"Cloud Services (Spend, IT Forecast Data)",12.7,1.63373,True,Business,Technology Adoption,x
Indonesia,2018,"Cloud Services (Spend, IT Forecast Data)",8.2,1.40918,True,Business,Technology Adoption,x
Viet Nam,2018,"Cloud Services (Spend, IT Forecast Data)",8.6,1.42914,True,Business,Technology Adoption,x
Albania,2019,Ease of finding skilled employees,3.89,3.89,True,Business,Startup Environment,x
Algeria,2019,Ease of finding skilled employees,4.12,4.12,True,Business,Startup Environment,x
Angola,2019,Ease of finding skilled employees,2.76,2.76,True,Business,Startup Environment,x
Argentina,2019,Ease of finding skilled employees,4.19,4.19,True,Business,Startup Environment,x
Armenia,2019,Ease of finding skilled employees,4.03,4.03,True,Business,Startup Environment,x
Australia,2019,Ease of finding skilled employees,4.57,4.57,True,Business,Startup Environment,x
Austria,2019,Ease of finding skilled employees,4.45,4.45,True,Business,Startup Environment,x
Azerbaijan,2019,Ease of finding skilled employees,4.79,4.79,True,Business,Startup Environment,x
Bahrain,2019,Ease of finding skilled employees,4.91,4.91,True,Business,Startup Environment,x
Bangladesh,2019,Ease of finding skilled employees,3.67,3.67,True,Business,Startup Environment,x
Barbados,2019,Ease of finding skilled employees,4.61,4.61,True,Business,Startup Environment,x
Belgium,2019,Ease of finding skilled employees,4.73,4.73,True,Business,Startup Environment,x
Benin,2019,Ease of finding skilled employees,4.65,4.65,True,Business,Startup Environment,x
Bolivia (Plurinational State of),2019,Ease of finding skilled employees,3.68,3.68,True,Business,Startup Environment,x
Bosnia and Herzegovina,2019,Ease of finding skilled employees,3.29,3.29,True,Business,Startup Environment,x
Botswana,2019,Ease of finding skilled employees,3.98,3.98,True,Business,Startup Environment,x
Brazil,2019,Ease of finding skilled employees,3.38,3.38,True,Business,Startup Environment,x
Brunei Darussalam,2019,Ease of finding skilled employees,3.99,3.99,True,Business,Startup Environment,x
Bulgaria,2019,Ease of finding skilled employees,3.62,3.62,True,Business,Startup Environment,x
Burkina Faso,2019,Ease of finding skilled employees,3.86,3.86,True,Business,Startup Environment,x
Burundi,2019,Ease of finding skilled employees,4.63,4.63,True,Business,Startup Environment,x
