Pillar,Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Infrastructure,Germany,2019.0,International industrial designs by origin (Hague System),5.399975993153307e-05,6.0,True,Innovation Ecosystem
Infrastructure,Republic of Korea (the),2019.0,International industrial designs by origin (Hague System),5.291138514928263e-05,6.0,True,Innovation Ecosystem
Infrastructure,Switzerland,2019.0,International industrial designs by origin (Hague System),0.00025398587567986117,6.0,True,Innovation Ecosystem
Infrastructure,Italy,2019.0,International industrial designs by origin (Hague System),3.3384072994526735e-05,6.0,True,Innovation Ecosystem
Infrastructure,Netherlands (the),2019.0,International industrial designs by origin (Hague System),7.933179566481717e-05,6.0,True,Innovation Ecosystem
Infrastructure,United States of America (the),2019.0,International industrial designs by origin (Hague System),4.114763175445038e-06,3.5,True,Innovation Ecosystem
Infrastructure,France,2019.0,International industrial designs by origin (Hague System),1.9301423490391504e-05,6.0,True,Innovation Ecosystem
Infrastructure,Japan,2019.0,International industrial designs by origin (Hague System),9.12367346084401e-06,4.75,True,Innovation Ecosystem
Infrastructure,China,2019.0,International industrial designs by origin (Hague System),4.7434562840063963e-07,2.25,True,Innovation Ecosystem
Infrastructure,United Kingdom of Great Britain and Northern Ireland (the),2019.0,International industrial designs by origin (Hague System),8.199133982931169e-06,4.75,True,Innovation Ecosystem
Infrastructure,Sweden,2019.0,International industrial designs by origin (Hague System),4.2222470195459875e-05,6.0,True,Innovation Ecosystem
Infrastructure,Denmark,2019.0,International industrial designs by origin (Hague System),7.446999890960787e-05,6.0,True,Innovation Ecosystem
Infrastructure,Cyprus,2019.0,International industrial designs by origin (Hague System),0.00034040451403083996,6.0,True,Innovation Ecosystem
Infrastructure,Turkey,2019.0,International industrial designs by origin (Hague System),4.818433341056012e-06,3.5,True,Innovation Ecosystem
Infrastructure,Spain,2019.0,International industrial designs by origin (Hague System),5.261648074201798e-06,3.5,True,Innovation Ecosystem
Infrastructure,Luxembourg,2019.0,International industrial designs by origin (Hague System),0.0002741931061401514,6.0,True,Innovation Ecosystem
Infrastructure,Austria,2019.0,International industrial designs by origin (Hague System),1.8581248479716034e-05,6.0,True,Innovation Ecosystem
Infrastructure,Czechia,2019.0,International industrial designs by origin (Hague System),1.2275261973768422e-05,4.75,True,Innovation Ecosystem
Infrastructure,Ukraine,2019.0,International industrial designs by origin (Hague System),2.8837789977214317e-06,3.5,True,Innovation Ecosystem
Infrastructure,Norway,2019.0,International industrial designs by origin (Hague System),2.2251741619507932e-05,6.0,True,Innovation Ecosystem
Infrastructure,Russian Federation (the),2019.0,International industrial designs by origin (Hague System),7.548149176163491e-07,2.25,True,Innovation Ecosystem
Infrastructure,Belgium,2019.0,International industrial designs by origin (Hague System),9.313272370567275e-06,4.75,True,Innovation Ecosystem
Infrastructure,Poland,2019.0,International industrial designs by origin (Hague System),2.792010372581931e-06,3.5,True,Innovation Ecosystem
Infrastructure,Tunisia,2019.0,International industrial designs by origin (Hague System),7.524762668557891e-06,4.75,True,Innovation Ecosystem
Infrastructure,Canada,2019.0,International industrial designs by origin (Hague System),2.314236994466899e-06,3.5,True,Innovation Ecosystem
Infrastructure,Bosnia and Herzegovina,2019.0,International industrial designs by origin (Hague System),2.332627890110809e-05,6.0,True,Innovation Ecosystem
Infrastructure,Hungary,2019.0,International industrial designs by origin (Hague System),7.266295717153197e-06,4.75,True,Innovation Ecosystem
Infrastructure,Portugal,2019.0,International industrial designs by origin (Hague System),5.346936977987049e-06,3.5,True,Innovation Ecosystem
Infrastructure,Morocco,2019.0,International industrial designs by origin (Hague System),1.4531788781491963e-06,2.25,True,Innovation Ecosystem
Infrastructure,Croatia,2019.0,International industrial designs by origin (Hague System),1.2545344656285844e-05,4.75,True,Innovation Ecosystem
Infrastructure,Slovenia,2019.0,International industrial designs by origin (Hague System),2.442078448178856e-05,6.0,True,Innovation Ecosystem
Infrastructure,Finland,2019.0,International industrial designs by origin (Hague System),8.33090952161382e-06,4.75,True,Innovation Ecosystem
Infrastructure,Bulgaria,2019.0,International industrial designs by origin (Hague System),6.450909083611093e-06,4.75,True,Innovation Ecosystem
Infrastructure,Slovakia,2019.0,International industrial designs by origin (Hague System),7.883909252904259e-06,4.75,True,Innovation Ecosystem
Infrastructure,Serbia,2019.0,International industrial designs by origin (Hague System),5.615360747332524e-06,3.5,True,Innovation Ecosystem
Infrastructure,Singapore,2019.0,International industrial designs by origin (Hague System),5.785850929479419e-06,4.75,True,Innovation Ecosystem
Infrastructure,Ireland,2019.0,International industrial designs by origin (Hague System),4.255888325490339e-06,3.5,True,Innovation Ecosystem
Infrastructure,Republic of Moldova (the),2019.0,International industrial designs by origin (Hague System),6.758656994778187e-06,4.75,True,Innovation Ecosystem
Infrastructure,Lithuania,2019.0,International industrial designs by origin (Hague System),5.726276127476928e-06,4.75,True,Innovation Ecosystem
Infrastructure,United Arab Emirates (the),2019.0,International industrial designs by origin (Hague System),1.535229526025518e-06,2.25,True,Innovation Ecosystem
Infrastructure,South Africa,2019.0,International industrial designs by origin (Hague System),2.2200110532642642e-07,2.25,True,Innovation Ecosystem
Infrastructure,Viet Nam,2019.0,International industrial designs by origin (Hague System),1.0366764947745078e-07,2.25,True,Innovation Ecosystem
Infrastructure,Greece,2019.0,International industrial designs by origin (Hague System),8.39428360478892e-07,2.25,True,Innovation Ecosystem
Infrastructure,Monaco,2019.0,International industrial designs by origin (Hague System),0.00020530192213924603,6.0,True,Innovation Ecosystem
Infrastructure,Romania,2019.0,International industrial designs by origin (Hague System),4.1297467308924877e-07,2.25,True,Innovation Ecosystem
Infrastructure,Armenia,2019.0,International industrial designs by origin (Hague System),2.3666814527907906e-06,3.5,True,Innovation Ecosystem
Infrastructure,North Macedonia,2019.0,International industrial designs by origin (Hague System),3.359798949630854e-06,3.5,True,Innovation Ecosystem
Infrastructure,Australia,2019.0,International industrial designs by origin (Hague System),2.365394747916925e-07,2.25,True,Innovation Ecosystem
Infrastructure,Estonia,2019.0,International industrial designs by origin (Hague System),4.521824586366096e-06,3.5,True,Innovation Ecosystem
Infrastructure,Iceland,2019.0,International industrial designs by origin (Hague System),1.1093761700451794e-05,4.75,True,Innovation Ecosystem
Infrastructure,Israel,2019.0,International industrial designs by origin (Hague System),4.417936823503424e-07,2.25,True,Innovation Ecosystem
Infrastructure,India,2019.0,International industrial designs by origin (Hague System),2.195521821073291e-09,1.0,True,Innovation Ecosystem
Infrastructure,Latvia,2019.0,International industrial designs by origin (Hague System),1.5675438990668933e-06,3.5,True,Innovation Ecosystem
