Country Name,Business,Foundations,Government,Infrastructure,People,Regulation,Strategy,Ambition,Capabilities,Connectivity Technology,Culture,Cybersecurity,Data Exchange,Data standards and protection,Digital Legal Identity,Digital Literacy Skills,Digital Payments,Digital Public Services,Digital Wellbeing,Ethical Standards,Financing Incentives,Funding and procurement,Innovation Ecosystem,Leadership and coordination,Startup Environment,Technology Adoption,Usage and ownership
Afghanistan,11.11,92.31,0.0,44.68,40.0,20.0,100.0,100.0,0.0,75.0,40.0,0.0,100.0,0.0,100.0,16.67,87.5,0.0,25.0,100.0,0.0,0.0,0.0,0.0,12.5,11.11,56.25
Albania,55.56,92.31,0.0,68.09,62.86,20.0,100.0,100.0,0.0,85.71,40.0,0.0,100.0,0.0,100.0,66.67,87.5,0.0,37.5,100.0,100.0,0.0,42.11,0.0,50.0,55.56,81.25
Algeria,55.56,84.62,0.0,59.57,45.71,20.0,100.0,100.0,0.0,78.57,40.0,0.0,0.0,0.0,100.0,16.67,87.5,0.0,37.5,100.0,100.0,0.0,31.58,0.0,50.0,55.56,62.5
American Samoa,0.0,0.0,0.0,4.26,2.86,0.0,0.0,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25
Andorra,0.0,30.77,0.0,23.4,20.0,0.0,100.0,100.0,0.0,35.71,20.0,0.0,0.0,0.0,100.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,25.0
Angola,55.56,30.77,0.0,55.32,37.14,40.0,100.0,100.0,0.0,78.57,40.0,100.0,0.0,0.0,100.0,16.67,0.0,0.0,25.0,100.0,100.0,0.0,21.05,0.0,50.0,55.56,50.0
Anguilla,0.0,0.0,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25
Antarctica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,5.56,38.46,0.0,29.79,22.86,20.0,100.0,100.0,0.0,46.43,20.0,0.0,100.0,0.0,100.0,33.33,0.0,0.0,12.5,100.0,0.0,0.0,5.26,0.0,12.5,0.0,25.0
Argentina,61.11,92.31,0.0,68.09,71.43,40.0,100.0,100.0,0.0,85.71,60.0,100.0,100.0,0.0,100.0,50.0,87.5,0.0,75.0,100.0,100.0,0.0,42.11,0.0,50.0,66.67,81.25
Armenia,55.56,84.62,0.0,68.09,60.0,20.0,100.0,100.0,0.0,85.71,40.0,100.0,0.0,0.0,100.0,66.67,87.5,0.0,37.5,0.0,100.0,0.0,42.11,0.0,50.0,55.56,75.0
Aruba,0.0,0.0,0.0,4.26,2.86,0.0,0.0,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25
Australia,72.22,100.0,0.0,70.21,62.86,40.0,100.0,100.0,0.0,78.57,60.0,100.0,100.0,0.0,100.0,33.33,100.0,0.0,75.0,100.0,100.0,0.0,57.89,0.0,62.5,77.78,68.75
Austria,77.78,92.31,0.0,72.34,85.71,20.0,100.0,100.0,0.0,85.71,80.0,0.0,100.0,0.0,100.0,83.33,87.5,0.0,87.5,100.0,100.0,0.0,52.63,0.0,62.5,88.89,87.5
Azerbaijan,55.56,84.62,0.0,61.7,60.0,20.0,100.0,100.0,0.0,82.14,40.0,100.0,0.0,0.0,100.0,66.67,87.5,0.0,37.5,0.0,100.0,0.0,31.58,0.0,50.0,55.56,75.0
Bahamas,0.0,7.69,0.0,34.04,28.57,0.0,0.0,0.0,0.0,57.14,40.0,0.0,0.0,0.0,25.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.75
Bahrain,55.56,84.62,0.0,61.7,65.71,20.0,100.0,100.0,0.0,82.14,40.0,100.0,0.0,0.0,100.0,66.67,87.5,0.0,50.0,0.0,100.0,0.0,31.58,0.0,50.0,55.56,81.25
Bangladesh,55.56,92.31,0.0,59.57,51.43,40.0,100.0,100.0,0.0,71.43,60.0,100.0,100.0,0.0,100.0,16.67,87.5,0.0,37.5,100.0,100.0,0.0,42.11,0.0,50.0,55.56,68.75
Barbados,16.67,38.46,0.0,53.19,40.0,20.0,100.0,100.0,0.0,82.14,40.0,0.0,100.0,0.0,100.0,33.33,0.0,0.0,25.0,100.0,100.0,0.0,10.53,0.0,25.0,0.0,50.0
