Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011]
Afghanistan,AFG,Access to a mobile phone (% age 15+),gwp1_n,..,..,60.01194,..,..,..,..,..,..
Afghanistan,AFG,Access to a mobile phone (% age 60+),gwp1_n_7,..,..,43.61889,..,..,..,..,..,..
Afghanistan,AFG,Access to a mobile phone (% ages 15-34),gwp1_n_5,..,..,64.77529,..,..,..,..,..,..
Afghanistan,AFG,Access to a mobile phone (% ages 35-59),gwp1_n_6,..,..,53.19794,..,..,..,..,..,..
Afghanistan,AFG,"Access to a mobile phone, female (% age 15+)",gwp1_n_1,..,..,43.17101,..,..,..,..,..,..
Afghanistan,AFG,"Access to a mobile phone, income, poorest 40% (% age 15+)",gwp1_n_3,..,..,53.89608,..,..,..,..,..,..
Afghanistan,AFG,"Access to a mobile phone, income, richest 60% (% age 15+)",gwp1_n_4,..,..,64.08231,..,..,..,..,..,..
Afghanistan,AFG,"Access to a mobile phone, male (% age 15+)",gwp1_n_2,..,..,76.65805,..,..,..,..,..,..
Afghanistan,AFG,Access to internet (% age 15+),gwp2_n,..,..,14.80909,..,..,..,..,..,..
Afghanistan,AFG,Access to internet (% age 60+),gwp2_n_7,..,..,7.31644,..,..,..,..,..,..
Afghanistan,AFG,Access to internet (% ages 15-34),gwp2_n_5,..,..,18.33455,..,..,..,..,..,..
Afghanistan,AFG,Access to internet (% ages 35-59),gwp2_n_6,..,..,9.081439,..,..,..,..,..,..
Afghanistan,AFG,"Access to internet, female (% age 15+)",gwp2_n_1,..,..,4.882765,..,..,..,..,..,..
Afghanistan,AFG,"Access to internet, income, poorest 40% (% age 15+)",gwp2_n_3,..,..,9.009466,..,..,..,..,..,..
Afghanistan,AFG,"Access to internet, income, richest 60% (% age 15+)",gwp2_n_4,..,..,18.66901,..,..,..,..,..,..
Afghanistan,AFG,"Access to internet, male (% age 15+)",gwp2_n_2,..,..,24.6206,..,..,..,..,..,..
Afghanistan,AFG,Account (% age 15+),account_t_d,..,..,14.89331,..,..,9.961001,..,..,9.005012
Afghanistan,AFG,Account (% age 60+),account_t_d_7,..,..,13.65325,..,..,11.32334,..,..,4.355237
Afghanistan,AFG,Account (% ages 15-34),account_t_d_5,..,..,14.44361,..,..,10.12256,..,..,8.3662
Afghanistan,AFG,Account (% ages 35-59),account_t_d_6,..,..,15.94783,..,..,9.31678,..,..,11.03549
Afghanistan,AFG,"Account, female (% age 15+)",account_t_d_1,..,..,7.160684,..,..,3.812426,..,..,2.61623
Afghanistan,AFG,"Account, income, poorest 40% (% age 15+)",account_t_d_3,..,..,13.8025,..,..,6.07046,..,..,1.12538
Afghanistan,AFG,"Account, income, richest 60% (% age 15+)",account_t_d_4,..,..,15.6193,..,..,12.5529,..,..,14.24066
Afghanistan,AFG,"Account, male (% age 15+)",account_t_d_2,..,..,22.5365,..,..,15.78467,..,..,15.41546
Afghanistan,AFG,Active account (% age 15+),gf7_n,..,..,10.06815,..,..,5.774396,..,..,..
Afghanistan,AFG,Active account (% age 60+),gf7_n_7,..,..,8.328671,..,..,6.831721,..,..,..
Afghanistan,AFG,Active account (% ages 15-34),gf7_n_5,..,..,9.62173,..,..,6.421002,..,..,..
Afghanistan,AFG,Active account (% ages 35-59),gf7_n_6,..,..,11.18999,..,..,4.234271,..,..,..
Afghanistan,AFG,"Active account, female (% age 15+)",gf7_n_1,..,..,4.864383,..,..,1.774075,..,..,..
Afghanistan,AFG,"Active account, income, poorest 40% (% age 15+)",gf7_n_3,..,..,9.234487,..,..,2.912534,..,..,..
Afghanistan,AFG,"Active account, income, richest 60% (% age 15+)",gf7_n_4,..,..,10.623,..,..,7.680986,..,..,..
Afghanistan,AFG,"Active account, male (% age 15+)",gf7_n_2,..,..,15.21173,..,..,9.563328,..,..,..
Afghanistan,AFG,"Agents of payment service providers per 100,000 adults",GPSS_3,..,..,..,..,1201.996,7928.463,8148.902,8190.972,1115.857
Afghanistan,AFG,"ATMs per 100,000 adults",i_ATMs_pop,..,..,1.274667,1.074215,0.9298367,0.7588114,0.7124341,0.6422224,0.6200629
Afghanistan,AFG,Borrowed from a financial institution or used a credit card (% age 15+),fin22a_t_d,..,..,3.811304,..,..,4.4931,..,..,..
Afghanistan,AFG,Borrowed from a financial institution or used a credit card (% age 60+),fin22a_t_d_7,..,..,8.328671,..,..,3.157853,..,..,..
Afghanistan,AFG,Borrowed from a financial institution or used a credit card (% ages 15-34),fin22a_t_d_5,..,..,3.006473,..,..,4.505885,..,..,..
Afghanistan,AFG,Borrowed from a financial institution or used a credit card (% ages 35-59),fin22a_t_d_6,..,..,4.704832,..,..,4.783001,..,..,..
Afghanistan,AFG,"Borrowed from a financial institution or used a credit card, female (% age 15+)",fin22a_t_d_1,..,..,3.212595,..,..,0.8733803,..,..,..
Afghanistan,AFG,"Borrowed from a financial institution or used a credit card, income, poorest 40% (% age 15+)",fin22a_t_d_3,..,..,4.53616,..,..,2.97389,..,..,..
Afghanistan,AFG,"Borrowed from a financial institution or used a credit card, income, richest 60% (% age 15+)",fin22a_t_d_4,..,..,3.328879,..,..,5.505207,..,..,..
Afghanistan,AFG,"Borrowed from a financial institution or used a credit card, male (% age 15+)",fin22a_t_d_2,..,..,4.403087,..,..,7.921543,..,..,..
Afghanistan,AFG,"Branches per 100,000 adults",i_branches_A1_pop,..,..,2.138151,2.138151,2.190994,2.332229,2.277453,2.152974,2.230948
Afghanistan,AFG,"Debit cards per 1,000 adults",GPSS_5,..,..,..,..,9.608793,7.674205,5.976796,4.012483,4.0547
Afghanistan,AFG,"Deposit accounts per 1,000 adults",i_deposit_acc_A1_pop,..,..,183.5992,188.9843,187.0549,176.4318,131.7221,165.2331,103.4517
Afghanistan,AFG,Disclosure index (0-5),GPFI2,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Dispute resolution index (0-1),GPFI3,..,..,0.5,..,..,..,..,..,..
Afghanistan,AFG,"E-money accounts per 1,000 adults",GPSS_1,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Financial knowledge score (0-3),GPFI1_TOTL,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Getting credit: Distance to frontier (0-100),GPFI4,50,45,45,45,45,..,..,..,..
Afghanistan,AFG,Has a national identity card (% age 15+),fin48_a,..,..,71.40159,..,..,..,..,..,..
Afghanistan,AFG,Has a national identity card (% age 60+),fin48_a_7,..,..,77.07644,..,..,..,..,..,..
Afghanistan,AFG,Has a national identity card (% ages 15-34),fin48_a_5,..,..,69.40894,..,..,..,..,..,..
Afghanistan,AFG,Has a national identity card (% ages 35-59),fin48_a_6,..,..,74.42657,..,..,..,..,..,..
Afghanistan,AFG,"Has a national identity card, female (% age 15+)",fin48_a_1,..,..,48.37971,..,..,..,..,..,..
Afghanistan,AFG,"Has a national identity card, income, poorest 40% (% age 15+)",fin48_a_3,..,..,68.83051,..,..,..,..,..,..
Afghanistan,AFG,"Has a national identity card, income, richest 60% (% age 15+)",fin48_a_4,..,..,73.11276,..,..,..,..,..,..
Afghanistan,AFG,"Has a national identity card, male (% age 15+)",fin48_a_2,..,..,94.15717,..,..,..,..,..,..
Afghanistan,AFG,"Insurance policy holders per 1,000 adults (life)",s_policyholders_B2_life,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Insurance policy holders per 1,000 adults (non-life)",s_policyholders_B2_nonlife,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Interoperability of ATM networks and interoperability of POS terminals (0-1),GPSS,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Made or received digital payments in the past year (% age 15+),g20_t,..,..,10.8268,..,..,5.570456,..,..,..
Afghanistan,AFG,Made or received digital payments in the past year (% age 60+),g20_t_7,..,..,5.431762,..,..,4.897159,..,..,..
Afghanistan,AFG,Made or received digital payments in the past year (% ages 15-34),g20_t_5,..,..,10.15765,..,..,6.052186,..,..,..
Afghanistan,AFG,Made or received digital payments in the past year (% ages 35-59),g20_t_6,..,..,12.91956,..,..,4.768169,..,..,..
Afghanistan,AFG,"Made or received digital payments in the past year, female (% age 15+)",g20_t_1,..,..,4.080885,..,..,1.118879,..,..,..
Afghanistan,AFG,"Made or received digital payments in the past year, income, poorest 40% (% age 15+)",g20_t_3,..,..,10.57338,..,..,3.109673,..,..,..
Afghanistan,AFG,"Made or received digital payments in the past year, income, richest 60% (% age 15+)",g20_t_4,..,..,10.99546,..,..,7.209846,..,..,..
Afghanistan,AFG,"Made or received digital payments in the past year, male (% age 15+)",g20_t_2,..,..,17.49468,..,..,9.786799,..,..,..
Afghanistan,AFG,Made payment using a mobile phone or the internet (% age 15+),gf4_n,..,..,0.9138161,..,..,..,..,..,..
Afghanistan,AFG,Made payment using a mobile phone or the internet (% age 60+),gf4_n_7,..,..,5.431762,..,..,..,..,..,..
Afghanistan,AFG,Made payment using a mobile phone or the internet (% ages 15-34),gf4_n_5,..,..,0.4241229,..,..,..,..,..,..
Afghanistan,AFG,Made payment using a mobile phone or the internet (% ages 35-59),gf4_n_6,..,..,1.19647,..,..,..,..,..,..
Afghanistan,AFG,"Made payment using a mobile phone or the internet, female (% age 15+)",gf4_n_1,..,..,0.8797723,..,..,..,..,..,..
Afghanistan,AFG,"Made payment using a mobile phone or the internet, income, poorest 40% (% age 15+)",gf4_n_3,..,..,0.3606787,..,..,..,..,..,..
Afghanistan,AFG,"Made payment using a mobile phone or the internet, income, richest 60% (% age 15+)",gf4_n_4,..,..,1.281954,..,..,..,..,..,..
Afghanistan,AFG,"Made payment using a mobile phone or the internet, male (% age 15+)",gf4_n_2,..,..,0.9474661,..,..,..,..,..,..
Afghanistan,AFG,Main source of emergency funds: savings (% age 15+),fin25a_t_a_s,..,..,4.820452,..,..,14.84728,..,..,..
Afghanistan,AFG,Main source of emergency funds: savings (% age 60+),fin25a_t_a_s_7,..,..,0,..,..,17.03646,..,..,..
Afghanistan,AFG,Main source of emergency funds: savings (% ages 35-59),fin25a_t_a_s_6,..,..,4.725149,..,..,18.47386,..,..,..
Afghanistan,AFG,"Main source of emergency funds: savings, (% ages 15-34)",fin25a_t_a_s_5,..,..,5.337798,..,..,12.55994,..,..,..
Afghanistan,AFG,"Main source of emergency funds: savings, female  (% age 15+)",fin25a_t_a_s_1,..,..,4.466484,..,..,8.919039,..,..,..
Afghanistan,AFG,"Main source of emergency funds: savings, income, poorest 40% (% age 15+)",fin25a_t_a_s_3,..,..,3.353743,..,..,6.822274,..,..,..
Afghanistan,AFG,"Main source of emergency funds: savings, income, richest 60% (% age 15+)",fin25a_t_a_s_4,..,..,5.550121,..,..,18.93255,..,..,..
Afghanistan,AFG,"Main source of emergency funds: savings, male (% age 15+)",fin25a_t_a_s_2,..,..,4.987345,..,..,19.27134,..,..,..
Afghanistan,AFG,"Mobile agent outlets per 100,000 adults",i_mob_agent_pop_registered,..,..,9.996885,7.360174,8.197526,6.025855,4.449793,3.559747,..
Afghanistan,AFG,"Mobile money transactions per 100,000 adults",i_mob_transactions_number_pop,..,..,17662.41,10583.04,5296.255,3051.588,2724.103,234.6742,..
Afghanistan,AFG,"Outstanding loans per 1,000 adults",s_loans_A1,..,..,2.118098,2.120584,2.426595,2.412203,2.742418,2.578931,2.576067
Afghanistan,AFG,"POS terminals per 100,000 adults",GPSS_4,..,..,..,..,2.30856,2.220639,1.55334,1.645313,1.521391
Afghanistan,AFG,Received wages or government transfers into an account (% age 15+),gf10_n,..,..,6.737848,..,..,2.580619,..,..,..
Afghanistan,AFG,Received wages or government transfers into an account (% age 60+),gf10_n_7,..,..,0,..,..,4.02523,..,..,..
Afghanistan,AFG,Received wages or government transfers into an account (% ages 35-59),gf10_n_6,..,..,8.512922,..,..,1.892789,..,..,..
Afghanistan,AFG,"Received wages or government transfers into an account, (% ages 15-34)",gf10_n_5,..,..,6.334808,..,..,2.754292,..,..,..
Afghanistan,AFG,"Received wages or government transfers into an account, female (% age 15+)",gf10_n_1,..,..,2.64658,..,..,1.118879,..,..,..
Afghanistan,AFG,"Received wages or government transfers into an account, income, poorest 40% (% age 15+)",gf10_n_3,..,..,7.098924,..,..,1.008879,..,..,..
Afghanistan,AFG,"Received wages or government transfers into an account, income, richest 60% (% age 15+)",gf10_n_4,..,..,6.497534,..,..,3.627722,..,..,..
Afghanistan,AFG,"Received wages or government transfers into an account, male (% age 15+)",gf10_n_2,..,..,10.78179,..,..,3.965115,..,..,..
Afghanistan,AFG,"Retail cashless transactions per 1,000 adults",GPSS_2,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Saved at a financial institution (% age 15+),fin17a_t_a,..,..,3.667889,..,..,3.566395,..,..,2.81942
Afghanistan,AFG,Saved at a financial institution (% age 60+),fin17a_t_a_7,..,..,0,..,..,0.4553901,..,..,3.235095
Afghanistan,AFG,Saved at a financial institution (% ages 15-34),fin17a_t_a_5,..,..,4.529436,..,..,3.972458,..,..,2.434457
Afghanistan,AFG,Saved at a financial institution (% ages 35-59),fin17a_t_a_6,..,..,2.539126,..,..,3.490946,..,..,3.443637
Afghanistan,AFG,"Saved at a financial institution, female  (% age 15+)",fin17a_t_a_1,..,..,1.428228,..,..,0.9246893,..,..,0.8737874
