Pillar,Sub-Pillar,Country Name,agg_score,count_source,agg_score_wt
People,Culture,Afghanistan,2.3525,2,0.31366666666666665
People,Culture,Albania,4.6696611405,2,0.6226214854
People,Culture,Algeria,4.83133594525,2,0.6441781260333334
People,Culture,Andorra,5.34,1,0.356
People,Culture,Angola,3.9019625092499997,2,0.5202616679
People,Culture,Antigua and Barbuda,4.890000000000001,1,0.326
People,Culture,Argentina,5.017071482333333,3,1.0034142964666666
People,Culture,Armenia,3.25353690625,2,0.43380492083333333
People,Culture,Australia,5.4816666666666665,3,1.0963333333333334
People,Culture,Austria,4.941660237875,4,1.3177760634333333
People,Culture,Azerbaijan,3.525020733,2,0.4700027644
People,Culture,Bahamas,5.535,2,0.738
People,Culture,Bahrain,5.09133594525,2,0.6788447927
People,Culture,Bangladesh,3.9933105468333334,3,0.7986621093666667
People,Culture,Barbados,5.535,2,0.738
People,Culture,Belarus,4.5973361205,2,0.6129781494
People,Culture,Belgium,4.932176050833334,3,0.9864352101666669
People,Culture,Belize,4.54,2,0.6053333333333333
People,Culture,Benin,3.09947366725,2,0.4132631556333333
People,Culture,Bhutan,3.6765828705,2,0.4902110494
People,Culture,Bolivia,5.486214447,1,0.3657476298
People,Culture,Bolivia (Plurinational State of),4.59,1,0.306
People,Culture,Bosnia and Herzegovina,4.52677965175,2,0.6035706202333333
People,Culture,Botswana,3.6125,2,0.48166666666666663
People,Culture,Brazil,4.225342540833334,3,0.8450685081666669
People,Culture,Brunei Darussalam,4.804901619000001,2,0.6406535492000001
People,Culture,Bulgaria,4.5505986595,2,0.6067464879333334
People,Culture,Burkina Faso,2.59324057575,2,0.3457654101
People,Culture,Burundi,2.2509511304,2,0.30012681738666663
People,Culture,Cabo Verde,4.73316059125,2,0.6310880788333333
People,Culture,Cambodia,3.01,2,0.4013333333333333
People,Culture,Cameroon,3.6077142904999997,2,0.4810285720666666
People,Culture,Canada,5.406666666666666,3,1.0813333333333333
People,Culture,Central African Republic,2.6031353282500005,2,0.3470847104333334
People,Culture,Chad,2.26873309125,2,0.3024977455
People,Culture,Chile,5.218738149,3,1.0437476298000001
People,Culture,China,5.019692967666667,3,1.0039385935333334
People,Culture,Colombia,3.87831450455,3,0.77566290091
People,Culture,Comoros,2.9114097690000005,2,0.38818796920000004
People,Culture,Congo,3.6562706565000003,2,0.48750275420000005
People,Culture,Congo (Democratic Republic of the),3.4,1,0.22666666666666666
People,Culture,"Congo, Democratic Republic",2.9793006895000005,1,0.1986200459666667
People,Culture,Costa Rica,5.2681072235,2,0.7024142964666668
People,Culture,Cote d'Ivoire,3.400428581,1,0.22669523873333333
People,Culture,Croatia,4.704279651749999,2,0.6272372868999999
People,Culture,Cuba,4.915,1,0.32766666666666666
People,Culture,Cyprus,5.20356147775,2,0.6938081970333333
People,Culture,Czech Republic,3.68883,1,0.24592199999999997
People,Culture,Czechia,5.14357185375,2,0.6858095805
People,Culture,Côte d'Ivoire,3.69,1,0.246
People,Culture,Denmark,5.2296362499999995,4,1.3945696666666665
People,Culture,Djibouti,3.62,1,0.24133333333333334
People,Culture,Dominica,4.71,1,0.314
People,Culture,Dominican Republic,5.1331072235,2,0.6844142964666666
People,Culture,Ecuador,5.1406072235,2,0.6854142964666666
People,Culture,Egypt,4.72883594525,2,0.6305114593666666
People,Culture,El Salvador,4.9256072235,2,0.6567476298
People,Culture,Equatorial Guinea,3.96,1,0.264
People,Culture,Eritrea,3.295,1,0.21966666666666665
People,Culture,Estonia,4.76740448225,4,1.2713078619333333
People,Culture,Eswatini,1.25,1,0.08333333333333333
People,Culture,Eswatini (Kingdom of),4.055,1,0.2703333333333333
People,Culture,Ethiopia,3.406833744,2,0.4542444992
People,Culture,Fiji,3.57522403725,2,0.4766965383
People,Culture,Finland,5.261924905,3,1.052384981
People,Culture,France,5.101872038125,4,1.3604992101666666
People,Culture,Gabon,4.041939849749999,2,0.5389253132999999
People,Culture,Gambia,2.315,2,0.30866666666666664
People,Culture,Georgia,3.40827126975,2,0.4544361693
People,Culture,Germany,4.821187737875,4,1.2856500634333334
People,Culture,Ghana,4.2025,2,0.5603333333333332
People,Culture,Greece,4.595030132,3,0.9190060264
People,Culture,Grenada,4.895,1,0.3263333333333333
People,Culture,Guatemala,4.9006072235,2,0.6534142964666666
People,Culture,Guinea,2.6978533555,2,0.3597137807333333
People,Culture,Guinea-Bissau,2.515845871,2,0.3354461161333333
People,Culture,Guyana,5.205,2,0.694
People,Culture,Haiti,3.15936841975,2,0.4212491226333333
People,Culture,Honduras,4.8281072235,2,0.6437476298
People,Culture,Hong Kong,5.415,2,0.722
People,Culture,"Hong Kong, China (SAR)",5.745,1,0.383
People,Culture,Hungary,4.531176794666666,3,0.9062353589333333
People,Culture,Iceland,5.452148333333334,3,1.0904296666666669
People,Culture,India,4.573294792166666,3,0.9146589584333333
People,Culture,Indonesia,4.713817494666667,3,0.9427634989333336
People,Culture,Iran,3.5998460770000005,1,0.23998973846666669
People,Culture,Iran (Islamic Republic of),4.915,1,0.32766666666666666
People,Culture,Iraq,4.64633594525,2,0.6195114593666666
